05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_PAC2;05_L1_I_PAC2;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_PAC2;05_L2_I_PAC2;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_PAC2;05_L3_I_PAC2;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_PAC2;20_L1_I_PAC2;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_PAC2;20_L2_I_PAC2;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_PAC2;20_L3_I_PAC2;50_L1_t_PAC1;50_L1_I_PAC1;50_L1_t_PAC2;50_L1_I_PAC2;50_L2_t_PAC1;50_L2_I_PAC1;50_L2_t_PAC2;50_L2_I_PAC2;50_L3_t_PAC1;50_L3_I_PAC1;50_L3_t_PAC2;50_L3_I_PAC2;80_L1_t_PAC1;80_L1_I_PAC1;80_L1_t_PAC2;80_L1_I_PAC2;80_L2_t_PAC1;80_L2_I_PAC1;80_L2_t_PAC2;80_L2_I_PAC2;80_L3_t_PAC1;80_L3_I_PAC1;80_L3_t_PAC2;80_L3_I_PAC2;90_L1_t_PAC1;90_L1_I_PAC1;90_L1_t_PAC2;90_L1_I_PAC2;90_L2_t_PAC1;90_L2_I_PAC1;90_L2_t_PAC2;90_L2_I_PAC2;90_L3_t_PAC1;90_L3_I_PAC1;90_L3_t_PAC2;90_L3_I_PAC2;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_PAC2;100_L1_I_PAC2;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_PAC2;100_L2_I_PAC2;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_PAC2;100_L3_I_PAC2;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_PAC2;120_L1_I_PAC2;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_PAC2;120_L2_I_PAC2;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_PAC2;120_L3_I_PAC2
0;263.339324951172;0;264.089172363281;0;223.232330322266;0;223.908416748047;0;254.754745483398;0;255.706497192383;0;1000.44183349609;0;1001.30914306641;0;1003.28472900391;0;1004.67895507813;0;989.9658203125;0;992.024108886719;0;2471.93920898438;0;2470.86645507813;0;2500.45458984375;0;2486.22875976563;0;2476.97973632813;0;2485.57177734375;0;3984.03100585938;0;3944.30932617188;0;4049.78491210938;0;3829.51904296875;0;4004.28369140625;0;4000.95556640625;0;4503.349609375;0;4397.78955078125;0;4488.537109375;0;4177.79931640625;0;4489.73486328125;0;4477.4130859375;0;5004.55908203125;0;4814.0107421875;0;4966.287109375;0;4557.76953125;0;4988.56640625;0;4938.41845703125;0;6023.7412109375;0;5614.56201171875;0;6020.78369140625;0;5387.30908203125;0;6020.23583984375;0;5825.69140625
1;263.523834228516;1;264.387512207031;1;223.372482299805;1;224.088668823242;1;254.94367980957;1;255.924514770508;1;999.983520507813;1;1000.89654541016;1;1002.98687744141;1;1004.31799316406;1;989.502502441406;1;991.620666503906;1;2481.26123046875;1;2479.4453125;1;2515.77465820313;1;2498.27734375;1;2509.08325195313;1;2512.97314453125;1;3985.6083984375;1;3945.19140625;1;4051.75317382813;1;3830.8798828125;1;4007.63452148438;1;4003.5283203125;1;4502.9072265625;1;4399.1201171875;1;4487.6982421875;1;4178.7958984375;1;4488.93212890625;1;4477.85009765625;1;5000.666015625;1;4810.11767578125;1;4963.1826171875;1;4556.1240234375;1;4985.8017578125;1;4937.15625;1;6024.96337890625;1;5615.91845703125;1;6024.64599609375;1;5392.482421875;1;6022.95849609375;1;5828.6630859375
2;263.434722900391;2;264.358154296875;2;223.21403503418;2;223.993179321289;2;254.825378417969;2;255.909042358398;2;1000.26098632813;2;1001.19946289063;2;1003.36511230469;2;1004.75616455078;2;989.8994140625;2;992.059997558594;2;2480.81127929688;2;2477.81884765625;2;2514.71997070313;2;2495.31005859375;2;2509.15625;2;2511.27905273438;2;3980.50244140625;2;3940.14892578125;2;4046.44458007813;2;3825.5205078125;2;4002.07080078125;2;3996.59423828125;2;4504.3388671875;2;4400.63623046875;2;4488.041015625;2;4179.5458984375;2;4490.35498046875;2;4479.099609375;2;5003.21240234375;2;4813.38720703125;2;4970.10205078125;2;4561.18017578125;2;4992.9833984375;2;4943.60400390625;2;6019.57958984375;2;5610.048828125;2;6020.88720703125;2;5386.43701171875;2;6019.072265625;2;5822.1845703125
3;263.638854980469;3;264.35888671875;3;223.41357421875;3;224.067398071289;3;255.056259155273;3;255.981628417969;3;1000.91442871094;3;1001.88897705078;3;1003.81750488281;3;1005.08959960938;3;990.297241210938;3;992.503540039063;3;2481.18359375;3;2477.94458007813;3;2516.19360351563;3;2496.66162109375;3;2510.55932617188;3;2512.97021484375;3;3982.77807617188;3;3944.5517578125;3;4048.32592773438;3;3829.18041992188;3;4004.49169921875;3;4002.27661132813;3;4506.43994140625;3;4398.7734375;3;4490.53271484375;3;4177.67919921875;3;4493.142578125;3;4478.0556640625;3;5008.0849609375;3;4816.43359375;3;4971.8466796875;3;4561.64599609375;3;4994.7099609375;3;4944.24951171875;3;6021.14404296875;3;5611.18017578125;3;6020.6376953125;3;5386.38134765625;3;6019.43798828125;3;5823.17333984375
4;263.526397705078;4;264.416961669922;4;223.342544555664;4;224.147338867188;4;254.974395751953;4;256.056762695313;4;1000.91143798828;4;1001.89141845703;4;1003.59692382813;4;1005.15319824219;4;990.242736816406;4;992.423095703125;4;2481.35473632813;4;2478.70361328125;4;2515.27465820313;4;2496.93237304688;4;2510.1630859375;4;2513.3642578125;4;4006.8466796875;4;3974.1259765625;4;4055.29614257813;4;3836.7470703125;4;4010.55810546875;4;4009.05737304688;4;4504.48046875;4;4401.69970703125;4;4489.56396484375;4;4181.3623046875;4;4490.57958984375;4;4480.9306640625;4;5010.0791015625;4;4818.5693359375;4;4972.9755859375;4;4562.73486328125;4;4996.0146484375;4;4945.77490234375;4;6017.47802734375;4;5612.3291015625;4;6016.43896484375;4;5387.0302734375;4;6015.5546875;4;5822.8642578125
5;263.568115234375;5;264.334930419922;5;223.347229003906;5;224.020767211914;5;255.010070800781;5;255.966751098633;5;1000.16925048828;5;1000.72308349609;5;1003.45849609375;5;1004.53674316406;5;989.751770019531;5;991.664306640625;5;2480.83618164063;5;2478.1533203125;5;2514.783203125;5;2495.46875;5;2510.2392578125;5;2512.69677734375;5;4037.48657226563;5;3994.66186523438;5;4067.24389648438;5;3843.78100585938;5;4016.39404296875;5;4011.93969726563;5;4503.33447265625;5;4399.15966796875;5;4488.427734375;5;4178.55859375;5;4488.9248046875;5;4477.2060546875;5;5011.78515625;5;4819.79052734375;5;4972.85693359375;5;4561.42236328125;5;4996.65869140625;5;4946.56396484375;5;6023.2890625;5;5613.9814453125;5;6023.92333984375;5;5389.1640625;5;6022.5927734375;5;5825.830078125
6;263.740966796875;6;264.624664306641;6;223.463760375977;6;224.188125610352;6;255.126373291016;6;256.142944335938;6;998.633239746094;6;999.576171875;6;1001.97436523438;6;1003.28936767578;6;988.360961914063;6;990.526062011719;6;2475.7568359375;6;2471.38793945313;6;2511.841796875;6;2491.38354492188;6;2505.98266601563;6;2506.87426757813;6;4046.14526367188;6;3999.669921875;6;4072.90673828125;6;3847.6162109375;6;4019.15771484375;6;4014.06030273438;6;4498.2080078125;6;4393.04248046875;6;4483.2578125;6;4173.68408203125;6;4484.21826171875;6;4469.7587890625;6;5008.94091796875;6;4816.205078125;6;4968.6865234375;6;4558.943359375;6;4992.59716796875;6;4941.3935546875;6;6009.62841796875;6;5605.59765625;6;6008.9296875;6;5382.21435546875;6;6006.54443359375;6;5817.6005859375
7;263.426361083984;7;264.170654296875;7;223.224639892578;7;223.905242919922;7;254.8017578125;7;255.762573242188;7;1000.51940917969;7;1001.73400878906;7;1003.66760253906;7;1005.37133789063;7;989.852661132813;7;992.395751953125;7;2469.4638671875;7;2471.38793945313;7;2505.51708984375;7;2491.38354492188;7;2499.61767578125;7;2506.87426757813;7;4042.09497070313;7;3997.22119140625;7;4068.85791015625;7;3845.46337890625;7;4014.61108398438;7;4011.41650390625;7;4500.5234375;7;4396.134765625;7;4486.02099609375;7;4176.7900390625;7;4487.095703125;7;4474.1962890625;7;5013.61767578125;7;4822.01318359375;7;4975.1845703125;7;4565.54638671875;7;4997.4462890625;7;4947.47705078125;7;6015.45751953125;7;5608.09130859375;7;6015.962890625;7;5384.7314453125;7;6015.396484375;7;5819.5615234375
8;263.355133056641;8;264.209503173828;8;223.22900390625;8;223.968078613281;8;254.817657470703;8;255.855560302734;8;1000.63684082031;8;1001.56958007813;8;1004.03460693359;8;1005.44793701172;8;990.475402832031;8;992.3779296875;8;2487.68823242188;8;2468.791015625;8;2513.15771484375;8;2488.79321289063;8;2506.89086914063;8;2503.59838867188;8;4038.37231445313;8;3992.17578125;8;4038.36010742188;8;3804.55200195313;8;4005.11450195313;8;3997.49658203125;8;4496.41796875;8;4393.453125;8;4482.71337890625;8;4175.3251953125;8;4483.9931640625;8;4472.447265625;8;5012.8388671875;8;4820.65478515625;8;4975.66015625;8;4565.77197265625;8;4996.16552734375;8;4945.17431640625;8;6015.45751953125;8;5609.89599609375;8;6015.962890625;8;5385.4658203125;8;6015.396484375;8;5822.798828125
9;263.714874267578;9;264.469909667969;9;223.47575378418;9;224.157791137695;9;255.093902587891;9;256.013580322266;9;1000.47491455078;9;1001.34173583984;9;1004.19879150391;9;1005.56732177734;9;990.487854003906;9;992.653747558594;9;2523.64404296875;9;2523.56420898438;9;2529.44848632813;9;2509.76879882813;9;2516.53955078125;9;2519.41088867188;9;4028.99462890625;9;3987.31689453125;9;4004.283203125;9;3782.87939453125;9;3995.95581054688;9;3993.5732421875;9;4504.5224609375;9;4399.9150390625;9;4491.0380859375;9;4181.173828125;9;4492.21533203125;9;4480.96337890625;9;5012.8115234375;9;4818.02734375;9;4975.17578125;9;4562.9267578125;9;4995.77197265625;9;4942.4208984375;9;5962.94384765625;9;5569.6513671875;9;5963.9521484375;9;5347.115234375;9;5963.9375;9;5780.25830078125
10;263.714874267578;10;264.469909667969;10;223.47575378418;10;224.157791137695;10;255.093902587891;10;256.013580322266;10;1000.11572265625;10;1000.81378173828;10;1004.14819335938;10;1005.35461425781;10;990.305053710938;10;992.208862304688;10;2533.8125;10;2531.61572265625;10;2533.83715820313;10;2513.99267578125;10;2518.52758789063;10;2521.44848632813;10;4029.99609375;10;3986.3017578125;10;4004.08740234375;10;3782.11450195313;10;3998.48754882813;10;3992.34423828125;10;4505.2822265625;10;4400.2373046875;10;4491.53515625;10;4181.81201171875;10;4492.01953125;10;4480.00244140625;10;5009.8642578125;10;4816.2373046875;10;4973.50830078125;10;4562.69775390625;10;4993.25732421875;10;4941.10009765625;10;5978.47705078125;10;5569.6513671875;10;5977.53857421875;10;5347.115234375;10;5975.8427734375;10;5780.25830078125
11;263.582855224609;11;264.222747802734;11;223.455642700195;11;224.026550292969;11;255.01628112793;11;255.807556152344;11;1000.11975097656;11;1001.38269042969;11;1004.22314453125;11;1005.7685546875;11;990.313781738281;11;992.745910644531;11;2530.57592773438;11;2527.740234375;11;2531.23120117188;11;2511.59912109375;11;2514.77905273438;11;2517.74780273438;11;4025.28271484375;11;3988.3662109375;11;4000.61499023438;11;3783.46020507813;11;3994.58618164063;11;3994.64916992188;11;4506.630859375;11;4402.53515625;11;4491.9619140625;11;4182.3251953125;11;4492.19677734375;11;4480.22314453125;11;5009.5380859375;11;4818.22998046875;11;4975.79248046875;11;4565.3154296875;11;4994.40673828125;11;4943.189453125;11;5997.26904296875;11;5584.38671875;11;5992.431640625;11;5359.72412109375;11;5990.26904296875;11;5792.0859375
12;263.954193115234;12;265.755828857422;12;225.620803833008;12;230.507202148438;12;255.096908569336;12;256.943695068359;12;1000.67639160156;12;1001.51831054688;12;1004.79425048828;12;1006.05963134766;12;990.876831054688;12;992.901245117188;12;2535.17309570313;12;2532.35913085938;12;2535.09033203125;12;2515.10107421875;12;2518.62353515625;12;2521.84838867188;12;4025.28271484375;12;3983.92797851563;12;4000.61499023438;12;3780.98974609375;12;3994.58618164063;12;3991.73754882813;12;4509.47216796875;12;4403.8603515625;12;4493.5986328125;12;4182.6455078125;12;4494.7236328125;12;4481.63720703125;12;5010.07470703125;12;4817.5244140625;12;4976.37060546875;12;4567.2265625;12;4995.74072265625;12;4944.78564453125;12;6000.06591796875;12;5594.576171875;12;5992.76806640625;12;5364.85693359375;12;5991.75048828125;12;5801.88671875
