05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_K3;05_L1_I_K3;05_L1_t_PAC2;05_L1_I_PAC2;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_K3;05_L2_I_K3;05_L2_t_PAC2;05_L2_I_PAC2;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_K3;05_L3_I_K3;05_L3_t_PAC2;05_L3_I_PAC2;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_K3;20_L1_I_K3;20_L1_t_PAC2;20_L1_I_PAC2;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_K3;20_L2_I_K3;20_L2_t_PAC2;20_L2_I_PAC2;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_K3;20_L3_I_K3;20_L3_t_PAC2;20_L3_I_PAC2;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_K3;100_L1_I_K3;100_L1_t_PAC2;100_L1_I_PAC2;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_K3;100_L2_I_K3;100_L2_t_PAC2;100_L2_I_PAC2;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_K3;100_L3_I_K3;100_L3_t_PAC2;100_L3_I_PAC2;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_K3;120_L1_I_K3;120_L1_t_PAC2;120_L1_I_PAC2;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_K3;120_L2_I_K3;120_L2_t_PAC2;120_L2_I_PAC2;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_K3;120_L3_I_K3;120_L3_t_PAC2;120_L3_I_PAC2
0;140.346893310547;0;130.20832824707;0;140.318054199219;0;139.600769042969;0;122.395835876465;0;139.66828918457;0;120.374137878418;0;89.4097213745117;0;120.599945068359;0;432.735870361328;0;435.763885498047;0;432.145812988281;0;432.184448242188;0;422.743041992188;0;432.216400146484;0;410.065338134766;0;382.8125;0;412.369110107422;0;1999.42346191406;0;2014.7568359375;0;1992.25891113281;0;2017.61767578125;0;2007.8125;0;2012.25134277344;0;2005.26049804688;0;1996.52783203125;0;2001.23376464844;0;2404.888671875;0;2421.875;0;2394.51538085938;0;2427.79516601563;0;2415.79858398438;0;2419.22094726563;0;2397.07641601563;0;2388.88891601563;0;2391.69482421875
1;140.324584960938;1;130.20832824707;1;140.297973632813;1;139.58659362793;1;122.395835876465;1;139.659042358398;1;120.3642578125;1;89.4097213745117;1;120.594657897949;1;434.022155761719;1;438.368041992188;1;433.075103759766;1;433.846405029297;1;429.6875;1;433.248565673828;1;416.884918212891;1;401.909698486328;1;416.615539550781;1;1999.32019042969;1;2014.7568359375;1;1992.25891113281;1;2017.68444824219;1;2007.8125;1;2012.25134277344;1;2005.04724121094;1;1996.52783203125;1;2001.23376464844;1;2404.6787109375;1;2421.875;1;2393.95190429688;1;2427.68994140625;1;2415.79858398438;1;2419.06884765625;1;2396.69091796875;1;2388.02075195313;1;2391.783203125
2;137.16130065918;2;127.60417175293;2;135.886856079102;2;128.156585693359;2;97.2222213745117;2;123.921508789063;2;117.700332641602;2;87.6736145019531;2;117.121704101563;2;434.008209228516;2;438.368041992188;2;433.010314941406;2;433.747161865234;2;428.819458007813;2;433.186706542969;2;416.910705566406;2;401.909698486328;2;416.677307128906;2;1999.11315917969;2;2014.7568359375;2;1992.21362304688;2;2017.65930175781;2;2007.8125;2;2012.103515625;2;2005.11413574219;2;1997.39587402344;2;2001.04187011719;2;2404.67211914063;2;2421.875;2;2394.14770507813;2;2427.47802734375;2;2415.79858398438;2;2419.0341796875;2;2396.80224609375;2;2388.02075195313;2;2392.04443359375
3;127.354637145996;3;116.319450378418;3;127.26294708252;3;88.3102798461914;3;69.4444427490234;3;87.8020172119141;3;110.308319091797;3;79.8611145019531;3;110.500549316406;3;433.991149902344;3;438.368041992188;3;432.425567626953;3;433.781066894531;3;429.6875;3;432.902130126953;3;416.900115966797;3;401.909698486328;3;416.662506103516;3;1999.1826171875;3;2014.7568359375;3;1992.01330566406;3;2017.5439453125;3;2007.8125;3;2012.12023925781;3;2005.02551269531;3;1997.39587402344;3;2001.01379394531;3;2404.96850585938;3;2421.875;3;2394.58666992188;3;2427.94995117188;3;2415.79858398438;3;2419.47534179688;3;2397.17626953125;3;2388.88891601563;3;2391.73828125
4;126.842475891113;4;116.319450378418;4;126.848999023438;4;86.9135131835938;4;68.5763931274414;4;87.0283432006836;4;110.252914428711;4;79.8611145019531;4;110.489501953125;4;405.159362792969;4;422.743041992188;4;399.627197265625;4;423.271453857422;4;421.006958007813;4;421.256805419922;4;414.025756835938;4;399.305541992188;4;413.297821044922;4;1999.46606445313;4;2014.7568359375;4;1992.32446289063;4;2017.75817871094;4;2007.8125;4;2012.33862304688;4;2005.21118164063;4;1997.39587402344;4;2001.15710449219;4;2404.78637695313;4;2421.0068359375;4;2394.59033203125;4;2427.9775390625;4;2415.79858398438;4;2419.47485351563;4;2396.45727539063;4;2388.02075195313;4;2391.34228515625
5;126.832366943359;5;116.319450378418;5;126.848999023438;5;86.887565612793;5;68.5763931274414;5;87.0283432006836;5;110.276290893555;5;79.8611145019531;5;110.489501953125;5;378.909423828125;5;385.416656494141;5;376.861968994141;5;415.084075927734;5;412.326385498047;5;414.170379638672;5;411.157287597656;5;396.701385498047;5;410.704742431641;5;1999.92810058594;5;2014.7568359375;5;1992.32446289063;5;2018.17333984375;5;2007.8125;5;2012.33862304688;5;2005.49108886719;5;1997.39587402344;5;2001.15710449219;5;2405.9169921875;5;2422.74291992188;5;2395.75;5;2428.93579101563;5;2416.66674804688;5;2420.58935546875;5;2398.07690429688;5;2390.625;5;2392.97778320313
6;126.832366943359;6;116.319450378418;6;126.852195739746;6;86.887565612793;6;68.5763931274414;6;87.0004577636719;6;110.276290893555;6;79.8611145019531;6;110.516448974609;6;376.541870117188;6;379.340270996094;6;375.734405517578;6;414.605895996094;6;409.722229003906;6;414.109222412109;6;410.907043457031;6;395.833343505859;6;410.688812255859;6;2000.15930175781;6;2015.625;6;1992.94787597656;6;2018.56945800781;6;2008.68054199219;6;2013.13232421875;6;2006.14501953125;6;1997.39587402344;6;2002.14123535156;6;2406.46044921875;6;2422.74291992188;6;2396.22680664063;6;2429.21728515625;6;2416.66674804688;6;2420.78198242188;6;2398.20629882813;6;2390.625;6;2392.63598632813
7;126.503890991211;7;116.319450378418;7;126.238540649414;7;86.4784698486328;7;68.5763931274414;7;86.2168655395508;7;108.638412475586;7;79.8611145019531;7;107.400215148926;7;376.576507568359;7;379.340270996094;7;375.764190673828;7;414.721649169922;7;409.722229003906;7;414.240570068359;7;410.922821044922;7;395.833343505859;7;410.679504394531;7;2000.15661621094;7;2015.625;7;1992.93798828125;7;2018.61926269531;7;2008.68054199219;7;2013.17028808594;7;2006.24401855469;7;1998.26391601563;7;2002.22473144531;7;2406.3154296875;7;2422.74291992188;7;2395.83325195313;7;2429.27197265625;7;2417.53466796875;7;2420.77319335938;7;2398.24462890625;7;2390.625;7;2393.30859375
8;121.815162658691;8;112.847229003906;8;121.568305969238;8;80.1988525390625;8;64.2361145019531;8;80.0354232788086;8;80.1878128051758;8;59.8958320617676;8;78.7197113037109;8;376.528656005859;8;379.340270996094;8;375.721801757813;8;414.850402832031;8;409.722229003906;8;414.367736816406;8;410.920745849609;8;395.833343505859;8;410.668273925781;8;2000.56774902344;8;2015.625;8;1993.60119628906;8;2018.55615234375;8;2008.68054199219;8;2012.93823242188;8;2006.01684570313;8;1997.39587402344;8;2001.89904785156;8;2406.2607421875;8;2422.74291992188;8;2395.93920898438;8;2429.21240234375;8;2417.53466796875;8;2420.66552734375;8;2398.35693359375;8;2389.7568359375;8;2393.05346679688
9;120.947570800781;9;110.243057250977;9;120.966011047363;9;79.2051239013672;9;59.8958320617676;9;79.2981796264648;9;74.380615234375;9;39.9305572509766;9;74.6187286376953;9;376.585571289063;9;379.340270996094;9;375.811431884766;9;414.732299804688;9;409.722229003906;9;414.188446044922;9;410.880554199219;9;395.833343505859;9;410.664306640625;9;2000.54211425781;9;2015.625;9;1993.53186035156;9;2018.48779296875;9;2007.8125;9;2012.94921875;9;2005.71508789063;9;1997.39587402344;9;2001.65747070313;9;2405.2724609375;9;2421.875;9;2394.70263671875;9;2428.865234375;9;2417.53466796875;9;2420.203125;9;2398.69116210938;9;2390.625;9;2393.39013671875
