05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_PAC2;05_L1_I_PAC2;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_PAC2;05_L2_I_PAC2;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_PAC2;05_L3_I_PAC2;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_PAC2;20_L1_I_PAC2;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_PAC2;20_L2_I_PAC2;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_PAC2;20_L3_I_PAC2;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_PAC2;100_L1_I_PAC2;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_PAC2;100_L2_I_PAC2;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_PAC2;100_L3_I_PAC2;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_PAC2;120_L1_I_PAC2;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_PAC2;120_L2_I_PAC2;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_PAC2;120_L3_I_PAC2
0;140.324584960938;0;140.297973632813;0;139.58659362793;0;139.659042358398;0;120.3642578125;0;120.594657897949;0;428.974243164063;0;428.036102294922;0;420.599029541016;0;420.014007568359;0;378.498321533203;0;378.320587158203;0;2007.77478027344;0;2000.75793457031;0;2021.08666992188;0;2015.61218261719;0;2005.884765625;0;2001.78454589844;0;2404.87060546875;0;2394.04174804688;0;2427.71508789063;0;2419.10424804688;0;2395.93310546875;0;2390.62768554688
1;137.16130065918;1;135.886856079102;1;128.156585693359;1;123.921508789063;1;117.700332641602;1;117.121704101563;1;429.132080078125;1;428.172515869141;1;420.546051025391;1;419.997924804688;1;378.467926025391;1;378.299560546875;1;2007.78051757813;1;1998.712890625;1;2020.56774902344;1;2013.98803710938;1;2005.90466308594;1;2001.79296875;1;2403.1923828125;1;2392.30078125;1;2426.76831054688;1;2418.212890625;1;2394.6572265625;1;2389.892578125
2;127.354637145996;2;127.26294708252;2;88.3102798461914;2;87.8020172119141;2;110.308319091797;2;110.500549316406;2;429.168823242188;2;428.1962890625;2;420.582061767578;2;420.039245605469;2;378.547882080078;2;378.374969482422;2;1974.18347167969;2;1961.42517089844;2;2005.83972167969;2;1998.47607421875;2;2003.28686523438;2;1998.7607421875;2;2403.66650390625;2;2392.30078125;2;2427.59790039063;2;2418.212890625;2;2395.67041015625;2;2389.892578125
3;126.842475891113;3;126.848999023438;3;86.9135131835938;3;87.0283432006836;3;110.252914428711;3;110.489501953125;3;428.804016113281;3;427.815673828125;3;420.416656494141;3;419.855926513672;3;378.472961425781;3;378.333343505859;3;1949.55883789063;3;1941.04284667969;3;1997.73217773438;3;1991.8837890625;3;2000.65808105469;3;1996.27941894531;3;2405.83715820313;3;2393.51147460938;3;2428.974609375;3;2419.52978515625;3;2398.12451171875;3;2391.57861328125
4;126.832366943359;4;126.848999023438;4;86.887565612793;4;87.0283432006836;4;110.276290893555;4;110.489501953125;4;428.804016113281;4;427.815673828125;4;420.416656494141;4;419.855926513672;4;378.472961425781;4;378.333343505859;4;1944.40893554688;4;1937.74584960938;4;1997.13024902344;4;1991.82849121094;4;1999.91284179688;4;1995.79467773438;4;2405.83715820313;4;2395.37426757813;4;2428.974609375;4;2420.125;4;2398.12451171875;4;2393.48266601563
5;126.832366943359;5;126.852195739746;5;86.887565612793;5;87.0004577636719;5;110.276290893555;5;110.516448974609;5;428.901641845703;5;427.929748535156;5;420.265106201172;5;419.679290771484;5;378.402191162109;5;378.239593505859;5;1945.07189941406;5;1938.36767578125;5;1997.662109375;5;1992.28381347656;5;2000.00415039063;5;1995.8701171875;5;2406.09204101563;5;2395.55834960938;5;2429.35986328125;5;2420.61181640625;5;2398.3955078125;5;2393.58642578125
6;126.503890991211;6;126.238540649414;6;86.4784698486328;6;86.2168655395508;6;108.638412475586;6;107.400215148926;6;428.902435302734;6;428.045959472656;6;420.839630126953;6;421.018859863281;6;379.280883789063;6;380.747589111328;6;1945.20751953125;6;1938.478515625;6;1997.67224121094;6;1992.27648925781;6;1999.72985839844;6;1995.62524414063;6;2406.00219726563;6;2395.67797851563;6;2429.49365234375;6;2420.5439453125;6;2398.47998046875;6;2393.607421875
7;121.815162658691;7;121.568305969238;7;80.1988525390625;7;80.0354232788086;7;80.1878128051758;7;78.7197113037109;7;432.735870361328;7;432.145812988281;7;432.184448242188;7;432.216400146484;7;410.065338134766;7;412.369110107422;7;1945.22094726563;7;1938.39904785156;7;1997.87548828125;7;1992.56640625;7;1999.60900878906;7;1995.58654785156;7;2406.06225585938;7;2395.67797851563;7;2428.56567382813;7;2420.5439453125;7;2398.44482421875;7;2393.607421875
8;120.947570800781;8;120.966011047363;8;79.2051239013672;8;79.2981796264648;8;74.380615234375;8;74.6187286376953;8;434.022155761719;8;433.075103759766;8;433.846405029297;8;433.248565673828;8;416.884918212891;8;416.615539550781;8;1945.67224121094;8;1938.69946289063;8;1998.126953125;8;1992.69738769531;8;1999.59069824219;8;1995.65307617188;8;2405.35791015625;8;2395.37231445313;8;2428.28369140625;8;2419.828125;8;2397.71655273438;8;2393.13134765625
9;120.947570800781;9;120.966011047363;9;79.2051239013672;9;79.2981796264648;9;74.380615234375;9;74.6187286376953;9;434.008209228516;9;433.010314941406;9;433.747161865234;9;433.186706542969;9;416.910705566406;9;416.677307128906;9;1945.67224121094;9;1938.85412597656;9;1998.126953125;9;1992.7314453125;9;1999.59069824219;9;1995.45031738281;9;2405.40698242188;9;2394.90942382813;9;2428.58837890625;9;2420.03686523438;9;2397.58935546875;9;2392.341796875
