05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_PAC2;05_L1_I_PAC2;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_PAC2;05_L2_I_PAC2;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_PAC2;05_L3_I_PAC2;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_PAC2;20_L1_I_PAC2;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_PAC2;20_L2_I_PAC2;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_PAC2;20_L3_I_PAC2;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_PAC2;100_L1_I_PAC2;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_PAC2;100_L2_I_PAC2;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_PAC2;100_L3_I_PAC2;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_PAC2;120_L1_I_PAC2;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_PAC2;120_L2_I_PAC2;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_PAC2;120_L3_I_PAC2
0;124.352272033691;0;124.751312255859;0;81.2099685668945;0;81.6195449829102;0;107.164245605469;0;107.591102600098;0;415.986633300781;0;416.390930175781;0;425.169067382813;0;425.918090820313;0;406.920440673828;0;407.657562255859;0;2003.65173339844;0;1992.07312011719;0;2023.12341308594;0;2018.88989257813;0;1987.60791015625;0;1986.60192871094;0;2391.30200195313;0;2389.54931640625;0;2400.18041992188;0;2389.8017578125;0;2385.92138671875;0;2386.11889648438
1;124.340621948242;1;124.780319213867;1;81.1985168457031;1;81.6270141601563;1;107.139587402344;1;107.605453491211;1;415.997344970703;1;415.978424072266;1;425.286193847656;1;425.512054443359;1;406.999603271484;1;407.225280761719;1;1980.56872558594;1;1977.54150390625;1;2016.15380859375;1;2015.48217773438;1;1984.25158691406;1;1984.25305175781;1;2390.93188476563;1;2387.66943359375;1;2399.490234375;1;2387.82592773438;1;2384.8994140625;1;2384.04370117188
2;124.436744689941;2;124.807136535645;2;81.254768371582;2;81.665283203125;2;107.222030639648;2;107.640747070313;2;416.064788818359;2;415.978424072266;2;425.362884521484;2;425.512054443359;2;406.961608886719;2;407.225280761719;2;1977.78930664063;2;1976.48681640625;2;2016.23449707031;2;2015.63195800781;2;1982.7099609375;2;1983.33801269531;2;2389.79711914063;2;2388.67358398438;2;2398.10498046875;2;2388.68115234375;2;2383.79809570313;2;2384.8583984375
3;124.402397155762;3;124.807136535645;3;81.2485580444336;3;81.665283203125;3;107.187339782715;3;107.640747070313;3;416.239715576172;3;416.711242675781;3;425.571228027344;3;426.2919921875;3;407.1650390625;3;407.903656005859;3;1978.64404296875;3;1978.22180175781;3;2022.09716796875;3;2025.80187988281;3;1991.8115234375;3;2001.982421875;3;2392.43530273438;3;2389.73559570313;3;2400.89990234375;3;2389.4560546875;3;2386.61767578125;3;2385.8544921875
4;124.361633300781;4;124.793785095215;4;81.2159042358398;4;81.6382293701172;4;107.12939453125;4;107.609703063965;4;416.239715576172;4;416.444091796875;4;425.571228027344;4;426.046997070313;4;407.1650390625;4;407.6689453125;4;1983.86437988281;4;1982.77087402344;4;2031.76550292969;4;2030.29016113281;4;2018.67041015625;4;2019.8759765625;4;2391.21459960938;4;2388.25317382813;4;2399.52294921875;4;2388.33935546875;4;2385.26782226563;4;2384.81616210938
5;124.437759399414;5;124.815658569336;5;81.2501831054688;5;81.6146545410156;5;107.215263366699;5;107.627777099609;5;416.310760498047;5;416.4638671875;5;425.641693115234;5;425.999847412109;5;407.261108398438;5;407.660827636719;5;1984.09777832031;5;1982.68139648438;5;2030.62414550781;5;2029.38366699219;5;2019.18530273438;5;2019.43041992188;5;2391.263671875;5;2389.6025390625;5;2399.53247070313;5;2389.16479492188;5;2385.05981445313;5;2385.1083984375
6;124.379165649414;6;124.815658569336;6;81.2213363647461;6;81.6146545410156;6;107.17594909668;6;107.627777099609;6;415.914337158203;6;416.248107910156;6;425.212036132813;6;425.810668945313;6;406.790924072266;6;407.344512939453;6;1984.14282226563;6;1982.62939453125;6;2030.83874511719;6;2030.12756347656;6;2019.32067871094;6;2019.27758789063;6;2391.21215820313;6;2389.2841796875;6;2399.33349609375;6;2388.76684570313;6;2384.8359375;6;2384.56640625
7;124.393539428711;7;124.815788269043;7;81.2347412109375;7;81.6484527587891;7;107.205093383789;7;107.653549194336;7;415.942657470703;7;416.199188232422;7;425.250427246094;7;425.764984130859;7;406.801452636719;7;407.393463134766;7;1983.50500488281;7;1982.09643554688;7;2030.54699707031;7;2029.89599609375;7;2018.96862792969;7;2019.18908691406;7;2390.68725585938;7;2388.64501953125;7;2399.51196289063;7;2391.13671875;7;2384.2587890625;7;2387.9140625
8;124.407005310059;8;124.768966674805;8;81.2368774414063;8;81.6127243041992;8;107.200622558594;8;107.61450958252;8;413.89306640625;8;408.300384521484;8;424.391937255859;8;422.727081298828;8;406.659057617188;8;406.721710205078;8;1983.78625488281;8;1982.65942382813;8;2030.51098632813;8;2029.89916992188;8;2018.90234375;8;2019.47302246094;8;2393.19848632813;8;2393.03466796875;8;2410.31518554688;8;2400.72729492188;8;2406.3955078125;8;2410.24755859375
9;112.291885375977;9;104.54517364502;9;76.5919647216797;9;74.3690414428711;9;105.034545898438;9;104.112060546875;9;380.356750488281;9;374.296295166016;9;413.013793945313;9;411.632476806641;9;403.405029296875;9;403.418731689453;9;1984.21301269531;9;1982.69592285156;9;2030.79113769531;9;2029.87841796875;9;2019.38391113281;9;2019.1123046875;9;2394.43969726563;9;2390.03588867188;9;2411.6640625;9;2397.79956054688;9;2412.35864257813;9;2408.82470703125
10;87.9681701660156;10;86.883674621582;10;69.5308990478516;10;69.6076583862305;10;101.083999633789;10;101.234008789063;10;367.408142089844;10;367.729187011719;10;409.398986816406;10;410.032867431641;10;402.025115966797;10;402.565246582031;10;1983.54931640625;10;1981.85681152344;10;2030.47888183594;10;2029.57556152344;10;2018.97802734375;10;2019.08874511719;10;2395.30444335938;10;2395.27368164063;10;2412.39501953125;10;2402.07568359375;10;2413.05639648438;10;2413.81884765625
11;86.3342666625977;11;86.734992980957;11;69.2081756591797;11;69.6384353637695;11;100.819602966309;11;101.271560668945;11;367.338348388672;11;367.759796142578;11;409.551727294922;11;410.2685546875;11;401.837493896484;11;402.480377197266;11;1981.17443847656;11;1978.4619140625;11;2027.8212890625;11;2025.77258300781;11;2016.11694335938;11;2015.10192871094;11;2391.234375;11;2387.59375;11;2407.71020507813;11;2394.83618164063;11;2409.07275390625;11;2406.87182617188
12;86.2863388061523;12;86.6567535400391;12;69.1841125488281;12;69.5870742797852;12;100.766731262207;12;101.192436218262;12;367.561492919922;12;367.819274902344;12;409.802154541016;12;410.339874267578;12;401.968139648438;12;402.430847167969;12;1980.52001953125;12;1980.51635742188;12;2027.13671875;12;2027.49963378906;12;2015.837890625;12;2017.20288085938;12;2396.701171875;12;2395.00415039063;12;2412.58642578125;12;2401.37255859375;12;2413.97583007813;12;2414.396484375
13;86.3500442504883;13;86.7079925537109;13;69.2673034667969;13;69.6492919921875;13;100.870223999023;13;101.272575378418;13;367.244110107422;13;367.541076660156;13;409.464752197266;13;409.942260742188;13;401.541137695313;13;402.184661865234;13;1981.76208496094;13;1981.94848632813;13;2028.24328613281;13;2028.43811035156;13;2017.16796875;13;2018.53112792969;13;2395.1728515625;13;2392.97680664063;13;2410.79370117188;13;2399.3037109375;13;2412.37084960938;13;2411.75317382813
14;86.2238845825195;14;86.6381912231445;14;69.1529235839844;14;69.57470703125;14;100.708381652832;14;101.173477172852;14;367.701751708984;14;368.087799072266;14;409.895599365234;14;410.468200683594;14;402.073059082031;14;402.643890380859;14;1980.61669921875;14;1979.41235351563;14;2027.2421875;14;2026.978515625;14;2015.927734375;14;2016.685546875;14;2395.1728515625;14;2393.03173828125;14;2410.79370117188;14;2399.419921875;14;2412.37084960938;14;2412.94970703125
