05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_PAC2;05_L1_I_PAC2;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_PAC2;05_L2_I_PAC2;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_PAC2;05_L3_I_PAC2;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_PAC2;20_L1_I_PAC2;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_PAC2;20_L2_I_PAC2;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_PAC2;20_L3_I_PAC2;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_PAC2;100_L1_I_PAC2;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_PAC2;100_L2_I_PAC2;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_PAC2;100_L3_I_PAC2;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_PAC2;120_L1_I_PAC2;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_PAC2;120_L2_I_PAC2;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_PAC2;120_L3_I_PAC2
0;86.715461730957;0;86.9992599487305;0;115.046058654785;0;115.328903198242;0;100.526863098145;0;100.889228820801;0;391.244781494141;0;390.868774414063;0;417.878784179688;0;417.489379882813;0;392.102935791016;0;392.166961669922;0;2000.00256347656;0;1991.28552246094;0;1969.83959960938;0;1932.89587402344;0;1980.51538085938;0;1973.92346191406;0;2374.90087890625;0;2316.14184570313;0;2378.15771484375;0;2275.45874023438;0;2388.978515625;0;2317.99829101563
1;86.7486038208008;1;87.0232162475586;1;115.029174804688;1;115.377731323242;1;100.536201477051;1;100.919586181641;1;391.253173828125;1;390.905242919922;1;417.751556396484;1;417.490173339844;1;392.210601806641;1;392.363616943359;1;2000.25695800781;1;1991.06604003906;1;1969.04663085938;1;1933.08532714844;1;1981.32348632813;1;1975.04235839844;1;2375.19165039063;1;2316.66259765625;1;2373.97680664063;1;2275.8984375;1;2389.33447265625;1;2317.66259765625
2;86.761360168457;2;87.0263061523438;2;114.996612548828;2;115.390068054199;2;100.810684204102;2;100.916725158691;2;391.212036132813;2;390.827484130859;2;417.798797607422;2;417.46240234375;2;392.180847167969;2;392.370330810547;2;1999.85852050781;2;1991.17761230469;2;1969.33093261719;2;1932.90222167969;2;1981.263671875;2;1975.03344726563;2;2375.30859375;2;2316.69702148438;2;2374.79150390625;2;2276.26440429688;2;2389.11279296875;2;2317.89135742188
3;89.4029235839844;3;87.0180435180664;3;115.066040039063;3;115.384338378906;3;100.810684204102;3;100.905776977539;3;391.134124755859;3;390.844970703125;3;417.771697998047;3;417.495086669922;3;392.235412597656;3;392.397583007813;3;2000.0244140625;3;1991.17761230469;3;1969.07202148438;3;1932.90222167969;3;1981.18774414063;3;1975.03344726563;3;2374.95971679688;3;2316.4599609375;3;2375.11840820313;3;2276.263671875;3;2388.61499023438;3;2317.99926757813
4;89.4029235839844;4;111.215858459473;4;115.102745056152;4;122.633316040039;4;106.096908569336;4;103.385292053223;4;391.1826171875;4;390.800170898438;4;417.762420654297;4;417.379638671875;4;392.307403564453;4;392.422485351563;4;2001.34973144531;4;1999.20068359375;4;1969.7158203125;4;1962.70556640625;4;1991.66821289063;4;1980.14282226563;4;2374.41650390625;4;2315.779296875;4;2375.42626953125;4;2276.12036132813;4;2389.01513671875;4;2317.60620117188
5;139.231460571289;5;137.114059448242;5;115.720275878906;5;133.074951171875;5;106.084197998047;5;106.185646057129;5;391.010986328125;5;390.702667236328;5;417.689422607422;5;417.298095703125;5;392.307403564453;5;392.467407226563;5;2012.15954589844;5;2003.08227539063;5;1969.59362792969;5;1985.67883300781;5;1994.73132324219;5;1986.50280761719;5;2374.833984375;5;2316.40942382813;5;2375.42016601563;5;2275.21704101563;5;2389.84545898438;5;2318.53930664063
6;139.286743164063;6;139.512649536133;6;115.720275878906;6;134.112701416016;6;106.029396057129;6;106.475570678711;6;391.010986328125;6;390.694641113281;6;417.738983154297;6;417.437805175781;6;392.336120605469;6;392.494354248047;6;2013.67053222656;6;2003.08227539063;6;1972.64526367188;6;1985.67883300781;6;1994.95593261719;6;1986.50280761719;6;2374.8193359375;6;2316.09204101563;6;2374.89672851563;6;2275.57592773438;6;2389.57763671875;6;2318.28051757813
7;139.282943725586;7;139.488571166992;7;133.74821472168;7;134.158706665039;7;106.034645080566;7;106.423049926758;7;391.034698486328;7;390.778900146484;7;417.621002197266;7;417.504577636719;7;392.313903808594;7;392.468231201172;7;2014.26721191406;7;2003.26684570313;7;2015.333984375;7;1986.54907226563;7;1995.02038574219;7;1986.84680175781;7;2374.73388671875;7;2316.09204101563;7;2374.85571289063;7;2275.57592773438;7;2389.7998046875;7;2318.28051757813
8;139.283493041992;8;139.482940673828;8;133.852203369141;8;134.151107788086;8;106.03589630127;8;106.398773193359;8;391.013000488281;8;390.717254638672;8;417.621002197266;8;417.410827636719;8;392.245910644531;8;392.489501953125;8;2014.28894042969;8;2003.39099121094;8;2024.51806640625;8;1986.55725097656;8;1994.88049316406;8;1986.87194824219;8;2374.73461914063;8;2316.18969726563;8;2374.2548828125;8;2276.498046875;8;2389.91748046875;8;2318.380859375
9;139.305923461914;9;139.517654418945;9;133.878723144531;9;134.184310913086;9;106.038703918457;9;106.41039276123;9;391.014923095703;9;390.671447753906;9;417.668395996094;9;417.327880859375;9;392.197509765625;9;392.440612792969;9;2014.08837890625;9;2003.40551757813;9;2025.10546875;9;1986.16760253906;9;1994.41040039063;9;1986.50366210938;9;2374.86303710938;9;2316.19140625;9;2375.20654296875;9;2275.95751953125;9;2389.97973632813;9;2318.59228515625
