05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_PAC2;05_L1_I_PAC2;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_PAC2;05_L2_I_PAC2;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_PAC2;05_L3_I_PAC2;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_PAC2;20_L1_I_PAC2;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_PAC2;20_L2_I_PAC2;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_PAC2;20_L3_I_PAC2;50_L1_t_PAC1;50_L1_I_PAC1;50_L1_t_PAC2;50_L1_I_PAC2;50_L2_t_PAC1;50_L2_I_PAC1;50_L2_t_PAC2;50_L2_I_PAC2;50_L3_t_PAC1;50_L3_I_PAC1;50_L3_t_PAC2;50_L3_I_PAC2;80_L1_t_PAC1;80_L1_I_PAC1;80_L1_t_PAC2;80_L1_I_PAC2;80_L2_t_PAC1;80_L2_I_PAC1;80_L2_t_PAC2;80_L2_I_PAC2;80_L3_t_PAC1;80_L3_I_PAC1;80_L3_t_PAC2;80_L3_I_PAC2;90_L1_t_PAC1;90_L1_I_PAC1;90_L1_t_PAC2;90_L1_I_PAC2;90_L2_t_PAC1;90_L2_I_PAC1;90_L2_t_PAC2;90_L2_I_PAC2;90_L3_t_PAC1;90_L3_I_PAC1;90_L3_t_PAC2;90_L3_I_PAC2;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_PAC2;100_L1_I_PAC2;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_PAC2;100_L2_I_PAC2;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_PAC2;100_L3_I_PAC2;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_PAC2;120_L1_I_PAC2;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_PAC2;120_L2_I_PAC2;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_PAC2;120_L3_I_PAC2
0;156.240112304688;0;156.682662963867;0;160.865341186523;0;161.41162109375;0;145.447402954102;0;146.114959716797;0;614.581970214844;0;614.10400390625;0;629.5283203125;0;629.5830078125;0;600.258056640625;0;601.000366210938;0;1498.67138671875;0;1496.15295410156;0;1517.26574707031;0;1515.73889160156;0;1512.86206054688;0;1512.90710449219;0;2394.45776367188;0;2390.20288085938;0;2404.71899414063;0;2403.28564453125;0;2400.20532226563;0;2399.54223632813;0;2672.04711914063;0;2667.6953125;0;2693.57666015625;0;2693.72241210938;0;2709.76733398438;0;2708.86157226563;0;2982.25439453125;0;2978.85107421875;0;3000.51171875;0;3008.39184570313;0;3021.59350585938;0;3021.95654296875;0;3594.74975585938;0;3594.42260742188;0;3606.5390625;0;3642.66088867188;0;3601.33764648438;0;3607.55859375
1;156.486373901367;1;156.811080932617;1;161.15608215332;1;161.515731811523;1;145.684509277344;1;146.269866943359;1;615.340881347656;1;614.900146484375;1;630.286560058594;1;630.221557617188;1;600.999450683594;1;601.605163574219;1;1497.12329101563;1;1494.40100097656;1;1515.85766601563;1;1514.24291992188;1;1511.43688964844;1;1511.484375;1;2391.89965820313;1;2387.65844726563;1;2399.65234375;1;2398.11987304688;1;2400.67431640625;1;2400.06665039063;1;2660.75610351563;1;2656.78198242188;1;2690.06591796875;1;2690.05712890625;1;2706.28149414063;1;2705.75463867188;1;2982.17578125;1;2978.64526367188;1;3000.69897460938;1;3008.34130859375;1;3021.81103515625;1;3022.12670898438;1;3605.75244140625;1;3602.25708007813;1;3617.669921875;1;3650.02416992188;1;3612.8427734375;1;3615.37158203125
2;156.514404296875;2;156.863418579102;2;161.182510375977;2;161.593688964844;2;145.729904174805;2;146.262390136719;2;615.069458007813;2;614.540344238281;2;630.044372558594;2;630.067687988281;2;600.818298339844;2;601.510681152344;2;1498.29736328125;2;1495.74230957031;2;1516.63330078125;2;1515.18383789063;2;1512.26196289063;2;1512.21459960938;2;2388.166015625;2;2384.22265625;2;2396.08154296875;2;2394.40698242188;2;2397.01904296875;2;2396.11987304688;2;2658.78857421875;2;2654.84594726563;2;2690.228515625;2;2690.52026367188;2;2704.59423828125;2;2704.06176757813;2;2981.29443359375;2;2979.62426757813;2;3000.5400390625;2;3009.11547851563;2;3020.77709960938;2;3022.82641601563;2;3601.26831054688;2;3598.57495117188;2;3614.103515625;2;3647.42041015625;2;3609.04541015625;2;3612.24926757813
3;156.514404296875;3;156.863418579102;3;161.182510375977;3;161.593688964844;3;145.729904174805;3;146.262390136719;3;615.069946289063;3;614.580200195313;3;630.171569824219;3;630.225158691406;3;601.001586914063;3;601.7060546875;3;1498.78955078125;3;1496.04553222656;3;1517.53015136719;3;1515.82360839844;3;1512.87719726563;3;1512.75512695313;3;2389.54345703125;3;2385.287109375;3;2397.2861328125;3;2395.46484375;3;2398.36010742188;3;2397.83251953125;3;2660.43725585938;3;2656.7724609375;3;2691.82885742188;3;2692.14990234375;3;2706.05346679688;3;2705.3427734375;3;2981.29443359375;3;2977.62841796875;3;3000.5400390625;3;3008.49365234375;3;3020.77709960938;3;3020.66577148438;3;3603.34814453125;3;3596.06274414063;3;3616.30908203125;3;3646.04248046875;3;3609.41967773438;3;3608.56860351563
4;156.393280029297;4;156.742065429688;4;161.07746887207;4;161.471450805664;4;145.628280639648;4;146.182876586914;4;614.546325683594;4;614.027099609375;4;629.6455078125;4;629.632263183594;4;600.300964355469;4;600.980895996094;4;1498.58618164063;4;1496.38977050781;4;1517.36828613281;4;1516.20288085938;4;1512.91955566406;4;1513.17309570313;4;2392.62133789063;4;2388.63354492188;4;2400.5732421875;4;2398.85034179688;4;2402.1083984375;4;2401.3837890625;4;2659.78344726563;4;2655.47924804688;4;2690.27197265625;4;2690.02319335938;4;2704.24536132813;4;2704.05249023438;4;2980.30932617188;4;2976.96655273438;4;2999.91235351563;4;3007.7314453125;4;3019.9296875;4;3019.91015625;4;3603.34814453125;4;3600.76611328125;4;3616.30908203125;4;3649.52807617188;4;3609.41967773438;4;3612.43310546875
5;156.393280029297;5;156.78337097168;5;161.07746887207;5;161.555130004883;5;145.628280639648;5;146.24853515625;5;614.692443847656;5;614.225524902344;5;630.000183105469;5;630.039855957031;5;600.780517578125;5;601.482666015625;5;1499.20239257813;5;1496.28796386719;5;1518.09973144531;5;1516.33764648438;5;1513.39733886719;5;1513.30590820313;5;2391.71215820313;5;2387.69409179688;5;2399.87939453125;5;2398.00341796875;5;2401.23657226563;5;2400.59008789063;5;2658.41674804688;5;2654.28759765625;5;2688.68774414063;5;2688.68115234375;5;2703.24243164063;5;2702.99389648438;5;2980.30932617188;5;2976.96655273438;5;2999.91235351563;5;3007.7314453125;5;3019.9296875;5;3019.91015625;5;3601.07250976563;5;3597.94482421875;5;3615.62158203125;5;3648.08813476563;5;3609.99047851563;5;3611.03979492188
6;159.524612426758;6;159.70166015625;6;171.461303710938;6;171.494842529297;6;169.888458251953;6;169.45573425293;6;613.918029785156;6;613.912292480469;6;629.483642578125;6;629.728881835938;6;600.708679199219;6;601.429626464844;6;1497.49060058594;6;1495.06396484375;6;1516.16064453125;6;1514.62158203125;6;1511.23742675781;6;1511.33630371094;6;2391.62915039063;6;2387.75219726563;6;2400.30029296875;6;2398.46948242188;6;2402.27783203125;6;2401.53271484375;6;2660.97192382813;6;2657.2236328125;6;2691.87451171875;6;2692.28491210938;6;2706.1318359375;6;2705.72387695313;6;2981.24731445313;6;2977.48291015625;6;3001.3271484375;6;3008.80834960938;6;3022.0390625;6;3021.9873046875;6;3601.07250976563;6;3597.94482421875;6;3615.62158203125;6;3648.08813476563;6;3609.99047851563;6;3611.03979492188
7;160.773895263672;7;161.074020385742;7;174.732986450195;7;175.087188720703;7;178.355010986328;7;179.022171020508;7;587.153259277344;7;588.056884765625;7;619.543884277344;7;620.075805664063;7;598.547607421875;7;599.349182128906;7;1498.28039550781;7;1495.595703125;7;1516.75183105469;7;1515.21325683594;7;1511.89929199219;7;1511.78076171875;7;2393.09057617188;7;2389.24609375;7;2401.75146484375;7;2399.92724609375;7;2403.357421875;7;2402.51171875;7;2661.5830078125;7;2657.80810546875;7;2692.56567382813;7;2692.7900390625;7;2706.873046875;7;2706.08203125;7;2984.05688476563;7;2980.53857421875;7;3003.7060546875;7;3011.31396484375;7;3024.56811523438;7;3024.54760742188;7;3598.70629882813;7;3594.27563476563;7;3610.0908203125;7;3640.3876953125;7;3591.90063476563;7;3588.01489257813
8;160.919326782227;8;161.219284057617;8;174.834991455078;8;175.225036621094;8;178.520965576172;8;179.10676574707;8;574.829162597656;8;574.555786132813;8;615.546203613281;8;615.609619140625;8;597.359680175781;8;597.97412109375;8;1496.81945800781;8;1493.9345703125;8;1515.42333984375;8;1513.99597167969;8;1510.81420898438;8;1510.88122558594;8;2392.427734375;8;2388.642578125;8;2400.94653320313;8;2399.37646484375;8;2401.92895507813;8;2400.88330078125;8;2662.5126953125;8;2658.66528320313;8;2692.33959960938;8;2692.6396484375;8;2706.97509765625;8;2706.19653320313;8;2983.255859375;8;2980.23315429688;8;3002.6435546875;8;3010.240234375;8;3023.76440429688;8;3024.29467773438;8;3597.66723632813;8;3594.27563476563;8;3602.6396484375;8;3640.3876953125;8;3571.751953125;8;3588.01489257813
9;160.839508056641;9;161.16667175293;9;174.687530517578;9;175.096176147461;9;178.408416748047;9;179.000610351563;9;574.286682128906;9;573.87548828125;9;615.733215332031;9;615.77294921875;9;597.258056640625;9;597.949890136719;9;1496.49841308594;9;1493.9345703125;9;1515.59985351563;9;1513.99597167969;9;1510.88952636719;9;1510.88122558594;9;2393.65869140625;9;2389.60205078125;9;2403.14819335938;9;2401.146484375;9;2403.21630859375;9;2402.65283203125;9;2662.51391601563;9;2658.4619140625;9;2691.81469726563;9;2692.12280273438;9;2706.53491210938;9;2705.91064453125;9;2982.75756835938;9;2978.74658203125;9;3003.47607421875;9;3010.80859375;9;3023.68505859375;9;3023.39233398438;9;3594.37646484375;9;3590.95434570313;9;3598.53955078125;9;3631.17138671875;9;3568.71411132813;9;3571.7919921875
10;160.904098510742;10;161.212036132813;10;174.740173339844;10;175.123611450195;10;178.496276855469;10;179.10774230957;10;573.946044921875;10;573.55322265625;10;615.36181640625;10;615.414978027344;10;596.849792480469;10;597.536010742188;10;1496.46203613281;10;1493.89892578125;10;1515.64575195313;10;1514.10632324219;10;1510.67407226563;10;1510.63708496094;10;2392.00708007813;10;2388.22900390625;10;2401.6259765625;10;2400.06274414063;10;2401.99609375;10;2400.90991210938;10;2661.853515625;10;2657.94921875;10;2691.94555664063;10;2691.98291015625;10;2706.80932617188;10;2706.37182617188;10;2982.05517578125;10;2978.64086914063;10;3002.392578125;10;3010.23754882813;10;3022.2958984375;10;3022.30126953125;10;3595.37255859375;10;3592.08081054688;10;3599.85961914063;10;3632.39013671875;10;3569.68579101563;10;3572.79858398438
11;160.871185302734;11;161.199737548828;11;174.715789794922;11;175.121978759766;11;178.476425170898;11;179.047973632813;11;574.066467285156;11;573.77001953125;11;615.444152832031;11;615.668151855469;11;596.946044921875;11;597.71240234375;11;1496.46203613281;11;1493.89892578125;11;1515.64575195313;11;1514.10632324219;11;1510.67407226563;11;1510.63708496094;11;2393.83642578125;11;2389.80688476563;11;2403.49633789063;11;2401.80590820313;11;2403.89916992188;11;2403.09521484375;11;2661.48486328125;11;2657.49951171875;11;2692.05419921875;11;2692.24877929688;11;2706.4306640625;11;2705.80395507813;11;2981.34106445313;11;2978.05639648438;11;3001.81274414063;11;3009.330078125;11;3020.49975585938;11;3021.64111328125;11;3591.60717773438;11;3589.44653320313;11;3595.30297851563;11;3628.19018554688;11;3564.78051757813;11;3567.85229492188
12;160.786270141602;12;161.123977661133;12;174.63298034668;12;175.003860473633;12;178.379653930664;12;178.958526611328;12;574.159118652344;12;573.77001953125;12;615.586730957031;12;615.668151855469;12;597.038452148438;12;597.71240234375;12;1495.79211425781;12;1493.03198242188;12;1515.24462890625;12;1513.64453125;12;1510.1533203125;12;1509.83935546875;12;2391.95971679688;12;2387.74145507813;12;2400.77905273438;12;2399.08422851563;12;2400.96142578125;12;2400.31494140625;12;2683.31640625;12;2680.06811523438;12;2696.82836914063;12;2697.83276367188;12;2709.79931640625;12;2709.53955078125;12;2985.3251953125;12;2981.93969726563;12;3006.07690429688;12;3013.28149414063;12;3025.21533203125;12;3025.27880859375;12;3568.47631835938;12;3561.72314453125;12;3571.26635742188;12;3598.78125;12;3541.27001953125;12;3538.97875976563
13;160.818557739258;13;161.160537719727;13;174.653869628906;13;175.050354003906;13;178.397537231445;13;178.986740112305;13;573.97119140625;13;573.575378417969;13;615.332336425781;13;615.368286132813;13;596.691650390625;13;597.354614257813;13;1495.79211425781;13;1495.39892578125;13;1515.24462890625;13;1515.53283691406;13;1510.1533203125;13;1511.8984375;13;2393.57543945313;13;2389.23071289063;13;2402.384765625;13;2400.79833984375;13;2403.18725585938;13;2402.65014648438;13;2706.05810546875;13;2702.1484375;13;2707.0771484375;13;2708.0732421875;13;2713.30224609375;13;2712.93408203125;13;2984.93432617188;13;2981.25146484375;13;3005.77221679688;13;3013.57763671875;13;3024.66088867188;13;3024.73022460938;13;3567.2861328125;13;3565.96362304688;13;3570.263671875;13;3603.44555664063;13;3540.01953125;13;3544.31567382813
14;160.880340576172;14;161.215972900391;14;174.796417236328;14;175.198455810547;14;178.578369140625;14;179.164916992188;14;573.97119140625;14;573.575378417969;14;615.332336425781;14;615.368286132813;14;596.691650390625;14;597.354614257813;14;1497.07592773438;14;1494.47253417969;14;1516.4794921875;14;1515.033203125;14;1511.28845214844;14;1511.14819335938;14;2393.56640625;14;2389.28271484375;14;2402.94702148438;14;2401.25439453125;14;2403.29541015625;14;2402.79516601563;14;2708.146484375;14;2703.86401367188;14;2709.45629882813;14;2710.10668945313;14;2712.65991210938;14;2712.43872070313;14;2982.28735351563;14;2978.99243164063;14;3002.69970703125;14;3010.859375;14;3022.392578125;14;3022.556640625;14;3573.28979492188;14;3572.37524414063;14;3578.4052734375;14;3612.2216796875;14;3548.03100585938;14;3552.25854492188
