05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_PAC2;05_L1_I_PAC2;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_PAC2;05_L2_I_PAC2;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_PAC2;05_L3_I_PAC2;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_PAC2;20_L1_I_PAC2;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_PAC2;20_L2_I_PAC2;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_PAC2;20_L3_I_PAC2;50_L1_t_PAC1;50_L1_I_PAC1;50_L1_t_PAC2;50_L1_I_PAC2;50_L2_t_PAC1;50_L2_I_PAC1;50_L2_t_PAC2;50_L2_I_PAC2;50_L3_t_PAC1;50_L3_I_PAC1;50_L3_t_PAC2;50_L3_I_PAC2;80_L1_t_PAC1;80_L1_I_PAC1;80_L1_t_PAC2;80_L1_I_PAC2;80_L2_t_PAC1;80_L2_I_PAC1;80_L2_t_PAC2;80_L2_I_PAC2;80_L3_t_PAC1;80_L3_I_PAC1;80_L3_t_PAC2;80_L3_I_PAC2;90_L1_t_PAC1;90_L1_I_PAC1;90_L1_t_PAC2;90_L1_I_PAC2;90_L2_t_PAC1;90_L2_I_PAC1;90_L2_t_PAC2;90_L2_I_PAC2;90_L3_t_PAC1;90_L3_I_PAC1;90_L3_t_PAC2;90_L3_I_PAC2;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_PAC2;100_L1_I_PAC2;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_PAC2;100_L2_I_PAC2;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_PAC2;100_L3_I_PAC2;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_PAC2;120_L1_I_PAC2;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_PAC2;120_L2_I_PAC2;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_PAC2;120_L3_I_PAC2
0;128.606597900391;0;128.842742919922;0;143.629638671875;0;143.896469116211;0;142.101013183594;0;142.529861450195;0;569.514770507813;0;619.383117675781;0;602.481201171875;0;620.857788085938;0;613.655029296875;0;613.515502929688;0;1506.95471191406;0;1503.205078125;0;1513.28247070313;0;1511.08776855469;0;1508.97961425781;0;1507.21875;0;2358.68310546875;0;2352.32666015625;0;2389.37377929688;0;2372.97094726563;0;2387.86499023438;0;2384.3251953125;0;2690.40673828125;0;2678.95336914063;0;2720.58959960938;0;2666.62939453125;0;2708.37817382813;0;2704.59155273438;0;3014.455078125;0;3013.24340820313;0;3002.29663085938;0;2914.73803710938;0;3004.06127929688;0;2994.58911132813;0;3627.06176757813;0;3582.70678710938;0;3638.94677734375;0;3435.22534179688;0;3613.84594726563;0;3585.7314453125
1;128.426422119141;1;128.665145874023;1;143.670349121094;1;144.019989013672;1;142.201690673828;1;142.45719909668;1;565.757385253906;1;619.583618164063;1;602.233093261719;1;616.197937011719;1;613.171142578125;1;613.514953613281;1;1506.51501464844;1;1503.04650878906;1;1512.51281738281;1;1510.80053710938;1;1508.74694824219;1;1507.56506347656;1;2357.42529296875;1;2352.02075195313;1;2391.06591796875;1;2373.01635742188;1;2389.353515625;1;2386.130859375;1;2690.42700195313;1;2675.81079101563;1;2717.982421875;1;2669.33764648438;1;2705.7568359375;1;2702.15771484375;1;3022.59375;1;3012.78588867188;1;3002.74340820313;1;2913.41479492188;1;3004.2197265625;1;2999.599609375;1;3611.328125;1;3581.27685546875;1;3626.99243164063;1;3437.04443359375;1;3612.14721679688;1;3583.83862304688
2;128.524459838867;2;128.715118408203;2;143.626068115234;2;143.965484619141;2;142.126159667969;2;142.480941772461;2;565.371337890625;2;606.7333984375;2;602.807006835938;2;602.097595214844;2;613.756591796875;2;613.514953613281;2;1506.13403320313;2;1503.34790039063;2;1510.87951660156;2;1510.99682617188;2;1506.60815429688;2;1506.06005859375;2;2358.75024414063;2;2351.44580078125;2;2389.6982421875;2;2373.01806640625;2;2387.84838867188;2;2385.32739257813;2;2687.95654296875;2;2679.2080078125;2;2718.44702148438;2;2671.486328125;2;2705.26513671875;2;2700.94067382813;2;3023.04248046875;2;3010.45385742188;2;3002.53002929688;2;2904.23095703125;2;3003.9013671875;2;2998.27905273438;2;3575.56689453125;2;3584.05932617188;2;3623.94750976563;2;3438.58056640625;2;3610.08276367188;2;3581.43359375
3;128.443359375;3;128.691589355469;3;143.605621337891;3;143.969909667969;3;142.088928222656;3;142.420974731445;3;565.821350097656;3;565.022521972656;3;602.222961425781;3;602.097595214844;3;613.191955566406;3;613.183410644531;3;1504.46252441406;3;1503.67016601563;3;1512.62463378906;3;1511.07092285156;3;1508.41027832031;3;1505.61352539063;3;2356.90014648438;3;2351.95581054688;3;2390.30908203125;3;2370.7783203125;3;2387.84619140625;3;2384.07958984375;3;2688.72412109375;3;2681.13012695313;3;2718.71533203125;3;2671.89819335938;3;2706.07202148438;3;2702.21484375;3;3022.55810546875;3;3004.69555664063;3;3002.32836914063;3;2905.78466796875;3;3004.06103515625;3;2998.27905273438;3;3563.67724609375;3;3584.9013671875;3;3624.7109375;3;3433.37084960938;3;3610.65356445313;3;3581.18994140625
4;128.435775756836;4;128.731185913086;4;143.605621337891;4;143.886734008789;4;142.088928222656;4;142.409164428711;4;565.624694824219;4;565.022521972656;4;602.082824707031;4;602.527648925781;4;612.925842285156;4;613.183410644531;4;1506.36291503906;4;1503.35583496094;4;1513.33227539063;4;1510.75402832031;4;1508.68188476563;4;1506.88037109375;4;2357.36572265625;4;2350.23901367188;4;2391.412109375;4;2372.5869140625;4;2389.49682617188;4;2386.14819335938;4;2689.03491210938;4;2681.32568359375;4;2719.90454101563;4;2669.31762695313;4;2706.74047851563;4;2703.66088867188;4;3022.37426757813;4;3006.89721679688;4;3003.15942382813;4;2909.52490234375;4;3005.04736328125;4;2998.525390625;4;3564.349609375;4;3576.97778320313;4;3623.96411132813;4;3422.38989257813;4;3609.87084960938;4;3580.88305664063
5;128.435775756836;5;128.683654785156;5;143.600341796875;5;143.948913574219;5;142.073989868164;5;142.473480224609;5;565.396301269531;5;564.967163085938;5;602.295349121094;5;602.527648925781;5;613.197265625;5;613.167907714844;5;1506.38732910156;5;1502.84851074219;5;1513.46179199219;5;1509.46411132813;5;1509.08679199219;5;1507.48425292969;5;2358.58129882813;5;2351.89111328125;5;2390.72290039063;5;2371.93359375;5;2388.51733398438;5;2385.458984375;5;2690.33471679688;5;2679.10791015625;5;2717.60131835938;5;2668.93115234375;5;2705.12744140625;5;2701.2451171875;5;3020.8505859375;5;3009.94409179688;5;3001.68774414063;5;2909.25610351563;5;3003.20776367188;5;2998.525390625;5;3564.3837890625;5;3544.53662109375;5;3623.06909179688;5;3417.7822265625;5;3609.93701171875;5;3581.42138671875
6;128.395248413086;6;128.665466308594;6;143.600341796875;6;143.876327514648;6;142.073989868164;6;142.400436401367;6;565.496887207031;6;564.967163085938;6;602.59765625;6;602.11376953125;6;613.388244628906;6;613.338562011719;6;1506.38293457031;6;1501.97033691406;6;1513.24194335938;6;1509.33569335938;6;1509.30310058594;6;1507.48425292969;6;2359.24755859375;6;2350.82983398438;6;2400.13940429688;6;2371.46826171875;6;2392.9375;6;2388.50927734375;6;2686.75830078125;6;2679.03588867188;6;2719.34448242188;6;2670.33642578125;6;2707.45678710938;6;2701.99560546875;6;3019.26782226563;6;3007.67749023438;6;3001.15551757813;6;2909.25610351563;6;3002.74291992188;6;2998.82495117188;6;3564.3525390625;6;3528.90771484375;6;3625.1904296875;6;3418.9609375;6;3610.55004882813;6;3580.84155273438
7;128.395248413086;7;128.663696289063;7;143.555114746094;7;143.876617431641;7;142.005493164063;7;142.282989501953;7;565.684753417969;7;564.974853515625;7;602.405029296875;7;602.11376953125;7;613.375122070313;7;612.79150390625;7;1506.96398925781;7;1501.83605957031;7;1513.24987792969;7;1510.7685546875;7;1509.47790527344;7;1507.50463867188;7;2389.70385742188;7;2349.7548828125;7;2407.53540039063;7;2372.57885742188;7;2394.82177734375;7;2392.03149414063;7;2689.59594726563;7;2679.7314453125;7;2719.81103515625;7;2671.30078125;7;2708.21240234375;7;2704.40673828125;7;3018.9345703125;7;3007.67749023438;7;3002.416015625;7;2909.47387695313;7;3004.11987304688;7;2998.82495117188;7;3564.96557617188;7;3528.24536132813;7;3625.35913085938;7;3418.57397460938;7;3611.0966796875;7;3581.767578125
8;128.380218505859;8;128.664093017578;8;143.555114746094;8;143.940017700195;8;142.005493164063;8;142.402236938477;8;565.785949707031;8;564.974853515625;8;601.605895996094;8;602.324523925781;8;612.584411621094;8;612.980041503906;8;1507.88623046875;8;1503.07580566406;8;1513.06530761719;8;1511.16723632813;8;1508.91772460938;8;1507.50463867188;8;2408.21044921875;8;2351.62915039063;8;2409.49145507813;8;2372.337890625;8;2395.36694335938;8;2392.03149414063;8;2690.6181640625;8;2681.2138671875;8;2719.96875;8;2669.25268554688;8;2707.80712890625;8;2703.8935546875;8;3019.83862304688;8;3006.8779296875;8;3002.49462890625;8;2909.47387695313;8;3003.95825195313;8;2999.28759765625;8;3565.81323242188;8;3528.61840820313;8;3625.49487304688;8;3417.4580078125;8;3611.07446289063;8;3581.767578125
9;128.380218505859;9;128.674163818359;9;143.5283203125;9;143.890380859375;9;141.987731933594;9;142.181640625;9;565.023681640625;9;564.845397949219;9;602.155090332031;9;602.3701171875;9;613.251892089844;9;612.735290527344;9;1507.39050292969;9;1503.12854003906;9;1512.88623046875;9;1511.16723632813;9;1508.68408203125;9;1507.16918945313;9;2410.85864257813;9;2351.54711914063;9;2409.11181640625;9;2375.8525390625;9;2394.72021484375;9;2391.81591796875;9;2690.76220703125;9;2678.701171875;9;2719.91088867188;9;2669.31494140625;9;2708.06762695313;9;2704.18798828125;9;3019.02294921875;9;3006.8779296875;9;3002.6103515625;9;2909.54028320313;9;3004.60571289063;9;2999.8759765625;9;3566.01098632813;9;3529.07861328125;9;3625.87475585938;9;3419.37744140625;9;3611.77075195313;9;3582.26977539063
