05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_PAC2;05_L1_I_PAC2;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_PAC2;05_L2_I_PAC2;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_PAC2;05_L3_I_PAC2;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_PAC2;20_L1_I_PAC2;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_PAC2;20_L2_I_PAC2;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_PAC2;20_L3_I_PAC2;50_L1_t_PAC1;50_L1_I_PAC1;50_L1_t_PAC2;50_L1_I_PAC2;50_L2_t_PAC1;50_L2_I_PAC1;50_L2_t_PAC2;50_L2_I_PAC2;50_L3_t_PAC1;50_L3_I_PAC1;50_L3_t_PAC2;50_L3_I_PAC2;80_L1_t_PAC1;80_L1_I_PAC1;80_L1_t_PAC2;80_L1_I_PAC2;80_L2_t_PAC1;80_L2_I_PAC1;80_L2_t_PAC2;80_L2_I_PAC2;80_L3_t_PAC1;80_L3_I_PAC1;80_L3_t_PAC2;80_L3_I_PAC2;90_L1_t_PAC1;90_L1_I_PAC1;90_L1_t_PAC2;90_L1_I_PAC2;90_L2_t_PAC1;90_L2_I_PAC1;90_L2_t_PAC2;90_L2_I_PAC2;90_L3_t_PAC1;90_L3_I_PAC1;90_L3_t_PAC2;90_L3_I_PAC2;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_PAC2;100_L1_I_PAC2;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_PAC2;100_L2_I_PAC2;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_PAC2;100_L3_I_PAC2;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_PAC2;120_L1_I_PAC2;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_PAC2;120_L2_I_PAC2;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_PAC2;120_L3_I_PAC2
0;142.560913085938;0;142.789932250977;0;126.732215881348;0;126.999046325684;0;145.970016479492;0;146.425582885742;0;614.527038574219;0;613.774230957031;0;621.818420410156;0;621.512756347656;0;595.000610351563;0;595.477722167969;0;1496.32690429688;0;1492.84545898438;0;1518.17126464844;0;1516.09716796875;0;1509.61059570313;0;1508.96435546875;0;2428.01904296875;0;2421.35961914063;0;2448.12475585938;0;2434.56469726563;0;2390.09204101563;0;2388.37719726563;0;2674.31005859375;0;2665.31884765625;0;2683.24926757813;0;2647.17993164063;0;2681.51733398438;0;2679.25317382813;0;3027.58227539063;0;3015.28637695313;0;3015.79809570313;0;2935.1181640625;0;3023.48461914063;0;3018.61889648438;0;3611.08251953125;0;3542.271484375;0;3609.45190429688;0;3425.18408203125;0;3595.4111328125;0;3580.31518554688
1;142.536590576172;1;142.724548339844;1;126.689079284668;1;127.003067016602;1;145.936645507813;1;146.378646850586;1;617.19775390625;1;616.341552734375;1;629.287963867188;1;629.127624511719;1;615.791442871094;1;615.98095703125;1;1497.46374511719;1;1494.04052734375;1;1519.40930175781;1;1517.35961914063;1;1510.81726074219;1;1510.06396484375;1;2368.16284179688;1;2394.64184570313;1;2379.06005859375;1;2420.04174804688;1;2373.34692382813;1;2385.35620117188;1;2674.32202148438;1;2665.9072265625;1;2682.3642578125;1;2646.49267578125;1;2682.25219726563;1;2679.4482421875;1;3027.28979492188;1;3015.49877929688;1;3014.85791015625;1;2936.41235351563;1;3022.50927734375;1;3020.14086914063;1;3612.30493164063;1;3542.49926757813;1;3610.78198242188;1;3425.95556640625;1;3596.87670898438;1;3581.77661132813
2;142.44384765625;2;142.443832397461;2;126.629356384277;2;126.717590332031;2;145.840347290039;2;146.07405090332;2;617.557067871094;2;616.7080078125;2;629.345458984375;2;629.057678222656;2;616.36181640625;2;616.651000976563;2;1497.46374511719;2;1494.04052734375;2;1519.40930175781;2;1517.35961914063;2;1510.81726074219;2;1510.06396484375;2;2368.16284179688;2;2359.65942382813;2;2379.06005859375;2;2363.93408203125;2;2373.34692382813;2;2370.51782226563;2;2676.96020507813;2;2668.25073242188;2;2684.58056640625;2;2648.14135742188;2;2684.728515625;2;2682.09057617188;2;3027.4794921875;2;3014.82080078125;2;3016.90600585938;2;2937.02685546875;2;3024.33862304688;2;3020.18334960938;2;3611.373046875;2;3541.92846679688;2;3610.07958984375;2;3425.47607421875;2;3595.55322265625;2;3579.94409179688
3;142.241683959961;3;142.443832397461;3;126.424850463867;3;126.717590332031;3;145.633804321289;3;146.07405090332;3;617.495788574219;3;616.676452636719;3;629.195922851563;3;628.985900878906;3;616.248901367188;3;616.4248046875;3;1498.22546386719;3;1494.90100097656;3;1519.662109375;3;1517.84545898438;3;1511.40270996094;3;1510.84436035156;3;2358.24755859375;3;2351.1513671875;3;2363.83471679688;3;2351.03784179688;3;2371.15185546875;3;2368.90258789063;3;2674.37377929688;3;2665.72216796875;3;2681.2646484375;3;2644.99389648438;3;2681.58227539063;3;2678.56518554688;3;3028.826171875;3;3016.7265625;3;3018.75610351563;3;2938.94409179688;3;3025.96142578125;3;3021.93286132813;3;3614.25610351563;3;3545.3828125;3;3613.1396484375;3;3428.46435546875;3;3598.5634765625;3;3583.90942382813
4;142.444198608398;4;142.647598266602;4;126.624961853027;4;126.905570983887;4;145.822860717773;4;146.270935058594;4;617.859436035156;4;616.994873046875;4;629.485412597656;4;629.189208984375;4;616.531433105469;4;616.810913085938;4;1498.33239746094;4;1494.73327636719;4;1519.64611816406;4;1517.66003417969;4;1511.21997070313;4;1510.55358886719;4;2358.89965820313;4;2352.0126953125;4;2370.39086914063;4;2358.04711914063;4;2383.19555664063;4;2383.10205078125;4;2676.15942382813;4;2667.72143554688;4;2682.96557617188;4;2646.79663085938;4;2683.35375976563;4;2680.8212890625;4;3012.91577148438;4;2994.53466796875;4;3009.94458007813;4;2928.53637695313;4;3023.16381835938;4;3018.47119140625;4;3611.8583984375;4;3543.02563476563;4;3610.47241210938;4;3425.62841796875;4;3596.39086914063;4;3581.57934570313
5;142.444198608398;5;142.647598266602;5;126.624961853027;5;126.905570983887;5;145.822860717773;5;146.270935058594;5;617.745971679688;5;616.886474609375;5;629.343139648438;5;629.026733398438;5;616.46923828125;5;616.783081054688;5;1498.24975585938;5;1494.95068359375;5;1519.69055175781;5;1517.74963378906;5;1511.39855957031;5;1510.70812988281;5;2361.75170898438;5;2354.8583984375;5;2378.25805664063;5;2364.37524414063;5;2406.6552734375;5;2404.53881835938;5;2674.49389648438;5;2666.51245117188;5;2682.0849609375;5;2646.2255859375;5;2682.06494140625;5;2679.64184570313;5;2981.98706054688;5;2967.12109375;5;2998.94653320313;5;2920.3076171875;5;3020.568359375;5;3015.82763671875;5;3613.873046875;5;3543.76928710938;5;3612.48486328125;5;3427.1806640625;5;3598.04711914063;5;3582.732421875
6;142.395050048828;6;142.601364135742;6;126.546226501465;6;126.825950622559;6;145.760482788086;6;146.211288452148;6;617.360595703125;6;616.483642578125;6;628.858337402344;6;628.565185546875;6;616.115661621094;6;616.412841796875;6;1498.38391113281;6;1494.91003417969;6;1519.72436523438;6;1517.75659179688;6;1511.65966796875;6;1510.90673828125;6;2363.99291992188;6;2357.1767578125;6;2380.09838867188;6;2365.49047851563;6;2409.05541992188;6;2407.31420898438;6;2675.47583007813;6;2666.82592773438;6;2683.28198242188;6;2646.57080078125;6;2682.44360351563;6;2678.77905273438;6;2971.82470703125;6;2961.04174804688;6;2996.76000976563;6;2919.69848632813;6;3016.89184570313;6;3013.93676757813;6;3610.17333984375;6;3541.49926757813;6;3609.37231445313;6;3424.7783203125;6;3595.08349609375;6;3578.99487304688
7;142.395050048828;7;142.652954101563;7;126.546226501465;7;126.907669067383;7;145.760482788086;7;146.262680053711;7;617.679748535156;7;616.803161621094;7;629.140502929688;7;628.893859863281;7;616.556945800781;7;616.829162597656;7;1497.94177246094;7;1494.48522949219;7;1519.56469726563;7;1517.60009765625;7;1511.60998535156;7;1510.86083984375;7;2363.2607421875;7;2356.39184570313;7;2379.3525390625;7;2364.7119140625;7;2407.8837890625;7;2406.0556640625;7;2719.13110351563;7;2711.560546875;7;2696.21606445313;7;2659.3984375;7;2687.79907226563;7;2684.66064453125;7;2973.443359375;7;2961.42260742188;7;2997.57861328125;7;2919.287109375;7;3017.23657226563;7;3013.37768554688;7;3609.28466796875;7;3541.28369140625;7;3608.43115234375;7;3424.791015625;7;3594.22534179688;7;3579.29638671875
8;142.415664672852;8;142.629318237305;8;126.60733795166;8;126.877731323242;8;145.763366699219;8;146.231567382813;8;617.500366210938;8;616.616882324219;8;629.01806640625;8;628.814331054688;8;616.423278808594;8;616.658203125;8;1497.83435058594;8;1494.57153320313;8;1519.09228515625;8;1517.20373535156;8;1510.93786621094;8;1510.17272949219;8;2364.31787109375;8;2357.3193359375;8;2380.68115234375;8;2365.7939453125;8;2409.73461914063;8;2407.51489257813;8;2719.13110351563;8;2711.560546875;8;2696.21606445313;8;2659.3984375;8;2687.79907226563;8;2684.66064453125;8;2973.8955078125;8;2962.9580078125;8;2998.24877929688;8;2921.45776367188;8;3017.97729492188;8;3014.90551757813;8;3610.32763671875;8;3541.58129882813;8;3608.91284179688;8;3424.8740234375;8;3594.005859375;8;3578.68920898438
9;142.468002319336;9;142.659255981445;9;126.653312683105;9;126.940994262695;9;145.836044311523;9;146.292953491211;9;617.442504882813;9;616.175598144531;9;628.855651855469;9;628.1591796875;9;616.353088378906;9;616.210144042969;9;1497.56787109375;9;1494.11560058594;9;1518.59118652344;9;1516.53454589844;9;1510.5673828125;9;1509.70336914063;9;2361.82958984375;9;2355.515625;9;2377.93896484375;9;2363.5283203125;9;2406.97143554688;9;2405.41625976563;9;2724.9716796875;9;2716.5244140625;9;2700.65966796875;9;2663.60278320313;9;2686.98120117188;9;2684.53100585938;9;2972.19604492188;9;2960.29321289063;9;2996.66088867188;9;2919.31811523438;9;3016.09765625;9;3011.88745117188;9;3610.1025390625;9;3541.64453125;9;3609.66918945313;9;3425.61401367188;9;3594.63818359375;9;3579.1689453125
