05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_PAC2;05_L1_I_PAC2;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_PAC2;05_L2_I_PAC2;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_PAC2;05_L3_I_PAC2;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_PAC2;20_L1_I_PAC2;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_PAC2;20_L2_I_PAC2;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_PAC2;20_L3_I_PAC2;50_L1_t_PAC1;50_L1_I_PAC1;50_L1_t_PAC2;50_L1_I_PAC2;50_L2_t_PAC1;50_L2_I_PAC1;50_L2_t_PAC2;50_L2_I_PAC2;50_L3_t_PAC1;50_L3_I_PAC1;50_L3_t_PAC2;50_L3_I_PAC2;80_L1_t_PAC1;80_L1_I_PAC1;80_L1_t_PAC2;80_L1_I_PAC2;80_L2_t_PAC1;80_L2_I_PAC1;80_L2_t_PAC2;80_L2_I_PAC2;80_L3_t_PAC1;80_L3_I_PAC1;80_L3_t_PAC2;80_L3_I_PAC2;90_L1_t_PAC1;90_L1_I_PAC1;90_L1_t_PAC2;90_L1_I_PAC2;90_L2_t_PAC1;90_L2_I_PAC1;90_L2_t_PAC2;90_L2_I_PAC2;90_L3_t_PAC1;90_L3_I_PAC1;90_L3_t_PAC2;90_L3_I_PAC2;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_PAC2;100_L1_I_PAC2;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_PAC2;100_L2_I_PAC2;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_PAC2;100_L3_I_PAC2;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_PAC2;120_L1_I_PAC2;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_PAC2;120_L2_I_PAC2;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_PAC2;120_L3_I_PAC2
0;252.671173095703;0;272.3291015625;0;232.623153686523;0;232.823944091797;0;245.297576904297;0;245.71501159668;0;952.347717285156;0;1066.23950195313;0;959.93994140625;0;959.265319824219;0;947.079162597656;0;946.975952148438;0;2510.26708984375;0;2849.55029296875;0;2520.69018554688;0;2516.98315429688;0;2504.25634765625;0;2501.7802734375;0;4018.76391601563;0;4536.2080078125;0;4029.80126953125;0;4019.15063476563;0;4000.67626953125;0;3992.55639648438;0;4510.46240234375;0;5041.65966796875;0;4493.3271484375;0;4469.92822265625;0;4516.1826171875;0;4503.544921875;0;4996.44873046875;0;5520.37841796875;0;5010.63720703125;0;4961.04638671875;0;4993.1767578125;0;4974.287109375;0;5973.30615234375;0;6428.8466796875;0;6030.314453125;0;5900.17333984375;0;5991.2041015625;0;5964.900390625
1;252.598571777344;1;272.134460449219;1;232.546035766602;1;232.691711425781;1;245.196411132813;1;245.549423217773;1;952.347717285156;1;1066.23950195313;1;959.93994140625;1;959.265319824219;1;947.079162597656;1;946.975952148438;1;2509.41235351563;1;2847.71484375;1;2519.91577148438;1;2516.71875;1;2503.88061523438;1;2501.7451171875;1;4019.66943359375;1;4536.689453125;1;4030.47290039063;1;4019.79125976563;1;4001.5283203125;1;3993.36059570313;1;4510.46240234375;1;5040.640625;1;4493.3271484375;1;4468.18115234375;1;4516.1826171875;1;4502.681640625;1;4996.44873046875;1;5519.49853515625;1;5010.63720703125;1;4961.287109375;1;4993.1767578125;1;4974.96630859375;1;5972.689453125;1;6415.77490234375;1;6031.70263671875;1;5899.91015625;1;5990.57958984375;1;5963.62353515625
2;252.529571533203;2;272.174255371094;2;232.491027832031;2;232.751327514648;2;245.194854736328;2;245.647064208984;2;953.40576171875;2;1067.5576171875;2;960.465209960938;2;959.959228515625;2;948.057250976563;2;947.911743164063;2;2509.06811523438;2;2847.70751953125;2;2519.03662109375;2;2514.8505859375;2;2503.61743164063;2;2500.79296875;2;4018.97802734375;2;4534.1025390625;2;4030.02368164063;2;4018.43579101563;2;4001.78540039063;2;3992.16870117188;2;4510.3232421875;2;5039.24658203125;2;4492.0537109375;2;4465.47314453125;2;4516.046875;2;4501.3798828125;2;4993.599609375;2;5513.70703125;2;5008.37158203125;2;4956.97998046875;2;4990.57568359375;2;4970.00048828125;2;5975.1669921875;2;6419.45068359375;2;6032.63623046875;2;5899.0576171875;2;5994.01708984375;2;5967.14208984375
3;252.818466186523;3;272.436187744141;3;232.670700073242;3;232.805145263672;3;245.544738769531;3;245.943145751953;3;953.402038574219;3;1067.36596679688;3;960.325012207031;3;959.627136230469;3;947.868469238281;3;947.681274414063;3;2507.43701171875;3;2846.81103515625;3;2516.95629882813;3;2513.81079101563;3;2501.26098632813;3;2499.19287109375;3;4016.16918945313;3;4534.7861328125;3;4027.35009765625;3;4018.09521484375;3;3999.41967773438;3;3993.11450195313;3;4505.06591796875;3;5033.57568359375;3;4486.70751953125;3;4459.31982421875;3;4511.4521484375;3;4497.3984375;3;4992.33984375;3;5515.5400390625;3;5005.85107421875;3;4956.96533203125;3;4989.18115234375;3;4971.01806640625;3;5977.3935546875;3;6419.45068359375;3;6036.4833984375;3;5899.0576171875;3;5997.57421875;3;5967.14208984375
4;252.607513427734;4;272.265106201172;4;232.562774658203;4;232.81999206543;4;245.298675537109;4;245.739273071289;4;952.906677246094;4;1066.7265625;4;959.622192382813;4;959.019653320313;4;947.780151367188;4;947.654602050781;4;2510.93408203125;4;2849.14624023438;4;2519.88940429688;4;2516.04345703125;4;2504.54321289063;4;2501.36889648438;4;4019.439453125;4;4535.15185546875;4;4029.93359375;4;4018.34521484375;4;4002.255859375;4;3993.11938476563;4;4505.869140625;4;5033.57568359375;4;4487.1015625;4;4459.31982421875;4;4512.265625;4;4497.3984375;4;5000.21142578125;4;5524.556640625;4;5011.9072265625;4;4963.958984375;4;4996.2392578125;4;4979.36376953125;4;5963.12939453125;4;6409.3603515625;4;6025.03955078125;4;5881.83056640625;4;5984.22412109375;4;5946.76318359375
5;252.717071533203;5;272.278228759766;5;232.660537719727;5;232.813354492188;5;245.385559082031;5;245.719940185547;5;953.5703125;5;1068.78845214844;5;959.896606445313;5;959.150390625;5;947.609130859375;5;947.434020996094;5;2510.82275390625;5;2850.13745117188;5;2520.16381835938;5;2516.6337890625;5;2504.486328125;5;2502.04345703125;5;4020.07568359375;5;4536.71826171875;5;4030.08251953125;5;4018.94458007813;5;4004.0673828125;5;3995.62158203125;5;4508.59375;5;5039.2490234375;5;4490.51318359375;5;4466.22802734375;5;4514.6875;5;4502.62255859375;5;5002.33203125;5;5523.88232421875;5;5014.44873046875;5;4963.14404296875;5;4998.39697265625;5;4978.52880859375;5;5942.671875;5;6396.337890625;5;5969.72314453125;5;5837.208984375;5;5958.48876953125;5;5933.19775390625
6;252.542877197266;6;272.170227050781;6;232.544815063477;6;232.771743774414;6;245.311996459961;6;245.740753173828;6;985.446533203125;6;1110.03759765625;6;986.658081054688;6;992.754821777344;6;953.066711425781;6;955.041137695313;6;2510.82275390625;6;2850.13745117188;6;2520.16381835938;6;2516.6337890625;6;2504.486328125;6;2502.04345703125;6;4016.537109375;6;4534.35595703125;6;4026.58203125;6;4017.50048828125;6;4000.59985351563;6;3993.64331054688;6;4508.8310546875;6;5038.47021484375;6;4491.80126953125;6;4466.9150390625;6;4514.1884765625;6;4501.544921875;6;4998.64404296875;6;5523.88232421875;6;5010.4521484375;6;4963.14404296875;6;4994.8564453125;6;4978.52880859375;6;5931.72705078125;6;6370.5087890625;6;5946.91162109375;6;5807.71435546875;6;5951.076171875;6;5909.7294921875
7;252.631774902344;7;272.220581054688;7;232.61882019043;7;232.811065673828;7;245.408538818359;7;245.759201049805;7;1010.25402832031;7;1132.94543457031;7;1023.79150390625;7;1024.18981933594;7;965.12109375;7;965.329528808594;7;2509.912109375;7;2849.05859375;7;2519.66845703125;7;2516.07739257813;7;2504.09448242188;7;2501.57568359375;7;4014.28759765625;7;4527.55810546875;7;4024.91088867188;7;4011.71362304688;7;3997.91772460938;7;3987.20849609375;7;4510.6513671875;7;5039.63525390625;7;4493.81201171875;7;4467.298828125;7;4515.9296875;7;4502.44482421875;7;5000.146484375;7;5521.3544921875;7;5012.00927734375;7;4960.6748046875;7;4996.38916015625;7;4976.45751953125;7;5895.6279296875;7;6370.5087890625;7;5902.42724609375;7;5807.71435546875;7;5908.642578125;7;5909.7294921875
8;252.842056274414;8;272.467132568359;8;232.778869628906;8;232.983505249023;8;245.574249267578;8;245.945022583008;8;1012.54046630859;8;1135.4521484375;8;1033.13024902344;8;1033.84313964844;8;980.620849609375;8;983.560607910156;8;2509.48901367188;8;2849.07104492188;8;2519.259765625;8;2516.12573242188;8;2503.48803710938;8;2501.53393554688;8;3999.59204101563;8;4515.841796875;8;4009.98046875;8;4000.68408203125;8;3983.08520507813;8;3976.78076171875;8;4507.94091796875;8;5039.63525390625;8;4490.72412109375;8;4467.298828125;8;4513.45703125;8;4502.44482421875;8;5002.4736328125;8;5522.47412109375;8;5014.24072265625;8;4961.8447265625;8;4998.81396484375;8;4977.951171875;8;5950.28466796875;8;6341.15625;8;5932.3720703125;8;5805.2177734375;8;5938.62060546875;8;5916.87158203125
9;252.53581237793;9;272.217742919922;9;232.480651855469;9;232.715286254883;9;245.253204345703;9;245.716278076172;9;1014.74334716797;9;1137.38842773438;9;1037.97717285156;9;1037.18530273438;9;992.215637207031;9;991.98095703125;9;2510.82275390625;9;2849.86645507813;9;2520.19360351563;9;2516.43505859375;9;2504.43530273438;9;2501.88793945313;9;4010.27172851563;9;4528.962890625;9;4021.38354492188;9;4012.51684570313;9;3993.708984375;9;3988.02661132813;9;4510.419921875;9;5034.66259765625;9;4493.4921875;9;4463.09765625;9;4516.15478515625;9;4498.33447265625;9;4994.3720703125;9;5514.142578125;9;5006.07373046875;9;4953.580078125;9;4990.24951171875;9;4969.75439453125;9;5968.76806640625;9;6375.13232421875;9;5962.4287109375;9;5835.59814453125;9;5972.4765625;9;5960.73583984375
