05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_PAC2;05_L1_I_PAC2;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_PAC2;05_L2_I_PAC2;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_PAC2;05_L3_I_PAC2;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_PAC2;20_L1_I_PAC2;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_PAC2;20_L2_I_PAC2;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_PAC2;20_L3_I_PAC2;50_L1_t_PAC1;50_L1_I_PAC1;50_L1_t_PAC2;50_L1_I_PAC2;50_L2_t_PAC1;50_L2_I_PAC1;50_L2_t_PAC2;50_L2_I_PAC2;50_L3_t_PAC1;50_L3_I_PAC1;50_L3_t_PAC2;50_L3_I_PAC2;80_L1_t_PAC1;80_L1_I_PAC1;80_L1_t_PAC2;80_L1_I_PAC2;80_L2_t_PAC1;80_L2_I_PAC1;80_L2_t_PAC2;80_L2_I_PAC2;80_L3_t_PAC1;80_L3_I_PAC1;80_L3_t_PAC2;80_L3_I_PAC2;90_L1_t_PAC1;90_L1_I_PAC1;90_L1_t_PAC2;90_L1_I_PAC2;90_L2_t_PAC1;90_L2_I_PAC1;90_L2_t_PAC2;90_L2_I_PAC2;90_L3_t_PAC1;90_L3_I_PAC1;90_L3_t_PAC2;90_L3_I_PAC2;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_PAC2;100_L1_I_PAC2;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_PAC2;100_L2_I_PAC2;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_PAC2;100_L3_I_PAC2;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_PAC2;120_L1_I_PAC2;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_PAC2;120_L2_I_PAC2;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_PAC2;120_L3_I_PAC2
0;271.095153808594;0;270.927032470703;0;262.551025390625;0;262.177001953125;0;270.786163330078;0;270.924530029297;0;980.1572265625;0;979.282287597656;0;1013.06060791016;0;1012.20178222656;0;977.280883789063;0;977.382751464844;0;2490.40185546875;0;2481.08618164063;0;2510.92700195313;0;2496.75146484375;0;2494.92358398438;0;2472.17724609375;0;3957.859375;0;3933.9375;0;4008.45629882813;0;3880.63403320313;0;3970.26391601563;0;3958.73583984375;0;4504.13720703125;0;4465.86767578125;0;4523.97119140625;0;4326.04345703125;0;4495.88134765625;0;4488.83642578125;0;4987.2216796875;0;4897.396484375;0;4988.21630859375;0;4719.669921875;0;4977.7451171875;0;4969.53857421875;0;6014.02783203125;0;5750.91259765625;0;6030.9775390625;0;5606.6884765625;0;5993.09814453125;0;5924.9921875
1;271.161407470703;1;270.985443115234;1;262.633880615234;1;262.268493652344;1;270.831756591797;1;271.035858154297;1;978.735046386719;1;978.149047851563;1;1011.52337646484;1;1011.24884033203;1;975.599914550781;1;976.506774902344;1;2490.92651367188;1;2483.91015625;1;2511.37329101563;1;2503.92895507813;1;2495.76098632813;1;2492.26098632813;1;3991.51782226563;1;3938.63500976563;1;4014.97973632813;1;3884.1748046875;1;3972.34643554688;1;3964.22265625;1;4501.43212890625;1;4464.2109375;1;4522.013671875;1;4324.9267578125;1;4494.03857421875;1;4487.826171875;1;4989.4462890625;1;4897.66552734375;1;4992.68603515625;1;4717.3603515625;1;4981.5869140625;1;4967.3515625;1;6017.966796875;1;5751.90087890625;1;6036.38232421875;1;5605.66552734375;1;5998.712890625;1;5924.05419921875
2;271.125915527344;2;271.025909423828;2;262.551208496094;2;262.297454833984;2;270.849212646484;2;270.981353759766;2;980.830078125;2;978.710815429688;2;1013.39666748047;2;1011.84881591797;2;977.498413085938;2;977.587707519531;2;2490.34692382813;2;2484.79638671875;2;2511.880859375;2;2503.30029296875;2;2496.10205078125;2;2492.7060546875;2;4011.31005859375;2;3956.63354492188;2;4027.89306640625;2;3886.22094726563;2;3981.01098632813;2;3967.72290039063;2;4501.07373046875;2;4463.3515625;2;4520.90625;2;4324.03076171875;2;4493.28759765625;2;4486.75341796875;2;4988.71826171875;2;4895.88818359375;2;4989.82373046875;2;4717.93701171875;2;4980.06005859375;2;4967.2939453125;2;6027.17578125;2;5748.69970703125;2;6045.22412109375;2;5601.86962890625;2;6007.025390625;2;5920.60693359375
3;261.076171875;3;271.058746337891;3;259.153991699219;3;262.271026611328;3;269.503662109375;3;270.991394042969;3;980.830078125;3;977.497375488281;3;1013.39666748047;3;1010.48059082031;3;977.498413085938;3;975.761291503906;3;2489.91088867188;3;2485.158203125;3;2511.54736328125;3;2503.69775390625;3;2496.32080078125;3;2493.15747070313;3;4010.97241210938;3;3983.8994140625;3;4028.45654296875;3;3892.40112304688;3;3979.8173828125;3;3966.88525390625;3;4505.7109375;3;4462.5341796875;3;4525.9697265625;3;4324.26123046875;3;4498.951171875;3;4486.82470703125;3;4990.51025390625;3;4899.03759765625;3;4991.43212890625;3;4721.77880859375;3;4982.435546875;3;4971.92431640625;3;6029.3798828125;3;5758.0751953125;3;6046.052734375;3;5612.46630859375;3;6008.08447265625;3;5931.87744140625
4;228.037246704102;4;271.038757324219;4;249.216918945313;4;262.269775390625;4;265.48193359375;4;271.065277099609;4;981.465942382813;4;976.817443847656;4;1014.62701416016;4;1009.44409179688;4;978.200561523438;4;974.850402832031;4;2469.08447265625;4;2483.54077148438;4;2489.76220703125;4;2502.67602539063;4;2474.5869140625;4;2492.5634765625;4;4004.275390625;4;3996.91162109375;4;4023.33129882813;4;3903.22900390625;4;3974.57397460938;4;3974.62158203125;4;4501.7353515625;4;4463.09912109375;4;4521.8349609375;4;4323.40087890625;4;4494.50244140625;4;4487.0126953125;4;4981.76953125;4;4898.7236328125;4;4983.10791015625;4;4718.93994140625;4;4973.8134765625;4;4970.658203125;4;6030.080078125;4;5759.7841796875;4;6047.67041015625;4;5615.93701171875;4;6009.67919921875;4;5935.1591796875
5;223.989929199219;5;251.315460205078;5;248.206115722656;5;255.878219604492;5;264.906951904297;5;268.413940429688;5;980.243835449219;5;979.302124023438;5;1012.77880859375;5;1011.97515869141;5;976.683471679688;5;977.288391113281;5;2478.49829101563;5;2484.31396484375;5;2498.9501953125;5;2504.05322265625;5;2483.732421875;5;2493.69311523438;5;4009.8251953125;5;3993.87084960938;5;4027.24438476563;5;3900.01733398438;5;3977.6328125;5;3972.63549804688;5;4500.626953125;5;4464.451171875;5;4522.0546875;5;4325.0439453125;5;4494.31640625;5;4488.96240234375;5;4986.9599609375;5;4895.3828125;5;4988.49072265625;5;4716.68798828125;5;4978.80859375;5;4967.8779296875;5;6029.68505859375;5;5767.208984375;5;6050.14697265625;5;5622.017578125;5;6010.81005859375;5;5941.4619140625
6;224.009887695313;6;224.593200683594;6;248.307525634766;6;248.056457519531;6;264.896759033203;6;265.239532470703;6;980.811828613281;6;979.597595214844;6;1013.64440917969;6;1012.62738037109;6;977.474914550781;6;977.451965332031;6;2487.83520507813;6;2464.6640625;6;2509.05883789063;6;2483.5830078125;6;2493.67651367188;6;2473.34350585938;6;4009.12036132813;6;3988.87280273438;6;4026.68505859375;6;3896.82690429688;6;3976.78979492188;6;3967.42309570313;6;4498.802734375;6;4462.51806640625;6;4519.89111328125;6;4323.4716796875;6;4491.82080078125;6;4486.82763671875;6;4991.15478515625;6;4893.49560546875;6;5004.6513671875;6;4714.76904296875;6;5007.3798828125;6;4965.0068359375;6;6025.8701171875;6;5767.208984375;6;6047.27587890625;6;5622.017578125;6;6006.9580078125;6;5941.4619140625
7;223.915267944336;7;224.079956054688;7;248.146423339844;7;247.97265625;7;264.270263671875;7;265.077850341797;7;983.234619140625;7;979.597595214844;7;1026.45678710938;7;1012.62738037109;7;1002.80194091797;7;977.451965332031;7;2490.41064453125;7;2475.52587890625;7;2510.94311523438;7;2493.96923828125;7;2496.0322265625;7;2483.8798828125;7;4010.52465820313;7;3995.52319335938;7;4027.92529296875;7;3902.06079101563;7;3978.77514648438;7;3972.4111328125;7;4502.8603515625;7;4459.31396484375;7;4523.2822265625;7;4321.2275390625;7;4495.0986328125;7;4483.58837890625;7;4991.15478515625;7;4895.71923828125;7;5004.6513671875;7;4718.8466796875;7;5007.3798828125;7;4968.30029296875;7;6027.0751953125;7;5765.35888671875;7;6045.6591796875;7;5624.30126953125;7;6003.8505859375;7;5941.95849609375
8;220.171234130859;8;224.060104370117;8;236.166015625;8;248.098876953125;8;237.365768432617;8;265.126037597656;8;983.984130859375;8;979.35693359375;8;1029.85632324219;8;1014.01885986328;8;1012.07177734375;8;980.919372558594;8;2489.025390625;8;2475.52587890625;8;2509.15405273438;8;2493.96923828125;8;2494.5419921875;8;2483.8798828125;8;4007.4541015625;8;3993.70263671875;8;4025.89794921875;8;3900.62084960938;8;3976.71508789063;8;3971.115234375;8;4499.02294921875;8;4463.57177734375;8;4519.8623046875;8;4324.794921875;8;4491.26708984375;8;4487.81201171875;8;4989.21923828125;8;4899.3564453125;8;5001.51904296875;8;4728.1015625;8;5005.275390625;8;4991.47509765625;8;6031.78662109375;8;5765.35888671875;8;6050.4833984375;8;5624.30126953125;8;6008.0693359375;8;5941.95849609375
9;219.575912475586;9;223.162628173828;9;234.035507202148;9;245.524826049805;9;232.4609375;9;259.062164306641;9;1011.17596435547;9;981.839538574219;9;1038.08251953125;9;1026.99255371094;9;1016.09686279297;9;1007.88464355469;9;2488.03930664063;9;2484.40209960938;9;2508.57421875;9;2502.4404296875;9;2493.85668945313;9;2492.98046875;9;4010.48559570313;9;3992.69140625;9;4027.599609375;9;3898.62084960938;9;3979.10473632813;9;3970.203125;9;4501.04443359375;9;4460.00439453125;9;4521.82470703125;9;4321.63427734375;9;4493.33447265625;9;4483.5302734375;9;4991.99169921875;9;4898.50830078125;9;5003.24072265625;9;4725.3701171875;9;5007.3564453125;9;4995.11474609375;9;6029.1318359375;9;5763.4716796875;9;6048.04150390625;9;5620.59765625;9;6006.08984375;9;5937.255859375
