05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_PAC2;05_L1_I_PAC2;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_PAC2;05_L2_I_PAC2;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_PAC2;05_L3_I_PAC2;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_PAC2;20_L1_I_PAC2;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_PAC2;20_L2_I_PAC2;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_PAC2;20_L3_I_PAC2;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_PAC2;100_L1_I_PAC2;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_PAC2;100_L2_I_PAC2;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_PAC2;100_L3_I_PAC2;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_PAC2;120_L1_I_PAC2;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_PAC2;120_L2_I_PAC2;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_PAC2;120_L3_I_PAC2
0;83.1376342773438;0;83.366569519043;0;80.7365798950195;0;81.0379257202148;0;105.138603210449;0;105.549430847168;0;372.642120361328;0;372.245086669922;0;371.773315429688;0;373.111846923828;0;389.449096679688;0;390.712280273438;0;2021.05822753906;0;2015.49865722656;0;2002.22241210938;0;1997.41540527344;0;2006.55139160156;0;2002.05749511719;0;2406.14379882813;0;2397.33935546875;0;2409.47607421875;0;2407.98852539063;0;2390.04467773438;0;2375.17797851563
1;83.1241073608398;1;83.3696060180664;1;80.7512969970703;1;81.040153503418;1;105.162109375;1;105.568519592285;1;376.507446289063;1;378.252777099609;1;371.662933349609;1;381.979919433594;1;389.230133056641;1;394.767517089844;1;2022.41687011719;1;2017.10034179688;1;2002.74694824219;1;1998.43200683594;1;2006.61633300781;1;2002.76782226563;1;2406.14379882813;1;2398.2578125;1;2410.80322265625;1;2407.990234375;1;2391.60083007813;1;2375.29370117188
2;83.1152191162109;2;83.3790817260742;2;80.7754364013672;2;80.9957122802734;2;105.204307556152;2;105.497459411621;2;405.371917724609;2;406.143432617188;2;371.938873291016;2;381.979919433594;2;389.579071044922;2;394.767517089844;2;2023.29345703125;2;2017.84753417969;2;2000.44702148438;2;1998.29479980469;2;2004.31579589844;2;2002.79760742188;2;2406.1787109375;2;2398.75415039063;2;2412.0849609375;2;2408.66333007813;2;2392.697265625;2;2375.77490234375
3;83.0700225830078;3;83.325798034668;3;80.75634765625;3;81.0834350585938;3;105.197692871094;3;105.589981079102;3;405.371917724609;3;406.143432617188;3;372.688232421875;3;383.640075683594;3;390.199981689453;3;395.171875;3;2023.92053222656;3;2018.27001953125;3;2001.64855957031;3;1998.29479980469;3;2004.67932128906;3;2002.79760742188;3;2407.40600585938;3;2399.58447265625;3;2412.0849609375;3;2408.16650390625;3;2392.697265625;3;2374.9228515625
4;83.1303329467773;4;83.3922424316406;4;80.7568588256836;4;81.0495300292969;4;105.186302185059;4;105.567726135254;4;409.936096191406;4;409.470275878906;4;381.714965820313;4;383.671966552734;4;394.490600585938;4;395.028381347656;4;2023.92053222656;4;2018.27001953125;4;2002.56396484375;4;1997.54565429688;4;2005.77734375;4;2001.55920410156;4;2406.0908203125;4;2398.29736328125;4;2412.27368164063;4;2407.9873046875;4;2392.71435546875;4;2374.7373046875
5;83.1239624023438;5;83.3771667480469;5;80.7175903320313;5;81.0166473388672;5;105.122245788574;5;105.535369873047;5;409.893829345703;5;409.411865234375;5;381.714965820313;5;383.719207763672;5;394.490600585938;5;395.101196289063;5;2022.830078125;5;2017.86450195313;5;2002.84887695313;5;1998.82653808594;5;2005.61083984375;5;2002.04272460938;5;2405.4052734375;5;2397.6513671875;5;2413.18505859375;5;2408.10229492188;5;2393.50659179688;5;2375.77124023438
6;83.0964965820313;6;83.3538818359375;6;80.793342590332;6;81.9981842041016;6;105.210838317871;6;106.524795532227;6;409.971252441406;6;409.492706298828;6;383.734191894531;6;383.660919189453;6;395.011383056641;6;395.011627197266;6;2023.74206542969;6;2017.86352539063;6;2002.84887695313;6;1998.42321777344;6;2005.61083984375;6;2002.97924804688;6;2406.28247070313;6;2398.60131835938;6;2412.5830078125;6;2408.7529296875;6;2392.408203125;6;2375.646484375
7;87.0158615112305;7;89.2860488891602;7;80.7714309692383;7;90.1218032836914;7;105.192573547363;7;112.083465576172;7;409.959533691406;7;409.441741943359;7;383.779052734375;7;383.660919189453;7;394.897766113281;7;395.011627197266;7;2023.66857910156;7;2017.86755371094;7;2001.53894042969;7;1998.11975097656;7;2003.70886230469;7;2001.86486816406;7;2406.96118164063;7;2399.55883789063;7;2412.62084960938;7;2411.25;7;2392.07373046875;7;2377.068359375
8;118.109886169434;8;120.373092651367;8;80.7431259155273;8;92.4299240112305;8;105.159614562988;8;113.228607177734;8;409.942840576172;8;409.441741943359;8;383.834136962891;8;425.681915283203;8;394.963745117188;8;404.082427978516;8;2023.3955078125;8;2017.48657226563;8;2002.81616210938;8;1997.92114257813;8;2005.01818847656;8;2001.63049316406;8;2408.91333007813;8;2401.048828125;8;2412.81518554688;8;2411.75927734375;8;2393.26977539063;8;2377.44873046875
9;126.545845031738;9;126.748222351074;9;81.297248840332;9;92.3923721313477;9;105.804878234863;9;113.174201965332;9;421.329833984375;9;421.572723388672;9;383.763763427734;9;435.735198974609;9;394.935760498047;9;406.955352783203;9;2023.47741699219;9;2017.83349609375;9;2002.57202148438;9;1998.05590820313;9;2005.84069824219;9;2001.72143554688;9;2408.587890625;9;2400.7421875;9;2412.83081054688;9;2411.49145507813;9;2392.96069335938;9;2377.77197265625
10;126.503005981445;10;126.69255065918;10;89.0894393920898;10;92.4290237426758;10;111.353889465332;10;113.202407836914;10;424.279663085938;10;423.722900390625;10;383.858917236328;10;436.362854003906;10;394.624755859375;10;407.442260742188;10;2023.16870117188;10;2017.59765625;10;2002.11511230469;10;1998.30151367188;10;2005.14660644531;10;2002.43615722656;10;2409.30297851563;10;2401.63842773438;10;2415.73754882813;10;2402.56201171875;10;2394.611328125;10;2376.50268554688
11;126.503479003906;11;126.716003417969;11;92.1561050415039;11;92.4616165161133;11;112.868232727051;11;113.219955444336;11;424.672302246094;11;424.123260498047;11;422.920501708984;11;436.069427490234;11;403.147277832031;11;407.176788330078;11;2023.24279785156;11;2017.70324707031;11;2002.27221679688;11;1998.73742675781;11;2004.42822265625;11;2002.76232910156;11;2393.85498046875;11;2380.58984375;11;2416.20947265625;11;2393.89233398438;11;2395.25317382813;11;2372.83740234375
12;126.551628112793;12;126.75927734375;12;92.1350173950195;12;91.5983352661133;12;112.789947509766;12;109.255805969238;12;424.31494140625;12;423.695922851563;12;435.954986572266;12;435.643096923828;12;406.812408447266;12;407.069854736328;12;2024.14660644531;12;2018.50463867188;12;2002.37878417969;12;1992.68530273438;12;2004.67163085938;12;2000.8056640625;12;2364.6162109375;12;2354.505859375;12;2416.15258789063;12;2394.76025390625;12;2395.40283203125;12;2372.5205078125
13;126.071922302246;13;125.967498779297;13;92.1430587768555;13;86.2714614868164;13;112.7939453125;13;85.7709274291992;13;423.927734375;13;423.417816162109;13;436.578094482422;13;435.965087890625;13;407.309844970703;13;407.160400390625;13;2013.49963378906;13;2004.36376953125;13;2002.64379882813;13;1980.248046875;13;2005.14465332031;13;1993.8330078125;13;2359.43041992188;13;2352.13818359375;13;2409.17822265625;13;2393.34985351563;13;2393.94555664063;13;2370.83349609375
14;121.951995849609;14;122.043899536133;14;92.1942749023438;14;86.0265502929688;14;112.843467712402;14;84.8889312744141;14;424.138610839844;14;423.636932373047;14;436.3544921875;14;436.234191894531;14;407.093444824219;14;407.368225097656;14;1978.05737304688;14;1970.74890136719;14;2002.96716308594;14;1981.80541992188;14;2005.84887695313;14;1995.08422851563;14;2358.71850585938;14;2350.9560546875;14;2399.53930664063;14;2394.55224609375;14;2389.67065429688;14;2372.52807617188
15;121.811912536621;15;121.975090026855;15;91.6510009765625;15;85.9316329956055;15;110.382278442383;15;84.8072891235352;15;424.321166992188;15;423.783935546875;15;435.832366943359;15;436.30126953125;15;406.972015380859;15;407.407257080078;15;1972.95703125;15;1967.79321289063;15;1998.28063964844;15;1984.783203125;15;2004.10717773438;15;1997.01171875;15;2358.96411132813;15;2351.56518554688;15;2399.09545898438;15;2394.9755859375;15;2387.93701171875;15;2372.67065429688
