05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_PAC2;05_L1_I_PAC2;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_PAC2;05_L2_I_PAC2;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_PAC2;05_L3_I_PAC2;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_PAC2;20_L1_I_PAC2;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_PAC2;20_L2_I_PAC2;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_PAC2;20_L3_I_PAC2;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_PAC2;100_L1_I_PAC2;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_PAC2;100_L2_I_PAC2;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_PAC2;100_L3_I_PAC2;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_PAC2;120_L1_I_PAC2;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_PAC2;120_L2_I_PAC2;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_PAC2;120_L3_I_PAC2
0;89.8618240356445;0;90.0091400146484;0;99.5730667114258;0;99.7156677246094;0;95.1854705810547;0;95.3480911254883;0;379.331268310547;0;378.838928222656;0;385.992065429688;0;385.647033691406;0;400.306915283203;0;399.897277832031;0;1992.51574707031;0;1986.79187011719;0;2017.35668945313;0;2012.04870605469;0;2020.38244628906;0;2015.60278320313;0;2380.67333984375;0;2371.07543945313;0;2396.15625;0;2387.32006835938;0;2404.35522460938;0;2395.63696289063
1;89.8696899414063;1;90.0222778320313;1;99.5749053955078;1;99.7169342041016;1;95.1971054077148;1;95.3515090942383;1;379.386962890625;1;378.838928222656;1;386.057312011719;1;385.647033691406;1;400.295379638672;1;399.897277832031;1;1995.21630859375;1;1987.74365234375;1;2020.24182128906;1;2013.45678710938;1;2023.57006835938;1;2017.0087890625;1;2378.31323242188;1;2371.68334960938;1;2394.20654296875;1;2388.107421875;1;2402.14208984375;1;2396.26171875
2;89.9046401977539;2;90.0848236083984;2;99.5755157470703;2;99.7103958129883;2;95.1902008056641;2;95.3567504882813;2;379.287658691406;2;378.516937255859;2;385.982727050781;2;385.406341552734;2;400.198425292969;2;399.62744140625;2;1995.07946777344;2;1988.64440917969;2;2019.99536132813;2;2014.15539550781;2;2023.64147949219;2;2017.90502929688;2;2379.46411132813;2;2371.33911132813;2;2395.70556640625;2;2388.37377929688;2;2403.35986328125;2;2396.0654296875
3;89.9043045043945;3;90.0351028442383;3;99.5472793579102;3;99.6607971191406;3;95.1563568115234;3;95.2978286743164;3;379.251037597656;3;378.962738037109;3;385.935485839844;3;385.815155029297;3;400.139221191406;3;399.965972900391;3;1993.23254394531;3;1988.20849609375;3;2016.41137695313;3;2012.68835449219;3;2021.48693847656;3;2017.31323242188;3;2380.71313476563;3;2372.6240234375;3;2396.65844726563;3;2389.10473632813;3;2405.14892578125;3;2397.28881835938
4;89.8680191040039;4;90.0164642333984;4;99.4989318847656;4;99.6406097412109;4;95.1238479614258;4;95.2720947265625;4;379.6865234375;4;378.724304199219;4;386.382080078125;4;385.549835205078;4;400.645660400391;4;399.713623046875;4;1994.74487304688;4;1987.1806640625;4;2017.91882324219;4;2010.83044433594;4;2023.140625;4;2016.74011230469;4;2380.13696289063;4;2372.61303710938;4;2396.02612304688;4;2388.93823242188;4;2404.03930664063;4;2397.26782226563
5;89.8987884521484;5;90.0908050537109;5;99.5363082885742;5;99.7067565917969;5;95.1525955200195;5;95.34375;5;382.499267578125;5;399.529449462891;5;386.491394042969;5;391.254486083984;5;400.458312988281;5;402.721496582031;5;1995.46032714844;5;1989.15747070313;5;2018.833984375;5;2013.57287597656;5;2023.71228027344;5;2018.62292480469;5;2402.9697265625;5;2382.5947265625;5;2400.72045898438;5;2390.24560546875;5;2408.21337890625;5;2398.74291992188
6;89.9254302978516;6;90.8404388427734;6;99.5512847900391;6;102.47501373291;6;95.1734237670898;6;101.692314147949;6;417.160308837891;6;426.255432128906;6;397.538360595703;6;400.323394775391;6;405.558471679688;6;406.206512451172;6;1995.03295898438;6;1989.33251953125;6;2018.15747070313;6;2013.18908691406;6;2023.39514160156;6;2018.74279785156;6;2423.6884765625;6;2413.16284179688;6;2408.9853515625;6;2400.6455078125;6;2410.69018554688;6;2403.86181640625
7;94.7961349487305;7;94.6287384033203;7;114.558334350586;7;114.006484985352;7;127.758407592773;7;126.21851348877;7;429.417510986328;7;428.904327392578;7;402.124145507813;7;401.941070556641;7;407.210113525391;7;406.881225585938;7;1994.0341796875;7;1988.423828125;7;2016.9375;7;2011.634765625;7;2022.2626953125;7;2017.77172851563;7;2424.81030273438;7;2415.6103515625;7;2410.05419921875;7;2402.0546875;7;2410.26733398438;7;2402.46899414063
8;94.7961349487305;8;94.985595703125;8;114.558334350586;8;114.669937133789;8;127.758407592773;8;127.929420471191;8;429.919525146484;8;429.25048828125;8;402.7177734375;8;402.292327880859;8;407.605895996094;8;407.045501708984;8;1995.63269042969;8;1990.05786132813;8;2018.26330566406;8;2013.50927734375;8;2024.34997558594;8;2019.39392089844;8;2424.9375;8;2417.56982421875;8;2409.19580078125;8;2402.90380859375;8;2409.2431640625;8;2403.16064453125
9;94.8772125244141;9;94.9784088134766;9;114.552665710449;9;114.585914611816;9;127.833435058594;9;127.881645202637;9;429.844909667969;9;428.853424072266;9;402.641021728516;9;401.963439941406;9;407.421539306641;9;406.630157470703;9;1995.5205078125;9;1990.05786132813;9;2018.29553222656;9;2013.50927734375;9;2023.88110351563;9;2019.39392089844;9;2424.53271484375;9;2416.4189453125;9;2408.79443359375;9;2401.53955078125;9;2408.7529296875;9;2401.38330078125
