05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_PAC2;05_L1_I_PAC2;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_PAC2;05_L2_I_PAC2;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_PAC2;05_L3_I_PAC2;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_PAC2;20_L1_I_PAC2;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_PAC2;20_L2_I_PAC2;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_PAC2;20_L3_I_PAC2;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_PAC2;100_L1_I_PAC2;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_PAC2;100_L2_I_PAC2;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_PAC2;100_L3_I_PAC2;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_PAC2;120_L1_I_PAC2;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_PAC2;120_L2_I_PAC2;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_PAC2;120_L3_I_PAC2
0;88.6101379394531;0;88.689208984375;0;84.3667678833008;0;84.2272186279297;0;98.1324462890625;0;98.3714141845703;0;402.414886474609;0;401.960968017578;0;381.703277587891;0;380.668060302734;0;410.682434082031;0;410.797149658203;0;2004.56469726563;0;1998.65002441406;0;1987.14367675781;0;1982.15417480469;0;2000.96508789063;0;1998.00830078125;0;2405.20825195313;0;2397.5830078125;0;2426.97436523438;0;2419.3310546875;0;2407.90795898438;0;2403.73217773438
1;88.5303497314453;1;88.711051940918;1;84.3480987548828;1;84.2809906005859;1;98.11767578125;1;98.3825378417969;1;402.555450439453;1;402.069396972656;1;381.874114990234;1;380.750762939453;1;411.075103759766;1;410.853271484375;1;2003.80395507813;1;1999.642578125;1;1986.6728515625;1;1983.09301757813;1;2001.44372558594;1;1998.64416503906;1;2405.20825195313;1;2396.314453125;1;2425.28466796875;1;2418.85766601563;1;2408.51806640625;1;2402.41040039063
2;88.6284408569336;2;88.6078109741211;2;84.3142318725586;2;84.297248840332;2;98.044677734375;2;98.2334823608398;2;402.716918945313;2;402.0478515625;2;381.724792480469;2;380.787567138672;2;411.039520263672;2;410.991027832031;2;2004.66430664063;2;1999.642578125;2;1987.84448242188;2;1982.94641113281;2;2000.71447753906;2;1998.64416503906;2;2405.61987304688;2;2397.76513671875;2;2426.06982421875;2;2417.85327148438;2;2408.51806640625;2;2403.70532226563
3;88.5846633911133;3;88.6784744262695;3;84.4469375610352;3;84.1723556518555;3;98.1481094360352;3;98.3388137817383;3;402.716918945313;3;401.941650390625;3;381.797515869141;3;380.974609375;3;411.070068359375;3;410.769317626953;3;2004.57299804688;3;1999.15612792969;3;1986.55871582031;3;1982.94641113281;3;2001.41784667969;3;1997.67614746094;3;2406.6103515625;3;2399.1171875;3;2425.0859375;3;2419.22729492188;3;2408.67895507813;3;2404.66088867188
4;88.5803909301758;4;88.7270584106445;4;84.3275680541992;4;84.2724380493164;4;98.077995300293;4;98.3707733154297;4;402.721923828125;4;402.241790771484;4;381.951843261719;4;380.750244140625;4;411.070068359375;4;411.044494628906;4;2004.15795898438;4;1998.48120117188;4;1986.85400390625;4;1983.22045898438;4;2001.34631347656;4;1996.5478515625;4;2405.0341796875;4;2396.99926757813;4;2423.80859375;4;2421.17822265625;4;2409.41821289063;4;2402.35766601563
5;88.5371780395508;5;88.6480178833008;5;84.3779678344727;5;84.3024291992188;5;98.056526184082;5;98.2806091308594;5;402.635833740234;5;402.287414550781;5;381.892272949219;5;380.913330078125;5;411.257110595703;5;411.097900390625;5;2005.01293945313;5;1997.77880859375;5;1986.54064941406;5;1982.33142089844;5;2000.64270019531;5;1996.55151367188;5;2405.29467773438;5;2397.369140625;5;2426.50756835938;5;2418.72607421875;5;2407.51000976563;5;2403.25561523438
6;88.6667785644531;6;88.6179885864258;6;84.3339462280273;6;84.2200012207031;6;98.0195388793945;6;98.2598495483398;6;402.739440917969;6;402.020294189453;6;381.613189697266;6;381.005493164063;6;411.046142578125;6;411.009643554688;6;2004.21105957031;6;1998.28234863281;6;1987.42529296875;6;1982.26965332031;6;2001.37451171875;6;1997.53662109375;6;2404.72705078125;6;2397.58422851563;6;2424.1484375;6;2419.64721679688;6;2407.86010742188;6;2402.88012695313
7;88.5457077026367;7;88.6646118164063;7;84.4264297485352;7;84.201057434082;7;98.1669692993164;7;98.3370895385742;7;402.885528564453;7;401.881591796875;7;381.883880615234;7;380.994445800781;7;411.181518554688;7;410.648071289063;7;2003.87927246094;7;1997.03076171875;7;1987.00671386719;7;1982.74768066406;7;1999.57629394531;7;1996.70715332031;7;2403.427734375;7;2397.77807617188;7;2425.88720703125;7;2419.47900390625;7;2407.37036132813;7;2403.48461914063
8;88.5922317504883;8;88.6798629760742;8;84.3686904907227;8;84.2680740356445;8;98.01953125;8;98.3474655151367;8;402.716918945313;8;402.174652099609;8;381.549346923828;8;380.651641845703;8;411.33935546875;8;410.931365966797;8;2003.39819335938;8;1998.96923828125;8;1987.51818847656;8;1981.86120605469;8;2000.28100585938;8;1998.74536132813;8;2406.19702148438;8;2397.80297851563;8;2424.001953125;8;2419.92309570313;8;2405.93994140625;8;2403.92846679688
9;88.52783203125;9;88.6385879516602;9;84.3846893310547;9;84.2864074707031;9;98.0653610229492;9;98.3097915649414;9;402.451538085938;9;401.865631103516;9;381.652191162109;9;380.966674804688;9;411.286499023438;9;410.717071533203;9;2004.32971191406;9;1997.84936523438;9;1986.28747558594;9;1984.12658691406;9;2000.21105957031;9;1997.08825683594;9;2403.67993164063;9;2397.90747070313;9;2424.63232421875;9;2419.98608398438;9;2408.75805664063;9;2404.48461914063
10;88.6132736206055;10;88.6779632568359;10;84.4015274047852;10;84.2566146850586;10;98.0179824829102;10;98.3134765625;10;402.846923828125;10;401.9658203125;10;381.801116943359;10;380.535034179688;10;410.88037109375;10;410.900756835938;10;2003.20373535156;10;1998.541015625;10;1987.31372070313;10;1982.18139648438;10;2001.05529785156;10;1998.01184082031;10;2405.50366210938;10;2397.90747070313;10;2423.46728515625;10;2419.9541015625;10;2406.50756835938;10;2404.48461914063
11;88.5569610595703;11;88.6676712036133;11;84.3434906005859;11;84.265869140625;11;98.1187744140625;11;98.3484420776367;11;402.618255615234;11;402.026977539063;11;381.843597412109;11;380.894287109375;11;411.161315917969;11;410.858551025391;11;2004.66357421875;11;1998.06066894531;11;1987.53186035156;11;1982.9228515625;11;2000.65515136719;11;1997.44934082031;11;2403.84692382813;11;2395.01049804688;11;2421.80444335938;11;2419.9541015625;11;2408.81616210938;11;2401.21118164063
12;88.5959091186523;12;88.6539688110352;12;84.4344100952148;12;84.2620239257813;12;98.0644378662109;12;98.3300857543945;12;402.568572998047;12;402.114349365234;12;381.796508789063;12;380.899108886719;12;411.009063720703;12;410.874053955078;12;2003.52758789063;12;1998.98095703125;12;1986.38317871094;12;1982.47729492188;12;2001.42175292969;12;1998.41162109375;12;2404.177734375;12;2395.22143554688;12;2425.8994140625;12;2417.7041015625;12;2407.41772460938;12;2401.29321289063
13;88.6020660400391;13;88.6828460693359;13;84.387336730957;13;84.2598114013672;13;98.0616989135742;13;98.3498382568359;13;402.644348144531;13;402.121520996094;13;381.836975097656;13;380.925506591797;13;411.078979492188;13;410.945770263672;13;2004.35986328125;13;1998.27734375;13;1985.94458007813;13;1983.43176269531;13;2000.203125;13;1997.36511230469;13;2402.712890625;13;2396.60424804688;13;2425.4228515625;13;2417.70825195313;13;2407.15966796875;13;2403.34399414063
14;88.552604675293;14;88.6972198486328;14;97.3042373657227;14;84.2908706665039;14;98.1103439331055;14;98.3552627563477;14;402.795776367188;14;402.149383544922;14;381.883666992188;14;380.910095214844;14;411.076934814453;14;410.994873046875;14;2004.48559570313;14;1998.59033203125;14;1985.94458007813;14;1981.86499023438;14;2001.4208984375;14;1998.23400878906;14;2401.33203125;14;2399.1240234375;14;2426.53149414063;14;2419.10620117188;14;2406.04052734375;14;2405.62548828125
15;88.6253204345703;15;131.729354858398;15;100.531303405762;15;84.2984008789063;15;98.0541381835938;15;105.870628356934;15;402.747833251953;15;402.116058349609;15;381.873992919922;15;380.890655517578;15;411.135650634766;15;411.012512207031;15;2003.611328125;15;1997.38781738281;15;1987.21350097656;15;1982.375;15;2001.64318847656;15;1997.60461425781;15;2405.19018554688;15;2395.80200195313;15;2423.29931640625;15;2421.5546875;15;2404.30688476563;15;2401.9853515625
16;88.5949554443359;16;131.729354858398;16;100.531303405762;16;98.8917236328125;16;98.1261138916016;16;105.870628356934;16;402.747344970703;16;402.108825683594;16;381.911010742188;16;380.960327148438;16;411.138610839844;16;410.946960449219;16;2002.52233886719;16;1996.89135742188;16;1987.31213378906;16;1982.08752441406;16;2000.08178710938;16;1997.28137207031;16;2404.49975585938;16;2395.8251953125;16;2424.9404296875;16;2418.83813476563;16;2408.26904296875;16;2402.52294921875
17;127.515640258789;17;134.985641479492;17;100.495918273926;17;98.8917236328125;17;98.0797348022461;17;106.420425415039;17;402.740203857422;17;402.335174560547;17;381.962249755859;17;381.010681152344;17;411.200866699219;17;411.016418457031;17;2002.52233886719;17;1998.9775390625;17;1986.46850585938;17;1982.16137695313;17;1999.88720703125;17;1998.8720703125;17;2405.35278320313;17;2398.13745117188;17;2426.65014648438;17;2418.17358398438;17;2407.55395507813;17;2404.31225585938
