05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_PAC2;05_L1_I_PAC2;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_PAC2;05_L2_I_PAC2;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_PAC2;05_L3_I_PAC2;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_PAC2;20_L1_I_PAC2;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_PAC2;20_L2_I_PAC2;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_PAC2;20_L3_I_PAC2;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_PAC2;100_L1_I_PAC2;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_PAC2;100_L2_I_PAC2;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_PAC2;100_L3_I_PAC2;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_PAC2;120_L1_I_PAC2;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_PAC2;120_L2_I_PAC2;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_PAC2;120_L3_I_PAC2
0;103.772468566895;0;104.189590454102;0;81.8069534301758;0;82.2358016967773;0;105.885536193848;0;106.478309631348;0;419.979858398438;0;420.441925048828;0;366.722717285156;0;367.446899414063;0;404.738128662109;0;405.680786132813;0;1997.38452148438;0;1997.21032714844;0;1989.32641601563;0;1989.77160644531;0;1990.17504882813;0;1992.16589355469;0;2396.51904296875;0;2395.76196289063;0;2387.80346679688;0;2382.62475585938;0;2402.59008789063;0;2404.41430664063
1;103.830116271973;1;104.233619689941;1;81.8398284912109;1;82.2985534667969;1;105.957786560059;1;106.52709197998;1;419.966400146484;1;420.486358642578;1;366.571563720703;1;367.344818115234;1;404.719696044922;1;405.691711425781;1;1998.107421875;1;1997.49645996094;1;1990.07238769531;1;1990.72229003906;1;1990.78186035156;1;1992.68518066406;1;2396.97265625;1;2396.36743164063;1;2388.494140625;1;2383.3642578125;1;2403.54956054688;1;2405.6142578125
2;103.837127685547;2;104.258415222168;2;81.8236999511719;2;82.2853240966797;2;105.941680908203;2;106.506072998047;2;420.120147705078;2;420.582366943359;2;366.875915527344;2;367.578826904297;2;404.903594970703;2;405.872711181641;2;1997.00903320313;2;1996.74865722656;2;1989.26721191406;2;1989.69580078125;2;1990.09497070313;2;1992.01916503906;2;2398.5166015625;2;2397.52905273438;2;2390.66455078125;2;2384.80615234375;2;2405.8232421875;2;2408.1015625
3;103.661499023438;3;104.107307434082;3;81.6904678344727;3;82.1379776000977;3;105.762359619141;3;106.36840057373;3;419.649475097656;3;420.161560058594;3;366.509765625;3;367.251281738281;3;404.509490966797;3;405.493591308594;3;1998.17895507813;3;1997.97570800781;3;1990.576171875;3;1991.02001953125;3;1991.65515136719;3;1993.69799804688;3;2394.60107421875;3;2394.09033203125;3;2387.87622070313;3;2382.39404296875;3;2402.31396484375;3;2404.349609375
4;103.759742736816;4;104.179336547852;4;81.793327331543;4;82.2286376953125;4;105.893775939941;4;106.498924255371;4;419.740600585938;4;420.261657714844;4;366.560211181641;4;367.312713623047;4;404.533172607422;4;405.524993896484;4;1995.76721191406;4;1995.0859375;4;1987.64807128906;4;1988.09521484375;4;1988.83642578125;4;1990.72387695313;4;2399.67041015625;4;2398.88891601563;4;2391.94360351563;4;2386.49926757813;4;2406.31420898438;4;2408.80834960938
5;103.740531921387;5;104.151176452637;5;81.7617950439453;5;82.2241058349609;5;105.879371643066;5;106.443260192871;5;419.955230712891;5;420.393188476563;5;366.595062255859;5;367.296661376953;5;404.564849853516;5;405.532867431641;5;2000.46252441406;5;2000.232421875;5;1991.59338378906;5;1991.99084472656;5;1993.23059082031;5;1995.17724609375;5;2401.82250976563;5;2401.27587890625;5;2394.25341796875;5;2388.59912109375;5;2408.1220703125;5;2409.90625
6;103.769111633301;6;104.191093444824;6;81.7743453979492;6;82.2172698974609;6;105.900077819824;6;106.505592346191;6;419.892700195313;6;420.465454101563;6;366.661285400391;6;367.446197509766;6;404.780303955078;6;405.751281738281;6;1998.57971191406;6;1998.34130859375;6;1989.90686035156;6;1990.30712890625;6;1991.65307617188;6;1993.49865722656;6;2402.44873046875;6;2401.71313476563;6;2395.50366210938;6;2389.08349609375;6;2408.75048828125;6;2411.49462890625
7;103.656509399414;7;104.087181091309;7;81.7041931152344;7;82.139274597168;7;105.803733825684;7;106.398971557617;7;390.984649658203;7;393.971252441406;7;356.820587158203;7;358.18212890625;7;400.568206787109;7;401.988586425781;7;1999.822265625;7;1999.27294921875;7;1991.57775878906;7;1992.22692871094;7;1993.3046875;7;1995.14501953125;7;2402.38037109375;7;2401.78100585938;7;2395.7177734375;7;2390.0224609375;7;2408.27954101563;7;2409.91430664063
8;103.693542480469;8;104.127029418945;8;81.7606964111328;8;82.2059707641602;8;105.870109558105;8;106.470878601074;8;369.876831054688;8;370.753265380859;8;350.397521972656;8;351.215515136719;8;397.153472900391;8;398.184753417969;8;1999.5166015625;8;1999.03930664063;8;1990.23388671875;8;1990.92602539063;8;1992.05871582031;8;1993.861328125;8;2400.16748046875;8;2399.49536132813;8;2392.5986328125;8;2386.91162109375;8;2405.17065429688;8;2406.9755859375
9;103.715141296387;9;104.132759094238;9;81.7748565673828;9;82.2262268066406;9;105.880180358887;9;106.463424682617;9;369.977172851563;9;370.438903808594;9;350.779174804688;9;351.498291015625;9;397.282318115234;9;398.228637695313;9;1999.68505859375;9;1999.48120117188;9;1990.58386230469;9;1990.88696289063;9;1992.14440917969;9;1994.06970214844;9;2402.08935546875;9;2401.31762695313;9;2394.818359375;9;2388.93920898438;9;2408.69116210938;9;2410.80883789063
