05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_PAC2;05_L1_I_PAC2;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_PAC2;05_L2_I_PAC2;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_PAC2;05_L3_I_PAC2;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_PAC2;20_L1_I_PAC2;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_PAC2;20_L2_I_PAC2;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_PAC2;20_L3_I_PAC2;50_L1_t_PAC1;50_L1_I_PAC1;50_L1_t_PAC2;50_L1_I_PAC2;50_L2_t_PAC1;50_L2_I_PAC1;50_L2_t_PAC2;50_L2_I_PAC2;50_L3_t_PAC1;50_L3_I_PAC1;50_L3_t_PAC2;50_L3_I_PAC2;80_L1_t_PAC1;80_L1_I_PAC1;80_L1_t_PAC2;80_L1_I_PAC2;80_L2_t_PAC1;80_L2_I_PAC1;80_L2_t_PAC2;80_L2_I_PAC2;80_L3_t_PAC1;80_L3_I_PAC1;80_L3_t_PAC2;80_L3_I_PAC2;90_L1_t_PAC1;90_L1_I_PAC1;90_L1_t_PAC2;90_L1_I_PAC2;90_L2_t_PAC1;90_L2_I_PAC1;90_L2_t_PAC2;90_L2_I_PAC2;90_L3_t_PAC1;90_L3_I_PAC1;90_L3_t_PAC2;90_L3_I_PAC2;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_PAC2;100_L1_I_PAC2;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_PAC2;100_L2_I_PAC2;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_PAC2;100_L3_I_PAC2;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_PAC2;120_L1_I_PAC2;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_PAC2;120_L2_I_PAC2;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_PAC2;120_L3_I_PAC2
0;87.8141021728516;0;97.97314453125;0;113.805213928223;0;113.87068939209;0;115.051780700684;0;115.22339630127;0;498.404388427734;0;498.073669433594;0;518.971130371094;0;517.771484375;0;514.8056640625;0;514.070190429688;0;1253.72338867188;0;1251.4697265625;0;1242.34216308594;0;1240.06103515625;0;1235.96862792969;0;1234.45678710938;0;2009.22326660156;0;2004.33728027344;0;1982.76770019531;0;1978.34765625;0;1996.61547851563;0;1993.6162109375;0;2222.19775390625;0;2255.16357421875;0;2220.67504882813;0;2217.1357421875;0;2243.42114257813;0;2241.5361328125;0;2503.78759765625;0;2497.79174804688;0;2526.94018554688;0;2522.32641601563;0;2507.19287109375;0;2502.67602539063;0;3003.86694335938;0;2996.80297851563;0;3025.71728515625;0;3008.43603515625;0;3011.9755859375;0;3002.21826171875
1;93.7178421020508;1;131.304229736328;1;114.920455932617;1;115.956192016602;1;115.799362182617;1;116.504600524902;1;498.973022460938;1;498.073669433594;1;519.587280273438;1;518.888000488281;1;515.440856933594;1;515.148559570313;1;1254.03601074219;1;1249.51501464844;1;1242.91442871094;1;1240.60009765625;1;1236.13342285156;1;1234.39428710938;1;2010.59936523438;1;2004.68420410156;1;1983.56274414063;1;1978.34765625;1;1998.03686523438;1;1993.6162109375;1;2254.14599609375;1;2266.12646484375;1;2230.08959960938;1;2226.26977539063;1;2250.34106445313;1;2245.84008789063;1;2504.37622070313;1;2497.91870117188;1;2529.9306640625;1;2522.66040039063;1;2508.69360351563;1;2503.46313476563;1;3004.17749023438;1;2995.81201171875;1;3025.83251953125;1;3010.07690429688;1;3012.56274414063;1;3004.4111328125
2;127.988639831543;2;136.896606445313;2;124.409866333008;2;125.689720153809;2;120.430122375488;2;121.05574798584;2;498.794525146484;2;498.157928466797;2;519.433898925781;2;518.888000488281;2;515.275390625;2;515.148559570313;2;1252.77795410156;2;1250.25524902344;2;1241.611328125;2;1238.68273925781;2;1234.87060546875;2;1232.68176269531;2;2009.43322753906;2;2004.68420410156;2;1982.5517578125;2;1978.10998535156;2;1996.94177246094;2;1993.59631347656;2;2271.73852539063;2;2265.30078125;2;2236.06713867188;2;2230.73852539063;2;2251.54760742188;2;2246.56591796875;2;2504.9462890625;2;2498.08422851563;2;2530.4248046875;2;2522.82958984375;2;2508.90454101563;2;2503.40698242188;2;3004.03125;2;2992.32641601563;2;3026.69458007813;2;3009.83911132813;2;3012.9853515625;2;3004.2822265625
3;136.990341186523;3;136.886978149414;3;127.769790649414;3;127.81201171875;3;121.64185333252;3;121.831886291504;3;499.0302734375;3;497.785278320313;3;519.744323730469;3;518.978820800781;3;515.594665527344;3;515.304077148438;3;1252.57885742188;3;1250.83129882813;3;1241.185546875;3;1239.359375;3;1234.56762695313;3;1233.47827148438;3;2011.08227539063;3;2003.86108398438;3;1984.58215332031;3;1978.10998535156;3;1998.38989257813;3;1993.59631347656;3;2271.22973632813;3;2264.06274414063;3;2235.92065429688;3;2230.53759765625;3;2249.65869140625;3;2244.9423828125;3;2504.7880859375;3;2497.89233398438;3;2530.283203125;3;2523.19506835938;3;2509.08227539063;3;2503.25439453125;3;3004.03125;3;2983.98413085938;3;3026.69458007813;3;3007.099609375;3;3012.9853515625;3;3000.14135742188
4;136.96598815918;4;136.939086914063;4;127.786231994629;4;127.808555603027;4;121.654037475586;4;121.836906433105;4;498.673461914063;4;497.505340576172;4;519.280395507813;4;518.512390136719;4;515.137634277344;4;514.815795898438;4;1253.81298828125;4;1251.25366210938;4;1242.57299804688;4;1240.05627441406;4;1236.07189941406;4;1234.17163085938;4;2009.01086425781;4;2005.47900390625;4;1982.52392578125;4;1977.9169921875;4;1996.43359375;4;1993.10693359375;4;2270.357421875;4;2269.69653320313;4;2235.86010742188;4;2230.0634765625;4;2249.33129882813;4;2244.76049804688;4;2504.4677734375;4;2497.84057617188;4;2530.056640625;4;2522.45581054688;4;2508.4853515625;4;2502.54711914063;4;2996.04028320313;4;2990.70727539063;4;3019.17919921875;4;2999.1630859375;4;3005.78393554688;4;2992.45239257813
5;136.999664306641;5;136.923858642578;5;127.836441040039;5;127.867218017578;5;121.631851196289;5;121.829071044922;5;498.585418701172;5;496.9482421875;5;519.186828613281;5;518.22412109375;5;515.041931152344;5;514.535217285156;5;1253.99584960938;5;1250.53247070313;5;1242.55261230469;5;1240.40844726563;5;1236.3203125;5;1234.70129394531;5;2010.64855957031;5;2004.07055664063;5;1983.87805175781;5;1979.44885253906;5;1997.99780273438;5;1994.54602050781;5;2272.98193359375;5;2274.55322265625;5;2243.07543945313;5;2247.29516601563;5;2249.67724609375;5;2246.99731445313;5;2505.23364257813;5;2497.43286132813;5;2530.23120117188;5;2521.54565429688;5;2508.17309570313;5;2501.80053710938;5;2996.04028320313;5;2992.78833007813;5;3019.17919921875;5;3005.97607421875;5;3005.78393554688;5;2999.42504882813
6;137.009216308594;6;136.919326782227;6;127.822959899902;6;127.840995788574;6;121.628364562988;6;121.810676574707;6;497.655548095703;6;498.249298095703;6;518.210998535156;6;517.608825683594;6;514.099243164063;6;513.900329589844;6;1253.70227050781;6;1250.87158203125;6;1241.87390136719;6;1238.84143066406;6;1235.85485839844;6;1233.61010742188;6;2009.84753417969;6;2005.31420898438;6;1983.23583984375;6;1978.34045410156;6;1996.72583007813;6;1993.09948730469;6;2281.2802734375;6;2277.24365234375;6;2279.78881835938;6;2276.40966796875;6;2255.43676757813;6;2250.46704101563;6;2502.98022460938;6;2499.3837890625;6;2526.63549804688;6;2520.85913085938;6;2506.40356445313;6;2501.80981445313;6;3000.98974609375;6;2991.89721679688;6;3024.10717773438;6;3008.63745117188;6;3010.8759765625;6;3002.58544921875
7;136.971267700195;7;136.573150634766;7;127.783317565918;7;127.808479309082;7;121.590667724609;7;121.778518676758;7;498.926879882813;7;498.395721435547;7;519.682983398438;7;519.1318359375;7;515.489135742188;7;515.310852050781;7;1253.70227050781;7;1247.67260742188;7;1241.87390136719;7;1239.75390625;7;1235.85485839844;7;1234.18725585938;7;2010.10278320313;7;2005.873046875;7;1983.70385742188;7;1979.57482910156;7;1997.91711425781;7;1994.74719238281;7;2282.38232421875;7;2279.36157226563;7;2287.74584960938;7;2283.474609375;7;2258.95166015625;7;2255.68041992188;7;2505.96215820313;7;2498.79711914063;7;2529.97924804688;7;2522.9248046875;7;2509.48046875;7;2503.90234375;7;3001.85888671875;7;2991.35498046875;7;3024.9375;7;3007.7734375;7;3011.505859375;7;3001.5703125
8;136.685287475586;8;136.86149597168;8;127.557357788086;8;127.541717529297;8;121.34992980957;8;121.507698059082;8;499.329406738281;8;498.660064697266;8;519.669982910156;8;518.8388671875;8;515.496154785156;8;515.0849609375;8;1249.49536132813;8;1247.67260742188;8;1237.90808105469;8;1236.4658203125;8;1231.62731933594;8;1230.93078613281;8;2010.66528320313;8;2016.56970214844;8;1984.47058105469;8;1981.10888671875;8;1998.46081542969;8;1994.88098144531;8;2286.22216796875;8;2279.72729492188;8;2291.80786132813;8;2285.64794921875;8;2263.01733398438;8;2258.24145507813;8;2505.76684570313;8;2499.5419921875;8;2529.96508789063;8;2522.87573242188;8;2509.341796875;8;2503.39233398438;8;2998.86499023438;8;2989.64086914063;8;3021.95239257813;8;3007.28588867188;8;3008.09008789063;8;3000.80395507813
9;136.899398803711;9;136.819198608398;9;127.765068054199;9;127.809448242188;9;121.540054321289;9;121.736991882324;9;499.506927490234;9;498.340423583984;9;519.814331054688;9;519.092346191406;9;515.691589355469;9;515.411437988281;9;1249.49536132813;9;1253.49084472656;9;1237.90808105469;9;1236.4658203125;9;1231.62731933594;9;1230.93078613281;9;2018.96655273438;9;1993.90258789063;9;2015.84741210938;9;2022.25354003906;9;2003.22924804688;9;2003.74487304688;9;2286.22216796875;9;2279.33251953125;9;2291.80786132813;9;2285.82958984375;9;2263.01733398438;9;2257.83203125;9;2506.33935546875;9;2499.3515625;9;2529.90014648438;9;2523.21069335938;9;2509.55712890625;9;2504.11059570313;9;2999.37524414063;9;2991.03540039063;9;3022.95166015625;9;3005.91259765625;9;3009.01513671875;9;2998.91284179688
