05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_PAC2;05_L1_I_PAC2;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_PAC2;05_L2_I_PAC2;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_PAC2;05_L3_I_PAC2;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_PAC2;20_L1_I_PAC2;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_PAC2;20_L2_I_PAC2;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_PAC2;20_L3_I_PAC2;50_L1_t_PAC1;50_L1_I_PAC1;50_L1_t_PAC2;50_L1_I_PAC2;50_L2_t_PAC1;50_L2_I_PAC1;50_L2_t_PAC2;50_L2_I_PAC2;50_L3_t_PAC1;50_L3_I_PAC1;50_L3_t_PAC2;50_L3_I_PAC2;80_L1_t_PAC1;80_L1_I_PAC1;80_L1_t_PAC2;80_L1_I_PAC2;80_L2_t_PAC1;80_L2_I_PAC1;80_L2_t_PAC2;80_L2_I_PAC2;80_L3_t_PAC1;80_L3_I_PAC1;80_L3_t_PAC2;80_L3_I_PAC2;90_L1_t_PAC1;90_L1_I_PAC1;90_L1_t_PAC2;90_L1_I_PAC2;90_L2_t_PAC1;90_L2_I_PAC1;90_L2_t_PAC2;90_L2_I_PAC2;90_L3_t_PAC1;90_L3_I_PAC1;90_L3_t_PAC2;90_L3_I_PAC2;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_PAC2;100_L1_I_PAC2;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_PAC2;100_L2_I_PAC2;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_PAC2;100_L3_I_PAC2;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_PAC2;120_L1_I_PAC2;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_PAC2;120_L2_I_PAC2;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_PAC2;120_L3_I_PAC2
0;218.41291809082;0;217.50617980957;0;194.802368164063;0;193.192306518555;0;238.575180053711;0;234.6796875;0;1004.89807128906;0;1002.78411865234;0;996.144775390625;0;994.366333007813;0;996.961181640625;0;995.560241699219;0;2483.01953125;0;2475.86743164063;0;2488.90771484375;0;2480.85595703125;0;2490.17724609375;0;2479.85961914063;0;4000.35278320313;0;3987.69384765625;0;4017.14868164063;0;4006.60327148438;0;3995.94506835938;0;3992.4501953125;0;4490.18798828125;0;4440.41455078125;0;4494.59716796875;0;4464.30615234375;0;4503.15869140625;0;4496.7197265625;0;4993.21533203125;0;4892.90771484375;0;5027.6962890625;0;4974.19970703125;0;4989.38330078125;0;4976.9873046875;0;5994.78125;0;5767.89990234375;0;6009.041015625;0;5892.7451171875;0;6017.435546875;0;5987.896484375
1;219.011032104492;1;218.73762512207;1;195.912628173828;1;195.914688110352;1;241.644821166992;1;241.641067504883;1;1004.60974121094;1;1002.27423095703;1;996.279296875;1;994.298767089844;1;997.121215820313;1;995.617126464844;1;2485.404296875;1;2479.35107421875;1;2491.4775390625;1;2486.14965820313;1;2501.29174804688;1;2497.21020507813;1;3965.1708984375;1;3951.09106445313;1;4005.27709960938;1;3992.31201171875;1;3990.26123046875;1;3986.3857421875;1;4489.91259765625;1;4440.447265625;1;4495.49267578125;1;4465.06396484375;1;4504.06640625;1;4497.6884765625;1;4993.7119140625;1;4893.86279296875;1;5027.7353515625;1;4974.38427734375;1;4990.9501953125;1;4978.47802734375;1;5995.55859375;1;5768.51611328125;1;6008.50048828125;1;5892.62890625;1;6017.34228515625;1;5988.2802734375
2;219.084899902344;2;218.845321655273;2;195.918182373047;2;195.903015136719;2;241.714309692383;2;241.743255615234;2;1004.55438232422;2;1002.27423095703;2;995.960083007813;2;994.298767089844;2;996.776733398438;2;995.617126464844;2;2485.3603515625;2;2479.20385742188;2;2491.43676757813;2;2485.87182617188;2;2500.669921875;2;2496.99169921875;2;3958.74340820313;2;3940.93286132813;2;4005.72485351563;2;3991.70678710938;2;3989.58251953125;2;3984.65014648438;2;4489.75341796875;2;4439.64404296875;2;4495.3173828125;2;4465.09814453125;2;4503.666015625;2;4497.54736328125;2;4992.69287109375;2;4892.67236328125;2;5028.68603515625;2;4975.25146484375;2;4990.3330078125;2;4977.8671875;2;5993.74365234375;2;5767.140625;2;6006.52880859375;2;5891.18408203125;2;6015.10400390625;2;5986.4560546875
3;219.106643676758;3;218.820327758789;3;195.889358520508;3;195.861694335938;3;241.690689086914;3;241.728469848633;3;1004.63781738281;3;1002.66314697266;3;995.866027832031;3;994.366638183594;3;996.846069335938;3;995.610412597656;3;2485.80883789063;3;2479.74829101563;3;2491.75561523438;3;2486.4521484375;3;2501.08520507813;3;2497.18432617188;3;3959.77783203125;3;3942.23608398438;3;4007.54125976563;3;3993.564453125;3;3990.69311523438;3;3985.88842773438;3;4490.32763671875;3;4440.35546875;3;4495.591796875;3;4465.302734375;3;4504.40185546875;3;4498.0732421875;3;4992.50927734375;3;4892.15576171875;3;5028.80615234375;3;4975.4970703125;3;4990.74365234375;3;4978.50048828125;3;5989.03271484375;3;5763.79248046875;3;6005.1767578125;3;5889.09375;3;6013.9150390625;3;5984.4296875
4;219.082748413086;4;218.845230102539;4;195.877243041992;4;195.864624023438;4;241.653533935547;4;241.649307250977;4;1004.76812744141;4;1002.46234130859;4;996.157104492188;4;994.61669921875;4;997.056640625;4;995.686889648438;4;2484.98657226563;4;2478.79345703125;4;2491.1064453125;4;2485.7509765625;4;2501.61645507813;4;2497.69799804688;4;3959.939453125;4;3942.39428710938;4;4007.63061523438;4;3993.7529296875;4;3990.25439453125;4;3985.67846679688;4;4491.09521484375;4;4440.91552734375;4;4495.3349609375;4;4465.05615234375;4;4504.50732421875;4;4498.23095703125;4;4995.9140625;4;4894.7705078125;4;5028.96875;4;4975.53564453125;4;4991.4443359375;4;4979.2265625;4;5990.2919921875;4;5763.91748046875;4;6003.9775390625;4;5887.4404296875;4;6015.919921875;4;5985.91455078125
5;219.114059448242;5;218.823944091797;5;195.856369018555;5;195.835235595703;5;241.625045776367;5;241.582427978516;5;1004.90106201172;5;1002.68780517578;5;996.549133300781;5;994.815734863281;5;997.230773925781;5;995.85302734375;5;2485.65405273438;5;2479.61499023438;5;2491.64819335938;5;2486.1142578125;5;2501.423828125;5;2497.77514648438;5;3959.35766601563;5;3941.61376953125;5;4007.10107421875;5;3993.24926757813;5;3989.37255859375;5;3985.44067382813;5;4491.2734375;5;4440.83642578125;5;4495.82421875;5;4465.97119140625;5;4505.33935546875;5;4498.109375;5;4994.2626953125;5;4894.2958984375;5;5026.59228515625;5;4973.6767578125;5;4990.421875;5;4978.49072265625;5;5992.33740234375;5;5765.8828125;5;6008.5263671875;5;5892.0361328125;5;6018.14794921875;5;5988.8271484375
6;219.081253051758;6;218.823944091797;6;195.860656738281;6;195.835235595703;6;241.595077514648;6;241.582427978516;6;1004.90106201172;6;1003.28216552734;6;996.549133300781;6;994.896667480469;6;997.230773925781;6;996.0107421875;6;2485.71557617188;6;2479.822265625;6;2491.83862304688;6;2485.77661132813;6;2501.24169921875;6;2497.751953125;6;3957.56567382813;6;3940.61450195313;6;4005.935546875;6;3993.72021484375;6;3988.63354492188;6;3985.29028320313;6;4491.50341796875;6;4440.83642578125;6;4495.04296875;6;4465.97119140625;6;4504.90087890625;6;4498.109375;6;4991.12255859375;6;4891.640625;6;5025.5361328125;6;4972.17138671875;6;4990.50634765625;6;4977.962890625;6;5992.59130859375;6;5765.7392578125;6;6007.78466796875;6;5891.98095703125;6;6017.310546875;6;5988.2880859375
7;224.528961181641;7;253.301803588867;7;197.130828857422;7;205.875915527344;7;242.629501342773;7;247.689254760742;7;1005.31048583984;7;1003.18786621094;7;996.657287597656;7;994.902954101563;7;997.364135742188;7;996.076171875;7;2485.3359375;7;2479.08129882813;7;2491.60620117188;7;2486.24243164063;7;2501.15771484375;7;2497.4130859375;7;3958.32250976563;7;3940.61450195313;7;4007.71484375;7;3993.72021484375;7;3990.07250976563;7;3985.29028320313;7;4491.2373046875;7;4441.4296875;7;4493.86669921875;7;4463.75537109375;7;4503.951171875;7;4498.50390625;7;4992.54345703125;7;4891.7998046875;7;5026.78125;7;4973.22216796875;7;4991.615234375;7;4979.15380859375;7;5991.54052734375;7;5765.3466796875;7;6007.19677734375;7;5891.15576171875;7;6016.513671875;7;5987.265625
8;271.032836914063;8;269.41162109375;8;212.474792480469;8;211.917053222656;8;250.489761352539;8;250.332092285156;8;1005.31048583984;8;1002.24578857422;8;996.657287597656;8;994.688110351563;8;997.364135742188;8;995.638977050781;8;2485.14868164063;8;2479.08129882813;8;2491.43359375;8;2486.24243164063;8;2501.27709960938;8;2497.4130859375;8;3959.0478515625;8;3942.099609375;8;4007.80053710938;8;3994.27807617188;8;3990.3046875;8;3985.83520507813;8;4491.67138671875;8;4441.4296875;8;4494.2080078125;8;4463.75537109375;8;4504.90478515625;8;4498.50390625;8;4996.36865234375;8;4895.84521484375;8;5028.9658203125;8;4975.27587890625;8;4993.4228515625;8;4980.68505859375;8;5989.85693359375;8;5763.787109375;8;6006.3623046875;8;5890.4794921875;8;6014.10498046875;8;5985.1787109375
9;271.422607421875;9;271.009552001953;9;212.687927246094;9;212.652755737305;9;250.502532958984;9;250.515579223633;9;1004.85119628906;9;1002.46618652344;9;996.929931640625;9;995.171875;9;997.087036132813;9;995.710510253906;9;2485.26171875;9;2478.845703125;9;2491.58911132813;9;2485.8046875;9;2501.30029296875;9;2496.76123046875;9;3959.30883789063;9;3942.099609375;9;4008.14526367188;9;3994.27807617188;9;3990.31616210938;9;3985.83520507813;9;4492.41357421875;9;4442.33251953125;9;4496.73193359375;9;4466.40185546875;9;4508.23583984375;9;4502.14404296875;9;4995.650390625;9;4895.802734375;9;5028.037109375;9;4975.2138671875;9;4993.16748046875;9;4980.80859375;9;5990.79248046875;9;5764.2822265625;9;6006.26953125;9;5890.58056640625;9;6014.96826171875;9;5985.66650390625
