05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_PAC2;05_L1_I_PAC2;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_PAC2;05_L2_I_PAC2;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_PAC2;05_L3_I_PAC2;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_PAC2;20_L1_I_PAC2;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_PAC2;20_L2_I_PAC2;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_PAC2;20_L3_I_PAC2;50_L1_t_PAC1;50_L1_I_PAC1;50_L1_t_PAC2;50_L1_I_PAC2;50_L2_t_PAC1;50_L2_I_PAC1;50_L2_t_PAC2;50_L2_I_PAC2;50_L3_t_PAC1;50_L3_I_PAC1;50_L3_t_PAC2;50_L3_I_PAC2;80_L1_t_PAC1;80_L1_I_PAC1;80_L1_t_PAC2;80_L1_I_PAC2;80_L2_t_PAC1;80_L2_I_PAC1;80_L2_t_PAC2;80_L2_I_PAC2;80_L3_t_PAC1;80_L3_I_PAC1;80_L3_t_PAC2;80_L3_I_PAC2;90_L1_t_PAC1;90_L1_I_PAC1;90_L1_t_PAC2;90_L1_I_PAC2;90_L2_t_PAC1;90_L2_I_PAC1;90_L2_t_PAC2;90_L2_I_PAC2;90_L3_t_PAC1;90_L3_I_PAC1;90_L3_t_PAC2;90_L3_I_PAC2;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_PAC2;100_L1_I_PAC2;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_PAC2;100_L2_I_PAC2;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_PAC2;100_L3_I_PAC2;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_PAC2;120_L1_I_PAC2;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_PAC2;120_L2_I_PAC2;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_PAC2;120_L3_I_PAC2
0;204.889114379883;0;206.651794433594;0;147.129592895508;0;148.180404663086;0;169.572311401367;0;170.508499145508;0;992.231628417969;0;993.332275390625;0;986.462280273438;0;987.506713867188;0;997.978149414063;0;999.665344238281;0;2505.0;0;2502.75830078125;0;2534.72998046875;0;2534.7607421875;0;2490.01513671875;0;2493.19677734375;0;4010.16796875;0;3995.04077148438;0;4016.80249023438;0;4007.23120117188;0;3990.66772460938;0;3995.26708984375;0;4503.57763671875;0;4476.0810546875;0;4513.1416015625;0;4497.17724609375;0;4508.953125;0;4514.302734375;0;5003.541015625;0;4938.1962890625;0;4985.7861328125;0;4948.40673828125;0;4975.6953125;0;4978.92626953125;0;5971.83154296875;0;5769.5849609375;0;6003.21484375;0;5915.55419921875;0;5999.8564453125;0;5954.615234375
1;211.809661865234;1;212.683654785156;1;157.486175537109;1;158.041870117188;1;198.150466918945;1;199.005020141602;1;1001.42614746094;1;1003.82073974609;1;1018.15155029297;1;1024.76623535156;1;1005.59924316406;1;1009.017578125;1;2504.18920898438;1;2502.8759765625;1;2533.8212890625;1;2534.2490234375;1;2489.25073242188;1;2492.611328125;1;4008.97631835938;1;3995.04077148438;1;4015.67114257813;1;4007.23120117188;1;3989.32666015625;1;3995.26708984375;1;4503.57763671875;1;4476.0810546875;1;4513.1416015625;1;4497.17724609375;1;4508.953125;1;4514.302734375;1;5015.08251953125;1;4950.07080078125;1;4996.91162109375;1;4961.23779296875;1;4987.10986328125;1;4992.529296875;1;5970.7998046875;1;5776.9912109375;1;6001.54541015625;1;5922.64990234375;1;5998.30419921875;1;5963.494140625
2;211.886154174805;2;212.683654785156;2;157.441696166992;2;158.041870117188;2;198.238754272461;2;199.005020141602;2;1005.26159667969;2;1006.39343261719;2;1039.05322265625;2;1040.455078125;2;1011.42120361328;2;1013.51354980469;2;2504.09033203125;2;2502.03588867188;2;2533.81787109375;2;2534.18530273438;2;2489.23022460938;2;2492.03686523438;2;4006.38696289063;2;3991.66528320313;2;4013.65380859375;2;4004.36157226563;2;3986.40551757813;2;3990.89038085938;2;4499.013671875;2;4470.40283203125;2;4536.32373046875;2;4511.759765625;2;4510.05126953125;2;4513.34228515625;2;5024.1962890625;2;4954.07666015625;2;5006.2978515625;2;4966.947265625;2;4996.0849609375;2;4997.79638671875;2;5985.63232421875;2;5785.14892578125;2;6014.58837890625;2;5930.30517578125;2;6013.4013671875;2;5972.2763671875
3;211.911392211914;3;212.764144897461;3;157.448532104492;3;158.025588989258;3;198.277618408203;3;199.107650756836;3;1005.05969238281;3;1005.98522949219;3;1039.38818359375;3;1040.37194824219;3;1011.94360351563;3;1013.67858886719;3;2505.47021484375;3;2503.52954101563;3;2534.98193359375;3;2535.26440429688;3;2490.72729492188;3;2493.86669921875;3;4009.01391601563;3;3993.19580078125;3;4016.53857421875;3;4006.7958984375;3;3989.4599609375;3;3993.76025390625;3;4499.013671875;3;4470.40283203125;3;4536.32373046875;3;4511.759765625;3;4510.05126953125;3;4513.34228515625;3;5018.60400390625;3;4950.28662109375;3;5000.71728515625;3;4963.18212890625;3;4990.17431640625;3;4993.7373046875;3;5979.58154296875;3;5777.22412109375;3;6007.87158203125;3;5920.75341796875;3;6006.96044921875;3;5963.2294921875
4;211.938659667969;4;212.777053833008;4;157.445831298828;4;158.033615112305;4;198.292694091797;4;199.12629699707;4;1005.20288085938;4;1006.51501464844;4;1039.24682617188;4;1040.74572753906;4;1011.92004394531;4;1014.09448242188;4;2501.75463867188;4;2500.27099609375;4;2531.5498046875;4;2532.26733398438;4;2486.97802734375;4;2490.48876953125;4;4011.966796875;4;3995.41674804688;4;4020.01538085938;4;4009.00341796875;4;3992.70971679688;4;3995.859375;4;4508.72119140625;4;4479.47705078125;4;4546.59521484375;4;4520.67578125;4;4522.037109375;4;4523.7353515625;4;5022.99560546875;4;4953.2119140625;4;5005.07177734375;4;4964.4033203125;4;4995.60791015625;4;4996.35400390625;4;5977.72021484375;4;5775.794921875;4;6005.947265625;4;5919.01025390625;4;6005.2060546875;4;5962.1923828125
5;211.938659667969;5;212.777053833008;5;157.445831298828;5;158.033615112305;5;198.292694091797;5;199.12629699707;5;1005.47668457031;5;1006.51458740234;5;1039.7734375;5;1040.85095214844;5;1012.36315917969;5;1014.1494140625;5;2505.45141601563;5;2503.34619140625;5;2535.4736328125;5;2535.55859375;5;2491.15625;5;2494.04858398438;5;4010.29443359375;5;3994.50708007813;5;4018.14965820313;5;4008.71240234375;5;3989.98486328125;5;3994.68725585938;5;4509.42041015625;5;4481.86865234375;5;4547.3525390625;5;4524.19189453125;5;4521.74169921875;5;4527.14306640625;5;5018.66845703125;5;4951.65869140625;5;5001.3603515625;5;4964.451171875;5;4991.76416015625;5;4994.900390625;5;5971.32666015625;5;5775.19873046875;5;5999.21337890625;5;5919.08447265625;5;5999.69287109375;5;5961.9580078125
6;211.952606201172;6;212.801284790039;6;157.459350585938;6;158.060775756836;6;198.322402954102;6;199.150375366211;6;1005.81671142578;6;1007.02880859375;6;1040.01318359375;6;1041.38244628906;6;1012.59985351563;6;1014.65484619141;6;2501.66528320313;6;2499.8828125;6;2531.66259765625;6;2532.05981445313;6;2487.34228515625;6;2490.64599609375;6;4011.71435546875;6;3995.28979492188;6;4018.95336914063;6;4008.12353515625;6;3991.46997070313;6;3994.56616210938;6;4512.7119140625;6;4483.2109375;6;4549.244140625;6;4523.84765625;6;4524.14208984375;6;4527.6708984375;6;5021.3583984375;6;4951.798828125;6;5003.5400390625;6;4963.1962890625;6;4993.61328125;6;4993.99267578125;6;5976.5068359375;6;5776.03125;6;6008.048828125;6;5923.18603515625;6;6004.33740234375;6;5962.6064453125
7;211.948699951172;7;212.793212890625;7;157.45573425293;7;158.037185668945;7;198.321533203125;7;199.124313354492;7;1004.83294677734;7;1005.82110595703;7;1039.03857421875;7;1040.177734375;7;1011.59533691406;7;1013.40551757813;7;2503.396484375;7;2501.41015625;7;2533.26098632813;7;2533.54516601563;7;2488.67309570313;7;2491.7646484375;7;4012.609375;7;3996.30419921875;7;4019.21899414063;7;4009.4130859375;7;3991.82104492188;7;3995.966796875;7;4514.37158203125;7;4486.4365234375;7;4550.1982421875;7;4527.13623046875;7;4525.572265625;7;4529.52392578125;7;5021.3583984375;7;4953.31103515625;7;5003.5400390625;7;4965.5361328125;7;4993.61328125;7;4996.75439453125;7;5976.28857421875;7;5776.40966796875;7;6009.03466796875;7;5924.5537109375;7;6005.00048828125;7;5963.61376953125
8;212.011154174805;8;213.081161499023;8;157.946258544922;8;159.224349975586;8;199.474578857422;8;201.928634643555;8;1005.90557861328;8;1007.15399169922;8;1040.2392578125;8;1041.52490234375;8;1012.93878173828;8;1014.93408203125;8;2503.8955078125;8;2501.9375;8;2533.578125;8;2534.16430664063;8;2489.16552734375;8;2492.515625;8;4008.78833007813;8;3991.15771484375;8;4015.71484375;8;4004.55200195313;8;3988.35009765625;8;3991.07788085938;8;4510.80712890625;8;4481.10595703125;8;4547.640625;8;4522.2802734375;8;4522.38330078125;8;4525.2900390625;8;5017.2353515625;8;4949.74560546875;8;4999.36572265625;8;4960.919921875;8;4989.95068359375;8;4991.837890625;8;5981.64697265625;8;5781.21484375;8;6013.3046875;8;5928.6953125;8;6009.08251953125;8;5967.60986328125
9;221.361938476563;9;223.57763671875;9;191.265731811523;9;197.272933959961;9;231.47412109375;9;235.311401367188;9;1005.70611572266;9;1006.7177734375;9;1040.080078125;9;1041.21728515625;9;1012.63647460938;9;1014.46606445313;9;2502.80053710938;9;2501.1396484375;9;2532.67456054688;9;2533.28051757813;9;2488.63818359375;9;2492.02026367188;9;4009.607421875;9;3994.41040039063;9;4016.962890625;9;4007.83203125;9;3989.72265625;9;3994.47436523438;9;4509.1396484375;9;4480.953125;9;4546.63134765625;9;4523.1396484375;9;4520.27880859375;9;4524.08837890625;9;5017.2353515625;9;4948.23974609375;9;4999.36572265625;9;4958.95361328125;9;4989.95068359375;9;4990.99365234375;9;5981.22216796875;9;5782.08154296875;9;6012.31494140625;9;5929.291015625;9;6008.751953125;9;5969.07080078125
