05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_PAC2;05_L1_I_PAC2;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_PAC2;05_L2_I_PAC2;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_PAC2;05_L3_I_PAC2;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_PAC2;20_L1_I_PAC2;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_PAC2;20_L2_I_PAC2;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_PAC2;20_L3_I_PAC2;50_L1_t_PAC1;50_L1_I_PAC1;50_L1_t_PAC2;50_L1_I_PAC2;50_L2_t_PAC1;50_L2_I_PAC1;50_L2_t_PAC2;50_L2_I_PAC2;50_L3_t_PAC1;50_L3_I_PAC1;50_L3_t_PAC2;50_L3_I_PAC2;80_L1_t_PAC1;80_L1_I_PAC1;80_L1_t_PAC2;80_L1_I_PAC2;80_L2_t_PAC1;80_L2_I_PAC1;80_L2_t_PAC2;80_L2_I_PAC2;80_L3_t_PAC1;80_L3_I_PAC1;80_L3_t_PAC2;80_L3_I_PAC2;90_L1_t_PAC1;90_L1_I_PAC1;90_L1_t_PAC2;90_L1_I_PAC2;90_L2_t_PAC1;90_L2_I_PAC1;90_L2_t_PAC2;90_L2_I_PAC2;90_L3_t_PAC1;90_L3_I_PAC1;90_L3_t_PAC2;90_L3_I_PAC2;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_PAC2;100_L1_I_PAC2;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_PAC2;100_L2_I_PAC2;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_PAC2;100_L3_I_PAC2;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_PAC2;120_L1_I_PAC2;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_PAC2;120_L2_I_PAC2;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_PAC2;120_L3_I_PAC2
0;243.027679443359;0;243.767272949219;0;232.30924987793;0;232.522338867188;0;241.776031494141;0;233.88996887207;0;1031.35290527344;0;1036.462890625;0;1024.14147949219;0;1020.68481445313;0;1009.01110839844;0;1010.80938720703;0;2489.97509765625;0;2487.47778320313;0;2536.0751953125;0;2530.57202148438;0;2468.77416992188;0;2492.78442382813;0;3978.0849609375;0;3974.88330078125;0;4039.25341796875;0;3984.5703125;0;3984.08081054688;0;4004.212890625;0;4511.78662109375;0;4498.41455078125;0;4545.53466796875;0;4438.9716796875;0;4527.0576171875;0;4502.99755859375;0;4984.490234375;0;4962.037109375;0;5030.255859375;0;4852.8896484375;0;5006.2646484375;0;4936.412109375;0;5954.52001953125;0;5973.2685546875;0;5977.513671875;0;5550.71240234375;0;5995.48583984375;0;5825.4189453125
1;243.477233886719;1;243.633728027344;1;232.762557983398;1;232.936477661133;1;242.15625;1;234.407775878906;1;1037.99926757813;1;1037.89892578125;1;1027.03771972656;1;1025.86669921875;1;1009.81634521484;1;1012.00903320313;1;2491.7353515625;1;2489.39672851563;1;2541.1025390625;1;2532.29150390625;1;2475.88671875;1;2495.00341796875;1;3983.60620117188;1;3977.34350585938;1;4046.05126953125;1;3984.5703125;1;3990.75732421875;1;4004.212890625;1;4511.78662109375;1;4498.41455078125;1;4545.53466796875;1;4435.5498046875;1;4527.0576171875;1;4487.697265625;1;4972.47314453125;1;4965.56884765625;1;5019.986328125;1;4844.55517578125;1;4994.8310546875;1;4926.24658203125;1;5981.16796875;1;5973.2685546875;1;5982.76171875;1;5561.46044921875;1;6002.19140625;1;5831.26611328125
2;243.279571533203;2;242.513381958008;2;232.473342895508;2;232.715942382813;2;241.917251586914;2;234.212203979492;2;1038.92150878906;2;1037.78466796875;2;1028.02917480469;2;1027.06396484375;2;1010.42431640625;2;1012.50830078125;2;2494.248046875;2;2492.54321289063;2;2550.88891601563;2;2543.9580078125;2;2502.04516601563;2;2523.83227539063;2;3982.22314453125;2;3977.34350585938;2;4044.28857421875;2;3986.58032226563;2;3989.20458984375;2;4004.68701171875;2;4506.09033203125;2;4494.4912109375;2;4538.9091796875;2;4435.5498046875;2;4504.662109375;2;4487.697265625;2;4976.0498046875;2;4965.56884765625;2;5025.5126953125;2;4847.84619140625;2;4999.728515625;2;4930.62060546875;2;6011.25634765625;2;5982.470703125;2;5992.71142578125;2;5561.46044921875;2;6005.57275390625;2;5831.26611328125
3;242.059631347656;3;243.297912597656;3;231.403182983398;3;231.705291748047;3;240.743942260742;3;233.081527709961;3;1038.74523925781;3;1037.46423339844;3;1027.73547363281;3;1026.83959960938;3;1009.99078369141;3;1012.16497802734;3;2496.17016601563;3;2488.68579101563;3;2552.14575195313;3;2546.23120117188;3;2506.171875;3;2532.84936523438;3;3985.07592773438;3;3962.68188476563;3;4047.32373046875;3;3986.58032226563;3;3991.45849609375;3;4004.68701171875;3;4503.09765625;3;4494.4912109375;3;4530.05712890625;3;4426.14208984375;3;4486.830078125;3;4463.53076171875;3;4979.06982421875;3;4975.79296875;3;5027.07763671875;3;4847.84619140625;3;5002.26904296875;3;4930.62060546875;3;6019.96875;3;5982.470703125;3;5999.623046875;3;5566.96240234375;3;6008.34912109375;3;5833.470703125
4;243.078826904297;4;243.410369873047;4;232.412857055664;4;232.537170410156;4;241.82829284668;4;233.973526000977;4;1038.5673828125;4;1037.63793945313;4;1028.09375;4;1026.78112792969;4;1010.06225585938;4;1011.92852783203;4;2491.48657226563;4;2489.12915039063;4;2546.5458984375;4;2541.74609375;4;2500.619140625;4;2528.25;4;3980.3486328125;4;3983.60131835938;4;4024.04272460938;4;3926.66845703125;4;3984.28442382813;4;3987.82080078125;4;4504.30859375;4;4485.7998046875;4;4529.50390625;4;4426.14208984375;4;4487.2412109375;4;4463.53076171875;4;4986.5703125;4;4975.79296875;4;5032.54052734375;4;4855.92236328125;4;5008.28515625;4;4939.39794921875;4;6019.96875;4;5982.4697265625;4;5999.623046875;4;5566.96240234375;4;6008.34912109375;4;5833.470703125
5;242.947021484375;5;243.415939331055;5;232.237380981445;5;232.580032348633;5;241.67707824707;5;233.966979980469;5;1038.54479980469;5;1037.59155273438;5;1028.10375976563;5;1027.35827636719;5;1009.63854980469;5;1011.95349121094;5;2494.13598632813;5;2491.97778320313;5;2549.15454101563;5;2541.84399414063;5;2503.21850585938;5;2528.22509765625;5;4002.50341796875;5;4010.15185546875;5;3983.44970703125;5;3922.74536132813;5;3983.14379882813;5;3991.7958984375;5;4504.990234375;5;4489.59521484375;5;4529.45263671875;5;4418.5615234375;5;4487.84423828125;5;4456.3525390625;5;4988.24658203125;5;4976.25341796875;5;5035.736328125;5;4855.92236328125;5;5010.93017578125;5;4939.39794921875;5;6019.20654296875;5;5982.06103515625;5;5998.42724609375;5;5566.09130859375;5;6006.98095703125;5;5831.7099609375
6;243.267196655273;6;243.517333984375;6;232.49836730957;6;232.572982788086;6;241.948425292969;6;234.034393310547;6;1038.57580566406;6;1037.65063476563;6;1028.09973144531;6;1027.22229003906;6;1009.67010498047;6;1011.72082519531;6;2495.9482421875;6;2492.65234375;6;2551.09521484375;6;2544.68090820313;6;2505.1357421875;6;2531.49658203125;6;4002.50341796875;6;4015.89624023438;6;3983.44970703125;6;3930.7060546875;6;3983.14379882813;6;3993.787109375;6;4492.36328125;6;4494.77978515625;6;4520.1044921875;6;4422.181640625;6;4477.81298828125;6;4460.412109375;6;4986.720703125;6;4973.439453125;6;5034.28515625;6;4855.486328125;6;5011.5537109375;6;4940.35205078125;6;6019.20654296875;6;5978.4169921875;6;5998.42724609375;6;5566.33251953125;6;6006.98095703125;6;5831.603515625
7;243.192230224609;7;243.65739440918;7;232.413208007813;7;232.649291992188;7;241.8759765625;7;234.164016723633;7;1038.7763671875;7;1037.28540039063;7;1027.69873046875;7;1026.68090820313;7;1009.74456787109;7;1011.427734375;7;2496.21997070313;7;2490.767578125;7;2551.76391601563;7;2545.74340820313;7;2505.4853515625;7;2532.244140625;7;4022.87866210938;7;4009.3828125;7;3990.40747070313;7;3934.38134765625;7;3984.40625;7;3994.69702148438;7;4503.97900390625;7;4495.51904296875;7;4529.46630859375;7;4425.3623046875;7;4487.5849609375;7;4463.69384765625;7;4986.720703125;7;4972.37060546875;7;5034.28515625;7;4852.650390625;7;5011.5537109375;7;4937.72119140625;7;6014.96728515625;7;5977.33251953125;7;5996.0322265625;7;5564.56640625;7;6001.47021484375;7;5826.8095703125
8;243.261352539063;8;243.474807739258;8;232.501281738281;8;232.734024047852;8;241.988021850586;8;234.262176513672;8;1038.0556640625;8;1034.62939453125;8;1027.13916015625;8;1026.34643554688;8;1009.46594238281;8;1011.61114501953;8;2495.68481445313;8;2492.44384765625;8;2551.0732421875;8;2544.69580078125;8;2504.80737304688;8;2530.62280273438;8;4016.12890625;8;4009.73071289063;8;3984.7373046875;8;3928.82641601563;8;3978.36645507813;8;3988.55932617188;8;4503.97900390625;8;4486.18701171875;8;4529.46630859375;8;4425.12841796875;8;4487.5849609375;8;4462.4541015625;8;4983.94140625;8;4966.62158203125;8;5027.46484375;8;4852.62890625;8;5007.2724609375;8;4939.41748046875;8;6013.9755859375;8;5975.16162109375;8;5994.35693359375;8;5563.46875;8;6000.8359375;8;5825.884765625
9;243.280471801758;9;243.202850341797;9;232.407211303711;9;232.544616699219;9;241.926895141602;9;234.04768371582;9;1036.95690917969;9;1034.62939453125;9;1026.27490234375;9;1024.2275390625;9;1008.45849609375;9;1009.16192626953;9;2495.37158203125;9;2491.87060546875;9;2550.1865234375;9;2545.21215820313;9;2504.3203125;9;2531.75439453125;9;4017.58154296875;9;4012.0166015625;9;3985.94995117188;9;3929.16235351563;9;3978.86645507813;9;3988.443359375;9;4495.01171875;9;4489.05859375;9;4521.9921875;9;4418.62353515625;9;4479.412109375;9;4455.72607421875;9;4983.94140625;9;4952.30712890625;9;5027.46484375;9;4815.4140625;9;5007.2724609375;9;4927.18310546875;9;6010.7568359375;9;5975.33984375;9;5990.2275390625;9;5560.935546875;9;5997.96630859375;9;5824.0986328125
