05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_PAC2;05_L1_I_PAC2;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_PAC2;05_L2_I_PAC2;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_PAC2;05_L3_I_PAC2;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_PAC2;20_L1_I_PAC2;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_PAC2;20_L2_I_PAC2;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_PAC2;20_L3_I_PAC2;50_L1_t_PAC1;50_L1_I_PAC1;50_L1_t_PAC2;50_L1_I_PAC2;50_L2_t_PAC1;50_L2_I_PAC1;50_L2_t_PAC2;50_L2_I_PAC2;50_L3_t_PAC1;50_L3_I_PAC1;50_L3_t_PAC2;50_L3_I_PAC2;80_L1_t_PAC1;80_L1_I_PAC1;80_L1_t_PAC2;80_L1_I_PAC2;80_L2_t_PAC1;80_L2_I_PAC1;80_L2_t_PAC2;80_L2_I_PAC2;80_L3_t_PAC1;80_L3_I_PAC1;80_L3_t_PAC2;80_L3_I_PAC2;90_L1_t_PAC1;90_L1_I_PAC1;90_L1_t_PAC2;90_L1_I_PAC2;90_L2_t_PAC1;90_L2_I_PAC1;90_L2_t_PAC2;90_L2_I_PAC2;90_L3_t_PAC1;90_L3_I_PAC1;90_L3_t_PAC2;90_L3_I_PAC2;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_PAC2;100_L1_I_PAC2;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_PAC2;100_L2_I_PAC2;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_PAC2;100_L3_I_PAC2;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_PAC2;120_L1_I_PAC2;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_PAC2;120_L2_I_PAC2;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_PAC2;120_L3_I_PAC2
0;208.739532470703;0;208.215637207031;0;187.919799804688;0;187.261947631836;0;201.812149047852;0;202.306869506836;0;782.059326171875;0;782.527160644531;0;807.363342285156;0;807.456726074219;0;788.775085449219;0;787.9833984375;0;2047.99206542969;0;2047.97290039063;0;2035.654296875;0;2041.30358886719;0;2032.25207519531;0;2027.45275878906;0;3182.73315429688;0;3178.4833984375;0;3205.90698242188;0;3198.88598632813;0;3175.34008789063;0;3173.86840820313;0;3595.787109375;0;3612.00463867188;0;3556.3828125;0;3610.61840820313;0;3616.09716796875;0;3610.93603515625;0;4015.6904296875;0;4010.5419921875;0;3959.37719726563;0;3969.42041015625;0;3994.17846679688;0;3982.7998046875;0;4809.677734375;0;4742.16845703125;0;4818.19287109375;0;4839.46728515625;0;4808.06201171875;0;4724.77880859375
1;207.788635253906;1;208.70915222168;1;187.88410949707;1;187.707672119141;1;202.114593505859;1;201.969970703125;1;782.86328125;1;781.7880859375;1;806.442016601563;1;806.222534179688;1;788.730285644531;1;788.277404785156;1;2050.134765625;1;2047.40026855469;1;2042.82727050781;1;2041.44763183594;1;2034.9912109375;1;2024.03356933594;1;3182.81225585938;1;3179.47338867188;1;3205.412109375;1;3200.79614257813;1;3181.60766601563;1;3177.0009765625;1;3616.1884765625;1;3606.5439453125;1;3556.3828125;1;3616.63037109375;1;3612.1494140625;1;3604.01220703125;1;4019.24536132813;1;4023.7431640625;1;3958.40405273438;1;4020.20263671875;1;3996.61083984375;1;3984.32080078125;1;4813.91650390625;1;4737.45947265625;1;4820.0947265625;1;4833.72509765625;1;4808.333984375;1;4732.267578125
2;208.297698974609;2;208.953018188477;2;187.88410949707;2;187.906616210938;2;202.1455078125;2;202.230422973633;2;782.025451660156;2;783.34912109375;2;806.795166015625;2;807.757751464844;2;788.761413574219;2;789.159729003906;2;2050.10913085938;2;2046.85717773438;2;2041.72424316406;2;2040.29541015625;2;2030.89758300781;2;2021.22375488281;2;3184.17749023438;2;3175.58154296875;2;3203.38549804688;2;3197.35107421875;2;3180.1474609375;2;3182.4404296875;2;3616.1884765625;2;3606.5439453125;2;3554.6015625;2;3616.63037109375;2;3617.49365234375;2;3606.412109375;2;4030.9521484375;2;4030.00122070313;2;3962.78735351563;2;4035.24438476563;2;3996.810546875;2;3983.22705078125;2;4810.396484375;2;4741.7822265625;2;4817.24560546875;2;4837.9853515625;2;4808.333984375;2;4725.166015625
3;208.528701782227;3;209.280975341797;3;187.018371582031;3;188.167221069336;3;201.785095214844;3;202.251815795898;3;783.589965820313;3;782.272094726563;3;807.979064941406;3;806.784729003906;3;789.150451660156;3;818.66650390625;3;2049.2607421875;3;2048.92309570313;3;2043.75048828125;3;2040.91076660156;3;2027.53759765625;3;2021.8583984375;3;3181.38037109375;3;3168.701171875;3;3203.6767578125;3;3190.98413085938;3;3182.92236328125;3;3181.34375;3;3612.88500976563;3;3614.8974609375;3;3609.97875976563;3;3625.17797851563;3;3613.5224609375;3;3609.13525390625;3;4040.171875;3;4021.67407226563;3;3969.91259765625;3;4027.56689453125;3;3992.34814453125;3;3977.92578125;3;4813.79052734375;3;4742.9375;3;4822.68310546875;3;4837.99365234375;3;4812.7451171875;3;4730.05517578125
4;208.528701782227;4;209.253479003906;4;187.465286254883;4;188.147338867188;4;202.034088134766;4;202.234359741211;4;782.611389160156;4;782.07666015625;4;806.795166015625;4;806.8955078125;4;789.758178710938;4;826.336120605469;4;2051.40600585938;4;2051.77197265625;4;2043.99499511719;4;2044.65295410156;4;2024.48828125;4;1991.56921386719;4;3172.35815429688;4;3175.17407226563;4;3205.52221679688;4;3196.046875;4;3188.11596679688;4;3179.75927734375;4;3620.29174804688;4;3610.3681640625;4;3609.97875976563;4;3621.11596679688;4;3611.85229492188;4;3606.57006835938;4;4034.54907226563;4;4028.10913085938;4;4018.40869140625;4;4035.18725585938;4;3997.19921875;4;3977.76782226563;4;4814.86376953125;4;4744.61767578125;4;4819.14306640625;4;4840.97705078125;4;4810.82666015625;4;4723.8564453125
5;208.841400146484;5;209.25910949707;5;187.655288696289;5;188.172897338867;5;202.06364440918;5;202.041320800781;5;782.345581054688;5;782.1845703125;5;808.292846679688;5;806.701110839844;5;818.983215332031;5;826.227722167969;5;2054.10913085938;5;2028.74682617188;5;2042.59155273438;5;2035.958984375;5;2025.21911621094;5;1974.90930175781;5;3179.638671875;5;3174.07934570313;5;3203.46240234375;5;3195.08349609375;5;3187.88500976563;5;3178.01684570313;5;3616.3740234375;5;3615.98706054688;5;3623.01928710938;5;3625.54370117188;5;3616.640625;5;3607.79809570313;5;4035.84912109375;5;4023.99780273438;5;4040.9716796875;5;4030.685546875;5;3989.03515625;5;3983.48291015625;5;4815.34814453125;5;4741.32470703125;5;4822.0986328125;5;4839.0888671875;5;4806.98583984375;5;4725.00537109375
6;208.840072631836;6;208.962921142578;6;187.655288696289;6;187.861709594727;6;202.070373535156;6;202.404815673828;6;782.38134765625;6;782.390502929688;6;807.326538085938;6;806.92333984375;6;827.308349609375;6;826.764526367188;6;2031.86975097656;6;1999.38598632813;6;2043.51196289063;6;2027.40405273438;6;1995.53637695313;6;1976.70910644531;6;3178.7509765625;6;3196.90258789063;6;3194.79150390625;6;3200.775390625;6;3186.3857421875;6;3177.37231445313;6;3621.5126953125;6;3610.79736328125;6;3630.36181640625;6;3619.32788085938;6;3614.53369140625;6;3605.57592773438;6;4036.623046875;6;4020.41772460938;6;4035.76708984375;6;4028.95825195313;6;3990.42114257813;6;4011.7021484375;6;4815.34814453125;6;4748.49853515625;6;4822.31640625;6;4847.4404296875;6;4812.7666015625;6;4727.02783203125
7;208.526580810547;7;209.273773193359;7;187.898788452148;7;188.119583129883;7;201.861419677734;7;202.107864379883;7;782.69970703125;7;782.220886230469;7;807.423583984375;7;807.377685546875;7;827.098205566406;7;826.764526367188;7;2002.09594726563;7;1990.74865722656;7;2047.14465332031;7;2024.11560058594;7;1978.12683105469;7;1976.97985839844;7;3199.0078125;7;3227.16577148438;7;3200.9892578125;7;3213.65209960938;7;3184.4716796875;7;3184.19873046875;7;3618.32836914063;7;3611.33520507813;7;3626.75610351563;7;3620.41430664063;7;3615.08056640625;7;3604.14575195313;7;4030.92529296875;7;3986.12622070313;7;4038.81494140625;7;4017.54760742188;7;3990.42114257813;7;4017.6181640625;7;4819.544921875;7;4743.27734375;7;4824.671875;7;4839.0419921875;7;4805.466796875;7;4730.7841796875
8;208.862609863281;8;209.327178955078;8;187.908111572266;8;188.158203125;8;202.218032836914;8;201.833557128906;8;782.516723632813;8;785.337951660156;8;807.215209960938;8;818.566345214844;8;828.23486328125;8;827.445556640625;8;1992.91125488281;8;1991.54064941406;8;2038.83190917969;8;2025.64624023438;8;1979.90283203125;8;1976.14978027344;8;3230.33666992188;8;3232.5498046875;8;3200.25708007813;8;3216.16137695313;8;3183.59790039063;8;3213.1630859375;8;3616.1611328125;8;3614.90844726563;8;3631.03247070313;8;3624.99731445313;8;3613.43725585938;8;3605.740234375;8;4003.5205078125;8;3965.2451171875;8;4039.3701171875;8;4009.1103515625;8;4031.763671875;8;4017.6181640625;8;4818.33740234375;8;4746.16259765625;8;4824.671875;8;4843.0771484375;8;4811.37841796875;8;4730.7841796875
9;208.903091430664;9;209.292495727539;9;187.600357055664;9;188.06462097168;9;201.95671081543;9;202.335845947266;9;785.510681152344;9;786.72021484375;9;807.405395507813;9;821.543701171875;9;827.728942871094;9;827.141906738281;9;1993.70288085938;9;1987.99267578125;9;2030.24438476563;9;2015.27551269531;9;1980.25268554688;9;1975.7919921875;9;3236.9638671875;9;3231.0732421875;9;3204.96704101563;9;3214.42138671875;9;3188.44165039063;9;3217.32446289063;9;3620.48583984375;9;3612.68896484375;9;3626.52319335938;9;3623.154296875;9;3612.21801757813;9;3609.19189453125;9;3975.18676757813;9;3964.65405273438;9;4033.36303710938;9;4010.77465820313;9;4030.0771484375;9;4018.04077148438;9;4814.2626953125;9;4741.6005859375;9;4828.74169921875;9;4837.7490234375;9;4813.36572265625;9;4727.4443359375
