05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_PAC2;05_L1_I_PAC2;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_PAC2;05_L2_I_PAC2;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_PAC2;05_L3_I_PAC2;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_PAC2;20_L1_I_PAC2;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_PAC2;20_L2_I_PAC2;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_PAC2;20_L3_I_PAC2;50_L1_t_PAC1;50_L1_I_PAC1;50_L1_t_PAC2;50_L1_I_PAC2;50_L2_t_PAC1;50_L2_I_PAC1;50_L2_t_PAC2;50_L2_I_PAC2;50_L3_t_PAC1;50_L3_I_PAC1;50_L3_t_PAC2;50_L3_I_PAC2;80_L1_t_PAC1;80_L1_I_PAC1;80_L1_t_PAC2;80_L1_I_PAC2;80_L2_t_PAC1;80_L2_I_PAC1;80_L2_t_PAC2;80_L2_I_PAC2;80_L3_t_PAC1;80_L3_I_PAC1;80_L3_t_PAC2;80_L3_I_PAC2;90_L1_t_PAC1;90_L1_I_PAC1;90_L1_t_PAC2;90_L1_I_PAC2;90_L2_t_PAC1;90_L2_I_PAC1;90_L2_t_PAC2;90_L2_I_PAC2;90_L3_t_PAC1;90_L3_I_PAC1;90_L3_t_PAC2;90_L3_I_PAC2;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_PAC2;100_L1_I_PAC2;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_PAC2;100_L2_I_PAC2;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_PAC2;100_L3_I_PAC2;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_PAC2;120_L1_I_PAC2;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_PAC2;120_L2_I_PAC2;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_PAC2;120_L3_I_PAC2
0;106.452125549316;0;106.593399047852;0;118.04615020752;0;118.096817016602;0;140.210067749023;0;140.905319213867;0;526.382019042969;0;524.964050292969;0;514.721069335938;0;513.305908203125;0;510.796691894531;0;510.658569335938;0;1235.6103515625;0;1229.00598144531;0;1256.87268066406;0;1228.58422851563;0;1244.84362792969;0;1243.24658203125;0;2011.21020507813;0;1884.59338378906;0;2031.98962402344;0;1796.578125;0;2021.95581054688;0;1893.0966796875;0;2219.51611328125;0;2026.50830078125;0;2236.24926757813;0;1923.31628417969;0;2258.84790039063;0;2059.46948242188;0;2512.7001953125;0;2221.28442382813;0;2508.72241210938;0;2096.83203125;0;2505.06616210938;0;2226.09008789063;0;3009.71630859375;0;2541.7939453125;0;3012.09155273438;0;2399.6640625;0;2987.02685546875;0;2544.5244140625
1;132.040603637695;1;117.278861999512;1;118.033393859863;1;118.044700622559;1;140.581802368164;1;140.806076049805;1;526.382019042969;1;525.293395996094;1;514.868774414063;1;514.245361328125;1;511.296142578125;1;511.571014404297;1;1235.6103515625;1;1230.03369140625;1;1257.05749511719;1;1228.51684570313;1;1244.80603027344;1;1243.21606445313;1;2021.14367675781;1;1884.59338378906;1;2032.24328613281;1;1795.94909667969;1;2024.88415527344;1;1892.72570800781;1;2222.37158203125;1;2027.27197265625;1;2236.14184570313;1;1922.46044921875;1;2260.24926757813;1;2058.92944335938;1;2512.1298828125;1;2222.27416992188;1;2511.21728515625;1;2098.11743164063;1;2503.833984375;1;2226.9794921875;1;3006.7021484375;1;2544.16796875;1;3009.99658203125;1;2399.00537109375;1;2987.02685546875;1;2544.62622070313
2;155.732238769531;2;150.842193603516;2;118.085594177246;2;118.184844970703;2;140.513656616211;2;140.898620605469;2;525.742736816406;2;524.728271484375;2;514.896850585938;2;513.968078613281;2;511.676574707031;2;511.445251464844;2;1236.16577148438;2;1229.26098632813;2;1256.22436523438;2;1227.53149414063;2;1245.06115722656;2;1242.59790039063;2;2020.12414550781;2;1884.77185058594;2;2030.00061035156;2;1796.81616210938;2;2025.15625;2;1893.64465332031;2;2220.93896484375;2;2026.80310058594;2;2235.0859375;2;1922.61303710938;2;2259.82885742188;2;2058.77075195313;2;2513.4169921875;2;2221.73046875;2;2510.36669921875;2;2097.091796875;2;2505.6357421875;2;2225.98486328125;2;3014.38037109375;2;2546.47802734375;2;3010.46630859375;2;2399.80712890625;2;2984.384765625;2;2545.09204101563
3;158.102508544922;3;158.059844970703;3;118.026969909668;3;118.147476196289;3;140.588088989258;3;140.919204711914;3;526.429504394531;3;524.552551269531;3;513.1455078125;3;513.906616210938;3;511.690490722656;3;511.505981445313;3;1236.05895996094;3;1229.77856445313;3;1255.07385253906;3;1227.19396972656;3;1244.46899414063;3;1242.75537109375;3;2022.63098144531;3;1884.77185058594;3;2033.17834472656;3;1796.19299316406;3;2023.44201660156;3;1892.55383300781;3;2222.48315429688;3;2027.7216796875;3;2233.77612304688;3;1922.50341796875;3;2258.66528320313;3;2058.65795898438;3;2510.89379882813;3;2221.44506835938;3;2510.7568359375;3;2098.27685546875;3;2504.90844726563;3;2226.99853515625;3;3014.38037109375;3;2545.88891601563;3;3003.35375976563;3;2394.55590820313;3;2984.76220703125;3;2540.13916015625
4;158.046005249023;4;157.944931030273;4;118.042724609375;4;118.147476196289;4;140.522827148438;4;140.919204711914;4;526.569580078125;4;525.43359375;4;501.540222167969;4;505.462921142578;4;511.158203125;4;509.029968261719;4;1236.45971679688;4;1229.92407226563;4;1261.12243652344;4;1228.12805175781;4;1243.72387695313;4;1242.59106445313;4;2021.80493164063;4;1883.59155273438;4;2031.67858886719;4;1797.05590820313;4;2026.22290039063;4;1893.26879882813;4;2222.494140625;4;2027.2763671875;4;2235.4482421875;4;1921.33056640625;4;2257.880859375;4;2057.25146484375;4;2513.51928710938;4;2222.27001953125;4;2511.32861328125;4;2097.51123046875;4;2504.95703125;4;2226.26782226563;4;3012.55810546875;4;2546.20068359375;4;3010.11303710938;4;2397.65991210938;4;2978.78369140625;4;2543.4052734375
5;158.121887207031;5;158.107925415039;5;118.004920959473;5;118.126670837402;5;140.583984375;5;140.902740478516;5;526.47265625;5;525.074523925781;5;499.123199462891;5;498.209777832031;5;507.792236328125;5;506.598205566406;5;1235.73803710938;5;1228.890625;5;1269.95654296875;5;1236.75305175781;5;1246.62060546875;5;1247.12133789063;5;2019.73132324219;5;1884.55163574219;5;2032.78771972656;5;1797.31665039063;5;2024.09228515625;5;1893.52734375;5;2221.29565429688;5;2027.4267578125;5;2235.13916015625;5;1922.68041992188;5;2258.66625976563;5;2059.00122070313;5;2513.1357421875;5;2221.76391601563;5;2507.86254882813;5;2097.51123046875;5;2505.7177734375;5;2226.26782226563;5;3011.853515625;5;2546.15673828125;5;3018.09252929688;5;2400.03588867188;5;2985.45678710938;5;2547.80712890625
6;158.07145690918;6;158.15251159668;6;118.041191101074;6;118.126670837402;6;140.522308349609;6;140.902740478516;6;522.390808105469;6;525.023498535156;6;499.281188964844;6;498.404663085938;6;506.814483642578;6;506.63720703125;6;1234.98950195313;6;1229.06701660156;6;1273.77868652344;6;1241.48571777344;6;1250.03881835938;6;1248.296875;6;2023.06237792969;6;1884.46667480469;6;2032.78771972656;6;1796.70104980469;6;2025.49462890625;6;1892.88977050781;6;2219.48999023438;6;2026.82067871094;6;2235.43896484375;6;1922.68041992188;6;2258.71899414063;6;2059.00122070313;6;2513.673828125;6;2222.958984375;6;2507.3828125;6;2094.4306640625;6;2502.64208984375;6;2223.70239257813;6;3005.95581054688;6;2540.86767578125;6;3022.85986328125;6;2404.51025390625;6;3000.72119140625;6;2564.67431640625
7;158.126953125;7;158.15251159668;7;118.122528076172;7;118.083633422852;7;140.565780639648;7;140.907119750977;7;488.930633544922;7;501.661529541016;7;499.433441162109;7;498.636840820313;7;506.656799316406;7;506.567596435547;7;1255.96435546875;7;1235.24536132813;7;1276.02905273438;7;1243.85217285156;7;1250.01330566406;7;1249.31713867188;7;2021.82946777344;7;1884.48217773438;7;2033.29162597656;7;1797.59289550781;7;2025.49462890625;7;1893.84619140625;7;2222.09985351563;7;2025.9345703125;7;2235.80786132813;7;1923.07995605469;7;2259.47119140625;7;2061.12670898438;7;2513.62475585938;7;2221.75366210938;7;2511.0927734375;7;2098.85620117188;7;2502.55834960938;7;2227.8408203125;7;3012.75512695313;7;2544.63940429688;7;3022.88696289063;7;2403.47338867188;7;3016.71435546875;7;2565.34155273438
8;158.046691894531;8;158.078216552734;8;118.016792297363;8;118.16130065918;8;140.6708984375;8;140.994201660156;8;480.769622802734;8;479.568695068359;8;499.590393066406;8;498.636840820313;8;506.739318847656;8;506.567596435547;8;1285.80603027344;8;1270.4208984375;8;1275.36840820313;8;1243.76184082031;8;1251.52001953125;8;1248.69982910156;8;2022.67944335938;8;1884.91528320313;8;2033.29162597656;8;1795.65942382813;8;2025.79077148438;8;1886.15649414063;8;2221.75463867188;8;2027.85412597656;8;2239.43676757813;8;1923.07995605469;8;2259.82543945313;8;2061.12670898438;8;2510.560546875;8;2221.75366210938;8;2511.55249023438;8;2098.85620117188;8;2505.99340820313;8;2227.8408203125;8;3014.14721679688;8;2545.59228515625;8;3018.66064453125;8;2401.39672851563;8;3017.96362304688;8;2563.6572265625
9;158.091094970703;9;158.078216552734;9;118.134086608887;9;118.160346984863;9;140.579452514648;9;140.979705810547;9;480.772888183594;9;479.638732910156;9;499.478240966797;9;498.75244140625;9;506.828704833984;9;506.584045410156;9;1293.7548828125;9;1284.66052246094;9;1276.67236328125;9;1245.28540039063;9;1250.58044433594;9;1250.1796875;9;2022.67944335938;9;1884.39709472656;9;2017.48876953125;9;1790.16857910156;9;2025.79077148438;9;1868.26843261719;9;2222.09008789063;9;2027.85412597656;9;2248.6484375;9;1927.48913574219;9;2263.37377929688;9;2064.38403320313;9;2510.64575195313;9;2219.55834960938;9;2511.87353515625;9;2097.08471679688;9;2506.15795898438;9;2226.46069335938;9;3015.1259765625;9;2549.53393554688;9;3020.32446289063;9;2401.54614257813;9;3013.67236328125;9;2563.54028320313
