05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_K3;05_L1_I_K3;05_L1_t_PAC2;05_L1_I_PAC2;05_L1_t_Rogowsikeinspeisung;05_L1_I_Rogowsikeinspeisung;05_L1_t_Rogowsikprüfling;05_L1_I_Rogowsikprüfling;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_K3;05_L2_I_K3;05_L2_t_PAC2;05_L2_I_PAC2;05_L2_t_Rogowsikeinspeisung;05_L2_I_Rogowsikeinspeisung;05_L2_t_Rogowsikprüfling;05_L2_I_Rogowsikprüfling;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_K3;05_L3_I_K3;05_L3_t_PAC2;05_L3_I_PAC2;05_L3_t_Rogowsikeinspeisung;05_L3_I_Rogowsikeinspeisung;05_L3_t_Rogowsikprüfling;05_L3_I_Rogowsikprüfling;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_K3;20_L1_I_K3;20_L1_t_PAC2;20_L1_I_PAC2;20_L1_t_Rogowsikeinspeisung;20_L1_I_Rogowsikeinspeisung;20_L1_t_Rogowsikprüfling;20_L1_I_Rogowsikprüfling;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_K3;20_L2_I_K3;20_L2_t_PAC2;20_L2_I_PAC2;20_L2_t_Rogowsikeinspeisung;20_L2_I_Rogowsikeinspeisung;20_L2_t_Rogowsikprüfling;20_L2_I_Rogowsikprüfling;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_K3;20_L3_I_K3;20_L3_t_PAC2;20_L3_I_PAC2;20_L3_t_Rogowsikeinspeisung;20_L3_I_Rogowsikeinspeisung;20_L3_t_Rogowsikprüfling;20_L3_I_Rogowsikprüfling;50_L1_t_PAC1;50_L1_I_PAC1;50_L1_t_K3;50_L1_I_K3;50_L1_t_PAC2;50_L1_I_PAC2;50_L1_t_Rogowsikeinspeisung;50_L1_I_Rogowsikeinspeisung;50_L1_t_Rogowsikprüfling;50_L1_I_Rogowsikprüfling;50_L2_t_PAC1;50_L2_I_PAC1;50_L2_t_K3;50_L2_I_K3;50_L2_t_PAC2;50_L2_I_PAC2;50_L2_t_Rogowsikeinspeisung;50_L2_I_Rogowsikeinspeisung;50_L2_t_Rogowsikprüfling;50_L2_I_Rogowsikprüfling;50_L3_t_PAC1;50_L3_I_PAC1;50_L3_t_K3;50_L3_I_K3;50_L3_t_PAC2;50_L3_I_PAC2;50_L3_t_Rogowsikeinspeisung;50_L3_I_Rogowsikeinspeisung;50_L3_t_Rogowsikprüfling;50_L3_I_Rogowsikprüfling;80_L1_t_PAC1;80_L1_I_PAC1;80_L1_t_K3;80_L1_I_K3;80_L1_t_PAC2;80_L1_I_PAC2;80_L1_t_Rogowsikeinspeisung;80_L1_I_Rogowsikeinspeisung;80_L1_t_Rogowsikprüfling;80_L1_I_Rogowsikprüfling;80_L2_t_PAC1;80_L2_I_PAC1;80_L2_t_K3;80_L2_I_K3;80_L2_t_PAC2;80_L2_I_PAC2;80_L2_t_Rogowsikeinspeisung;80_L2_I_Rogowsikeinspeisung;80_L2_t_Rogowsikprüfling;80_L2_I_Rogowsikprüfling;80_L3_t_PAC1;80_L3_I_PAC1;80_L3_t_K3;80_L3_I_K3;80_L3_t_PAC2;80_L3_I_PAC2;80_L3_t_Rogowsikeinspeisung;80_L3_I_Rogowsikeinspeisung;80_L3_t_Rogowsikprüfling;80_L3_I_Rogowsikprüfling;90_L1_t_PAC1;90_L1_I_PAC1;90_L1_t_K3;90_L1_I_K3;90_L1_t_PAC2;90_L1_I_PAC2;90_L1_t_Rogowsikeinspeisung;90_L1_I_Rogowsikeinspeisung;90_L1_t_Rogowsikprüfling;90_L1_I_Rogowsikprüfling;90_L2_t_PAC1;90_L2_I_PAC1;90_L2_t_K3;90_L2_I_K3;90_L2_t_PAC2;90_L2_I_PAC2;90_L2_t_Rogowsikeinspeisung;90_L2_I_Rogowsikeinspeisung;90_L2_t_Rogowsikprüfling;90_L2_I_Rogowsikprüfling;90_L3_t_PAC1;90_L3_I_PAC1;90_L3_t_K3;90_L3_I_K3;90_L3_t_PAC2;90_L3_I_PAC2;90_L3_t_Rogowsikeinspeisung;90_L3_I_Rogowsikeinspeisung;90_L3_t_Rogowsikprüfling;90_L3_I_Rogowsikprüfling;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_K3;100_L1_I_K3;100_L1_t_PAC2;100_L1_I_PAC2;100_L1_t_Rogowsikeinspeisung;100_L1_I_Rogowsikeinspeisung;100_L1_t_Rogowsikprüfling;100_L1_I_Rogowsikprüfling;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_K3;100_L2_I_K3;100_L2_t_PAC2;100_L2_I_PAC2;100_L2_t_Rogowsikeinspeisung;100_L2_I_Rogowsikeinspeisung;100_L2_t_Rogowsikprüfling;100_L2_I_Rogowsikprüfling;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_K3;100_L3_I_K3;100_L3_t_PAC2;100_L3_I_PAC2;100_L3_t_Rogowsikeinspeisung;100_L3_I_Rogowsikeinspeisung;100_L3_t_Rogowsikprüfling;100_L3_I_Rogowsikprüfling;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_K3;120_L1_I_K3;120_L1_t_PAC2;120_L1_I_PAC2;120_L1_t_Rogowsikeinspeisung;120_L1_I_Rogowsikeinspeisung;120_L1_t_Rogowsikprüfling;120_L1_I_Rogowsikprüfling;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_K3;120_L2_I_K3;120_L2_t_PAC2;120_L2_I_PAC2;120_L2_t_Rogowsikeinspeisung;120_L2_I_Rogowsikeinspeisung;120_L2_t_Rogowsikprüfling;120_L2_I_Rogowsikprüfling;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_K3;120_L3_I_K3;120_L3_t_PAC2;120_L3_I_PAC2;120_L3_t_Rogowsikeinspeisung;120_L3_I_Rogowsikeinspeisung;120_L3_t_Rogowsikprüfling;120_L3_I_Rogowsikprüfling
0;190.831146240234;0;190.104156494141;0;190.865509033203;0;185.185180664063;0;0.0;0;165.14826965332;0;156.25;0;165.541809082031;0;170.717590332031;0;0.0;0;183.127899169922;0;166.66667175293;0;183.52001953125;0;185.185180664063;0;0.0;0;817.871337890625;0;815.104187011719;0;816.520751953125;0;807.291625976563;0;0.0;0;835.786987304688;0;824.652770996094;0;837.204772949219;0;846.354125976563;0;0.0;0;794.27783203125;0;772.569458007813;0;794.325805664063;0;807.291625976563;0;0.0;0;2016.31274414063;0;2028.64587402344;0;2012.00341796875;0;1995.0810546875;0;0.0;0;2043.35620117188;0;2036.45825195313;0;2045.09875488281;0;2061.63208007813;0;0.0;0;1999.46813964844;0;1984.375;0;1998.14770507813;0;1995.0810546875;0;0.0;0;3198.69384765625;0;3223.09033203125;0;3192.29296875;0;3168.40283203125;0;0.0;0;3217.67724609375;0;3210.06958007813;0;3217.98852539063;0;3240.74047851563;0;0.0;0;3202.38696289063;0;3192.70849609375;0;3200.0283203125;0;3168.40283203125;0;0.0;0;3609.51782226563;0;3633.68041992188;0;3602.6845703125;0;3570.60205078125;0;0.0;0;3600.84619140625;0;3599.82641601563;0;3620.9033203125;0;3628.47216796875;0;0.0;0;3620.16015625;0;3576.38891601563;0;3617.080078125;0;3570.60205078125;0;0.0;0;4007.64086914063;0;4034.72216796875;0;3999.26416015625;0;3968.46044921875;0;0.0;0;3985.56640625;0;3977.4306640625;0;3985.3671875;0;4014.75708007813;0;0.0;0;4011.49755859375;0;4002.60400390625;0;4009.2412109375;0;3968.46044921875;0;0.0;0;4769.83349609375;0;4806.423828125;0;4757.943359375;0;4723.6689453125;0;0.0;0;4805.212890625;0;4798.61083984375;0;4795.85791015625;0;5419.56005859375;0;0.0;0;4784.55029296875;0;4772.5693359375;0;5178.240234375;0;4723.6689453125;0;0.0
1;190.830856323242;1;189.236099243164;1;190.845413208008;1;185.185180664063;1;0.0;1;165.043182373047;1;156.25;1;165.53581237793;1;170.717590332031;1;0.0;1;183.135162353516;1;166.66667175293;1;183.567596435547;1;185.185180664063;1;0.0;1;817.791076660156;1;815.104187011719;1;816.454223632813;1;807.291625976563;1;0.0;1;835.890563964844;1;824.652770996094;1;837.295104980469;1;846.354125976563;1;0.0;1;794.5341796875;1;772.569458007813;1;794.562683105469;1;807.291625976563;1;0.0;1;2016.17163085938;1;2028.64587402344;1;2011.69299316406;1;1995.0810546875;1;0.0;1;2043.65991210938;1;2035.59033203125;1;2044.96618652344;1;2060.18530273438;1;0.0;1;1999.4228515625;1;1984.375;1;1998.24060058594;1;1995.0810546875;1;0.0;1;3198.69384765625;1;3223.09033203125;1;3191.39794921875;1;3168.40283203125;1;0.0;1;3217.67724609375;1;3210.06958007813;1;3218.69384765625;1;3242.1875;1;0.0;1;3202.03002929688;1;3192.70849609375;1;3199.60791015625;1;3168.40283203125;1;0.0;1;3604.12768554688;1;3633.68041992188;1;3598.4560546875;1;3572.04858398438;1;0.0;1;3614.43017578125;1;3611.111328125;1;3619.23681640625;1;3635.7060546875;1;0.0;1;3619.91723632813;1;3605.03491210938;1;3617.10107421875;1;3572.04858398438;1;0.0;1;4008.42407226563;1;4033.85424804688;1;4000.74389648438;1;3968.46044921875;1;0.0;1;3984.56811523438;1;3977.4306640625;1;3984.58984375;1;4014.75708007813;1;0.0;1;4011.5791015625;1;4000.8681640625;1;4008.57202148438;1;3968.46044921875;1;0.0;1;4770.92919921875;1;4808.15966796875;1;4757.94580078125;1;4726.5625;1;0.0;1;4806.958984375;1;4799.47900390625;1;4796.91943359375;1;5044.849609375;1;0.0;1;4786.32958984375;1;4772.5693359375;1;5179.94189453125;1;4726.5625;1;0.0
2;190.864974975586;2;189.236099243164;2;190.875747680664;2;185.185180664063;2;0.0;2;164.974594116211;2;156.25;2;165.511581420898;2;170.717590332031;2;0.0;2;183.122283935547;2;166.66667175293;2;183.574203491211;2;185.185180664063;2;0.0;2;817.833435058594;2;815.104187011719;2;816.467102050781;2;807.291625976563;2;0.0;2;835.801696777344;2;824.652770996094;2;837.185241699219;2;846.354125976563;2;0.0;2;794.594848632813;2;772.569458007813;2;794.675170898438;2;807.291625976563;2;0.0;2;2016.37854003906;2;2028.64587402344;2;2011.69299316406;2;1995.0810546875;2;0.0;2;2043.52087402344;2;2036.45825195313;2;2040.99816894531;2;2060.18530273438;2;0.0;2;1998.83081054688;2;1984.375;2;1996.20776367188;2;1995.0810546875;2;0.0;2;3199.9130859375;2;3221.35424804688;2;3192.46362304688;2;3168.40283203125;2;0.0;2;3216.3369140625;2;3209.201171875;2;3218.69384765625;2;3242.1875;2;0.0;2;3202.11083984375;2;3190.10424804688;2;3199.60791015625;2;3168.40283203125;2;0.0;2;3606.20068359375;2;3634.548828125;2;3598.65625;2;3572.04858398438;2;0.0;2;3618.43090820313;2;3611.97924804688;2;3617.92822265625;2;3635.7060546875;2;0.0;2;3619.70361328125;2;3608.50708007813;2;3616.67431640625;2;3572.04858398438;2;0.0;2;4009.0107421875;2;4034.72216796875;2;4001.45629882813;2;3968.46044921875;2;0.0;2;3983.78271484375;2;3977.4306640625;2;3984.58984375;2;4014.75708007813;2;0.0;2;4011.9267578125;2;4000.8681640625;2;4008.57202148438;2;3968.46044921875;2;0.0;2;4771.310546875;2;4808.15966796875;2;4759.8818359375;2;4726.5625;2;0.0;2;4807.2744140625;2;4799.47900390625;2;4795.953125;2;5044.849609375;2;0.0;2;4785.46826171875;2;4773.4375;2;5178.2880859375;2;4726.5625;2;0.0
3;190.78857421875;3;189.236099243164;3;190.779083251953;3;183.738433837891;3;0.0;3;164.953887939453;3;156.25;3;165.542984008789;3;170.717590332031;3;0.0;3;183.108444213867;3;166.66667175293;3;183.528717041016;3;183.738433837891;3;0.0;3;817.994812011719;3;815.104187011719;3;816.66455078125;3;807.291625976563;3;0.0;3;836.043823242188;3;824.652770996094;3;837.307556152344;3;846.354125976563;3;0.0;3;794.792724609375;3;772.569458007813;3;794.853515625;3;807.291625976563;3;0.0;3;2015.86889648438;3;2027.77770996094;3;2011.37329101563;3;1995.0810546875;3;0.0;3;2043.86706542969;3;2035.59033203125;3;2001.41784667969;3;2060.18530273438;3;0.0;3;1987.11071777344;3;1983.50695800781;3;1984.853515625;3;1995.0810546875;3;0.0;3;3199.9130859375;3;3221.35424804688;3;3192.26440429688;3;3168.40283203125;3;0.0;3;3216.3369140625;3;3210.06958007813;3;3219.0712890625;3;3240.74047851563;3;0.0;3;3202.99340820313;3;3191.84008789063;3;3200.79174804688;3;3168.40283203125;3;0.0;3;3609.45166015625;3;3634.548828125;3;3601.81787109375;3;3574.94213867188;3;0.0;3;3619.2900390625;3;3610.24291992188;3;3616.90283203125;3;3645.83349609375;3;0.0;3;3620.041015625;3;3608.50708007813;3;3617.38745117188;3;3574.94213867188;3;0.0;3;4007.88891601563;3;4034.72216796875;3;3998.92846679688;3;3967.01391601563;3;0.0;3;3984.32299804688;3;3977.4306640625;3;3984.31640625;3;4014.75708007813;3;0.0;3;4011.26147460938;3;3999.1318359375;3;4008.29418945313;3;3967.01391601563;3;0.0;3;4773.38330078125;3;4807.29150390625;3;4760.36865234375;3;4726.5625;3;0.0;3;4807.66064453125;3;4800.34716796875;3;4795.94873046875;3;5044.849609375;3;0.0;3;4785.9130859375;3;4774.3056640625;3;5179.13818359375;3;4726.5625;3;0.0
4;190.692687988281;4;189.236099243164;4;190.740097045898;4;185.185180664063;4;0.0;4;164.967239379883;4;156.25;4;165.518203735352;4;170.717590332031;4;0.0;4;183.090881347656;4;166.66667175293;4;183.540176391602;4;185.185180664063;4;0.0;4;817.779113769531;4;815.104187011719;4;816.378295898438;4;807.291625976563;4;0.0;4;836.167602539063;4;824.652770996094;4;837.38330078125;4;849.247619628906;4;0.0;4;794.761108398438;4;772.569458007813;4;794.80078125;4;807.291625976563;4;0.0;4;2015.95715332031;4;2028.64587402344;4;2011.68493652344;4;1995.0810546875;4;0.0;4;2043.65600585938;4;2036.45825195313;4;1995.55493164063;4;2060.18530273438;4;0.0;4;1985.91687011719;4;1984.375;4;1984.83178710938;4;1995.0810546875;4;0.0;4;3199.07861328125;4;3221.35424804688;4;3191.43310546875;4;3168.40283203125;4;0.0;4;3217.06420898438;4;3210.06958007813;4;3218.30712890625;4;3240.74047851563;4;0.0;4;3203.47900390625;4;3190.10424804688;4;3201.33227539063;4;3168.40283203125;4;0.0;4;3610.25415039063;4;3635.41674804688;4;3603.10522460938;4;3574.94213867188;4;0.0;4;3617.92138671875;4;3609.375;4;3618.52661132813;4;3645.83349609375;4;0.0;4;3620.19775390625;4;3607.638671875;4;3617.19091796875;4;3574.94213867188;4;0.0;4;4007.8759765625;4;4032.11791992188;4;3999.63232421875;4;3967.01391601563;4;0.0;4;3983.96557617188;4;3973.95825195313;4;3982.51782226563;4;4013.31005859375;4;0.0;4;4010.84814453125;4;4000.0;4;4007.22119140625;4;3967.01391601563;4;0.0;4;4773.9365234375;4;4808.15966796875;4;4761.86669921875;4;4726.5625;4;0.0;4;4808.9296875;4;4799.47900390625;4;4795.4208984375;4;5044.849609375;4;0.0;4;4787.318359375;4;4774.3056640625;4;5179.39599609375;4;4726.5625;4;0.0
5;190.694671630859;5;189.236099243164;5;190.70051574707;5;183.738433837891;5;0.0;5;164.97509765625;5;156.25;5;165.518203735352;5;170.717590332031;5;0.0;5;183.090881347656;5;166.66667175293;5;183.540176391602;5;183.738433837891;5;0.0;5;817.645263671875;5;815.104187011719;5;816.363220214844;5;807.291625976563;5;0.0;5;836.115051269531;5;824.652770996094;5;837.363098144531;5;847.800903320313;5;0.0;5;794.657409667969;5;772.569458007813;5;794.880920410156;5;807.291625976563;5;0.0;5;2015.69958496094;5;2021.70141601563;5;2011.08544921875;5;1995.0810546875;5;0.0;5;2042.90869140625;5;2006.94445800781;5;1995.35827636719;5;2061.63208007813;5;0.0;5;1985.90869140625;5;1973.09033203125;5;1984.67797851563;5;1995.0810546875;5;0.0;5;3199.07861328125;5;3222.22216796875;5;3191.43310546875;5;3165.50952148438;5;0.0;5;3217.1494140625;5;3210.06958007813;5;3217.63330078125;5;3242.1875;5;0.0;5;3202.91259765625;5;3190.97216796875;5;3200.46875;5;3165.50952148438;5;0.0;5;3612.07153320313;5;3634.548828125;5;3604.58642578125;5;3574.94213867188;5;0.0;5;3616.62622070313;5;3607.638671875;5;3618.70141601563;5;3644.38647460938;5;0.0;5;3619.57177734375;5;3608.50708007813;5;3616.12451171875;5;3574.94213867188;5;0.0;5;4008.70068359375;5;4032.986328125;5;3999.63232421875;5;3967.01391601563;5;0.0;5;3981.42895507813;5;3975.6943359375;5;4010.44091796875;5;3995.94897460938;5;0.0;5;4011.61889648438;5;4000.0;5;4010.01538085938;5;3967.01391601563;5;0.0;5;4773.728515625;5;4807.29150390625;5;4761.86669921875;5;4726.5625;5;0.0;5;4807.8134765625;5;4798.61083984375;5;4796.84375;5;5044.849609375;5;0.0;5;4788.19921875;5;4774.3056640625;5;5178.77880859375;5;4726.5625;5;0.0
6;190.664276123047;6;189.236099243164;6;190.687316894531;6;185.185180664063;6;0.0;6;164.978881835938;6;156.25;6;174.64714050293;6;170.717590332031;6;0.0;6;183.153457641602;6;166.66667175293;6;203.153411865234;6;185.185180664063;6;0.0;6;817.819519042969;6;815.104187011719;6;816.553283691406;6;808.738403320313;6;0.0;6;836.2333984375;6;824.652770996094;6;837.241149902344;6;847.800903320313;6;0.0;6;794.657409667969;6;772.569458007813;6;794.698181152344;6;808.738403320313;6;0.0;6;2015.61071777344;6;2018.22924804688;6;2011.34399414063;6;1995.0810546875;6;0.0;6;2005.19812011719;6;1986.11108398438;6;1995.52600097656;6;2061.63208007813;6;0.0;6;1986.38488769531;6;1970.48608398438;6;1985.46154785156;6;1995.0810546875;6;0.0;6;3198.1552734375;6;3222.22216796875;6;3190.48022460938;6;3165.50952148438;6;0.0;6;3217.27514648438;6;3210.06958007813;6;3217.85864257813;6;3242.1875;6;0.0;6;3202.75732421875;6;3191.84008789063;6;3200.49243164063;6;3165.50952148438;6;0.0;6;3611.44946289063;6;3633.68041992188;6;3603.65356445313;6;3574.94213867188;6;0.0;6;3615.48706054688;6;3609.375;6;3618.09375;6;3644.38647460938;6;0.0;6;3619.46875;6;3608.50708007813;6;3616.51196289063;6;3574.94213867188;6;0.0;6;4007.64282226563;6;4035.59008789063;6;3998.32055664063;6;3967.01391601563;6;0.0;6;3983.111328125;6;3974.82641601563;6;4044.03979492188;6;3995.94897460938;6;0.0;6;4020.09033203125;6;4000.0;6;4018.05029296875;6;3967.01391601563;6;0.0;6;4774.34814453125;6;4809.02783203125;6;4761.68310546875;6;4726.5625;6;0.0;6;4806.88818359375;6;4798.61083984375;6;4797.3994140625;6;5044.849609375;6;0.0;6;4787.0654296875;6;4776.04150390625;6;5177.583984375;6;4726.5625;6;0.0
7;190.510543823242;7;189.236099243164;7;190.597259521484;7;183.738433837891;7;0.0;7;164.986633300781;7;156.25;7;174.64714050293;7;170.717590332031;7;0.0;7;224.550155639648;7;166.66667175293;7;203.153411865234;7;183.738433837891;7;0.0;7;817.968444824219;7;815.104187011719;7;816.575134277344;7;808.738403320313;7;0.0;7;836.304138183594;7;825.520812988281;7;837.322265625;7;847.800903320313;7;0.0;7;794.468322753906;7;772.569458007813;7;794.902770996094;7;808.738403320313;7;0.0;7;2015.75427246094;7;2016.4931640625;7;2010.61083984375;7;1989.2939453125;7;0.0;7;1994.04016113281;7;1986.11108398438;7;1996.220703125;7;2032.69677734375;7;0.0;7;1987.12805175781;7;1970.48608398438;7;1985.93408203125;7;1989.2939453125;7;0.0;7;3198.3642578125;7;3221.35424804688;7;3190.48022460938;7;3168.40283203125;7;0.0;7;3216.79638671875;7;3210.06958007813;7;3218.5234375;7;3242.1875;7;0.0;7;3203.59887695313;7;3191.84008789063;7;3201.46337890625;7;3168.40283203125;7;0.0;7;3611.61376953125;7;3636.28466796875;7;3603.791015625;7;3574.94213867188;7;0.0;7;3616.21752929688;7;3609.375;7;3616.39282226563;7;3644.38647460938;7;0.0;7;3617.46362304688;7;3607.638671875;7;3613.34252929688;7;3574.94213867188;7;0.0;7;4006.44409179688;7;4033.85424804688;7;3998.32055664063;7;3967.01391601563;7;0.0;7;3982.07153320313;7;3973.95825195313;7;4045.34155273438;7;3995.94897460938;7;0.0;7;4022.46069335938;7;3998.26391601563;7;4019.28759765625;7;3967.01391601563;7;0.0;7;4773.64306640625;7;4808.15966796875;7;4760.3251953125;7;4726.5625;7;0.0;7;4807.04541015625;7;4799.47900390625;7;4799.14599609375;7;5044.849609375;7;0.0;7;4785.1962890625;7;4776.90966796875;7;5174.44970703125;7;4726.5625;7;0.0
8;190.568878173828;8;189.236099243164;8;190.618347167969;8;186.631942749023;8;0.0;8;164.986633300781;8;156.25;8;184.312759399414;8;170.717590332031;8;0.0;8;225.101287841797;8;166.66667175293;8;225.538360595703;8;186.631942749023;8;0.0;8;817.999816894531;8;815.104187011719;8;816.67041015625;8;807.291625976563;8;0.0;8;836.153686523438;8;824.652770996094;8;836.910278320313;8;847.800903320313;8;0.0;8;794.639526367188;8;772.569458007813;8;794.527709960938;8;807.291625976563;8;0.0;8;2007.78051757813;8;2016.4931640625;8;2001.74047851563;8;1989.2939453125;8;0.0;8;1994.21301269531;8;1986.11108398438;8;1995.56872558594;8;2032.69677734375;8;0.0;8;1986.93127441406;8;1970.48608398438;8;1985.8056640625;8;1989.2939453125;8;0.0;8;3199.64770507813;8;3221.35424804688;8;3192.04663085938;8;3168.40283203125;8;0.0;8;3216.0595703125;8;3209.201171875;8;3218.533203125;8;3242.1875;8;0.0;8;3203.890625;8;3190.97216796875;8;3201.8310546875;8;3168.40283203125;8;0.0;8;3610.95092773438;8;3638.02099609375;8;3603.15405273438;8;3574.94213867188;8;0.0;8;3617.001953125;8;3610.24291992188;8;3615.53759765625;8;3644.38647460938;8;0.0;8;3614.60571289063;8;3607.638671875;8;3611.36572265625;8;3574.94213867188;8;0.0;8;4007.173828125;8;4046.0068359375;8;3999.234375;8;3967.01391601563;8;0.0;8;3997.6064453125;8;4025.17358398438;8;4045.32104492188;8;4013.31005859375;8;0.0;8;4022.96142578125;8;4006.076171875;8;4019.6943359375;8;3967.01391601563;8;0.0;8;4773.640625;8;4809.89599609375;8;4761.0390625;8;4726.5625;8;0.0;8;4808.70263671875;8;4800.34716796875;8;4799.60009765625;8;5046.2958984375;8;0.0;8;4785.64697265625;8;4776.04150390625;8;5175.61083984375;8;4726.5625;8;0.0
9;190.559722900391;9;193.576385498047;9;190.59114074707;9;186.631942749023;9;0.0;9;164.952362060547;9;173.611114501953;9;184.312759399414;9;170.717590332031;9;0.0;9;225.104263305664;9;198.784729003906;9;225.538360595703;9;186.631942749023;9;0.0;9;817.940002441406;9;815.104187011719;9;816.58447265625;9;807.291625976563;9;0.0;9;836.153686523438;9;824.652770996094;9;837.163024902344;9;847.800903320313;9;0.0;9;794.769165039063;9;772.569458007813;9;794.753051757813;9;807.291625976563;9;0.0;9;2004.34204101563;9;2018.22924804688;9;1999.70812988281;9;1982.06018066406;9;0.0;9;1994.49475097656;9;1986.97912597656;9;1995.6728515625;9;2013.88891601563;9;0.0;9;1987.35119628906;9;1972.22216796875;9;1986.23791503906;9;1982.06018066406;9;0.0;9;3198.98852539063;9;3223.09033203125;9;3191.38256835938;9;3166.9560546875;9;0.0;9;3216.12475585938;9;3209.201171875;9;3213.5400390625;9;3240.74047851563;9;0.0;9;3199.52514648438;9;3190.97216796875;9;3196.56079101563;9;3166.9560546875;9;0.0;9;3611.45874023438;9;3633.68041992188;9;3604.07763671875;9;3577.83544921875;9;0.0;9;3616.57592773438;9;3609.375;9;3615.494140625;9;3644.38647460938;9;0.0;9;3614.4365234375;9;3605.90283203125;9;3611.78930664063;9;3577.83544921875;9;0.0;9;4007.73291015625;9;4048.61108398438;9;3999.48901367188;9;3978.587890625;9;0.0;9;4037.62353515625;9;4038.1943359375;9;4045.43408203125;9;4013.31005859375;9;0.0;9;4023.234375;9;4010.41674804688;9;4019.73779296875;9;3978.587890625;9;0.0;9;4772.90576171875;9;4808.15966796875;9;4759.658203125;9;4728.00927734375;9;0.0;9;4808.81103515625;9;4802.951171875;9;4800.6865234375;9;5047.7431640625;9;0.0;9;4789.27880859375;9;4773.4375;9;5179.7939453125;9;4728.00927734375;9;0.0
